,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,PHI,L,10-29,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,CLE,L,25-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,MIA,L,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,WAS,L,20-31,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,CLE,L,33-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,TEN,L,26-28,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,CIN,L,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Home,NYJ,L,31-28,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,9,Home,DAL,L,35-10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,10,Away,BAL,L,7-28,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,11,Home,PIT,L,24-9,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,12,Home,NYG,L,27-13,0,0,0,0,0,1,1,-4,-4,-4,0,0,0
12,2016,14,Home,CIN,L,23-10,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2016,15,Away,BUF,L,13-33,0,0,0,0,0,1,1,17,17,17,0,0,0
14,2016,16,Home,SD,W,17-20,0,0,0,0,0,1,1,15,15,15,0,0,0
15,2016,17,Away,PIT,L,24-27,0,0,0,0,0,1,1,-1,-1,-1,0,0,0
0,2017,1,Home,PIT,L,21-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,BAL,L,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,IND,L,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,CIN,L,31-7,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,NYJ,L,17-14,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,HOU,L,17-33,0,0,0,0,0,1,1,7,7,7,0,0,0
6,2017,7,Home,TEN,L,12-9,0,0,0,0,0,1,1,11,11,11,0,0,0
7,2017,8,Home,MIN,L,33-16,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,DET,L,24-38,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2017,11,Home,JAC,L,19-7,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Away,CIN,L,16-30,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2017,13,Away,LAC,L,10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,GB,L,27-21,0,0,0,0,0,1,1,1,1,1,0,0,0
13,2017,15,Home,BAL,L,27-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,CHI,L,3-20,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,PIT,L,24-28,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,13,Home,ARI,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,14,Home,ATL,W,20-34,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,15,Away,CHI,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,16,Away,NYJ,W,44-38,0,0,0,0,0,1,2,2,2,2,0,0,0
4,2018,17,Home,DET,W,31-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,CHI,W,10-3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,MIN,W,16-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,DEN,W,16-27,0,0,0,0,0,1,1,27,27,27,0,0,0
3,2019,4,Home,PHI,L,34-27,1,3,3,3,0,2,3,15,7.5,8,0,0,0
4,2019,5,Away,DAL,W,34-24,0,0,0,0,0,1,1,9,9,9,0,0,0
5,2019,6,Home,DET,W,22-23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Home,OAK,W,24-42,0,0,0,0,0,2,2,43,21.5,22,0,0,0
7,2019,8,Away,KC,W,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Away,LAC,L,11-26,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Home,CAR,W,16-24,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2019,12,Away,SF,L,8-37,0,0,0,0,0,1,1,3,3,3,0,0,0
11,2019,13,Away,NYG,W,31-13,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2019,14,Home,WAS,W,15-20,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2019,15,Home,CHI,W,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,MIN,W,23-10,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2019,17,Away,DET,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
