,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,LAC,W,38-28,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,PIT,W,42-37,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,SF,W,27-38,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,DEN,W,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,JAC,W,14-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,NE,L,40-43,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,CIN,W,10-45,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,DEN,W,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Away,CLE,W,37-21,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,10,Home,ARI,W,14-26,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,11,Away,LAR,L,51-54,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,OAK,W,40-33,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,BAL,W,24-27,0,0,0,0,0,1,1,8,8,8,0,0,0
13,2018,15,Home,LAC,L,29-28,2,13,6.5,8,0,2,2,19,9.5,11,1,0,0
14,2018,16,Away,SEA,L,31-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,OAK,W,3-35,11,31,2.8,6,0,0,0,0,0,0,0,0,0
0,2019,1,Away,JAC,W,40-26,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,OAK,W,28-10,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,BAL,W,28-33,9,62,6.9,41,0,5,5,47,9.4,16,0,0,0
3,2019,4,Away,DET,W,34-30,8,13,1.6,8,2,3,4,43,14.3,30,0,1,1
4,2019,5,Home,IND,L,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,HOU,L,31-24,0,0,0,0,0,1,2,52,52,52,0,0,0
6,2019,7,Away,DEN,W,30-6,2,1,0.5,1,0,2,2,5,2.5,6,0,0,0
7,2019,8,Home,GB,L,31-24,2,10,5,8,0,0,0,0,0,0,0,0,0
8,2019,9,Home,MIN,W,23-26,1,1,1,1,0,0,1,0,0,0,0,0,0
9,2019,10,Away,TEN,L,32-35,2,6,3,5,0,1,1,9,9,9,0,0,0
10,2019,11,Away,LAC,W,24-17,11,35,3.2,6,1,2,3,8,4,4,0,0,0
11,2019,13,Home,OAK,W,9-40,6,13,2.2,15,0,1,2,3,3,3,1,0,0
12,2019,14,Away,NE,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,DEN,W,3-23,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,CHI,W,26-3,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,LAC,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
