,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Home,ATL,W,17-23,8,22,2.8,5,0,6,6,88,14.7,32,0,0,0
1,2013,2,Away,TB,W,16-14,7,26,3.7,6,0,6,8,36,6,8,0,0,0
2,2013,3,Home,ARI,W,7-31,3,17,5.7,15,0,4,6,39,9.8,13,0,0,0
3,2013,4,Home,MIA,W,17-38,4,28,7,18,1,7,8,114,16.3,48,1,1,1
4,2013,5,Away,CHI,W,26-18,3,10,3.3,5,0,3,3,31,10.3,19,0,0,0
5,2013,6,Away,NE,L,27-30,5,15,3,6,0,6,12,58,9.7,19,0,0,0
6,2013,8,Home,BUF,W,17-35,0,0,0,0,0,4,4,0,0,7,0,0,0
7,2013,9,Away,NYJ,L,20-26,0,0,0,0,0,1,1,2,2,2,0,0,0
8,2013,10,Home,DAL,W,17-49,5,12,2.4,5,1,7,7,76,10.9,28,1,1,1
9,2013,11,Home,SF,W,20-23,3,16,5.3,7,0,4,4,19,4.8,8,0,0,0
10,2013,12,Away,ATL,W,17-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,SEA,L,7-34,3,11,3.7,7,0,7,8,32,4.6,10,0,0,0
12,2013,14,Home,CAR,W,13-31,1,38,38,38,0,3,3,23,7.7,20,0,0,0
13,2013,15,Away,STL,L,16-27,7,24,3.4,11,0,8,10,38,4.8,13,0,0,0
14,2013,16,Away,CAR,L,13-17,1,2,2,2,0,3,5,18,6,8,0,0,0
15,2013,17,Home,TB,W,17-42,3,-1,-0.3,5,0,2,4,30,15,24,0,0,0
0,2014,1,Home,JAC,W,17-34,11,71,6.5,49,1,4,6,14,3.5,8,0,0,0
1,2014,2,Away,IND,W,30-27,4,26,6.5,19,1,7,7,152,21.7,57,0,0,0
2,2014,3,Home,WAS,W,34-37,2,20,10,18,0,3,4,30,10,22,0,1,1
3,2014,4,Away,SF,L,21-26,1,4,4,4,0,2,4,2,1,6,0,0,0
4,2014,5,Home,STL,W,28-34,7,51,7.3,25,0,0,0,0,0,0,0,0,0
5,2014,6,Home,NYG,W,0-27,7,39,5.6,15,1,0,4,0,0,0,0,1,0
6,2014,8,Away,ARI,L,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,9,Away,HOU,W,31-21,3,17,5.7,7,0,4,5,46,11.5,24,0,0,0
8,2014,10,Home,CAR,W,21-45,1,8,8,8,1,1,2,13,13,13,0,0,0
9,2014,11,Away,GB,L,20-53,2,21,10.5,13,0,2,6,23,11.5,16,0,0,0
10,2014,12,Home,TEN,W,24-43,6,25,4.2,13,1,3,4,14,4.7,10,0,0,0
11,2014,13,Away,DAL,W,33-10,1,13,13,13,0,3,3,19,6.3,9,0,0,0
12,2014,14,Home,SEA,L,24-14,4,0,0,6,0,0,0,0,0,0,0,1,0
13,2014,15,Home,DAL,L,38-27,3,5,1.7,3,1,2,2,8,4,11,0,1,0
14,2014,16,Away,WAS,L,24-27,4,24,6,12,0,6,9,43,7.2,18,0,0,0
15,2014,17,Away,NYG,W,34-26,1,5,5,5,0,3,6,23,7.7,10,0,0,0
0,2015,1,Away,ATL,L,24-26,5,50,10,27,0,7,9,76,10.9,24,0,1,0
1,2015,2,Home,DAL,L,20-10,1,-4,-4,-4,0,4,4,23,5.8,11,0,0,0
2,2015,3,Away,NYJ,W,24-17,11,17,1.5,12,1,4,6,19,4.8,9,0,0,0
3,2015,4,Away,WAS,L,20-23,4,17,4.3,11,0,0,3,0,0,0,0,0,0
4,2015,5,Home,NO,W,17-39,5,27,5.4,14,0,1,2,10,10,10,0,0,0
5,2015,6,Home,NYG,W,7-27,2,4,2,4,0,1,2,3,3,3,0,0,0
6,2015,7,Away,CAR,L,16-27,3,9,3,6,0,5,10,31,6.2,9,0,0,0
7,2015,9,Away,DAL,W,33-27,5,23,4.6,8,0,2,3,3,1.5,7,0,0,0
8,2015,10,Home,MIA,L,20-19,3,0,0,2,0,5,6,34,6.8,10,0,0,0
9,2015,11,Home,TB,L,45-17,6,21,3.5,7,0,3,7,38,12.7,35,1,0,0
10,2015,12,Away,DET,L,14-45,2,4,2,5,0,4,6,21,5.3,16,0,0,0
11,2015,13,Away,NE,W,35-28,15,66,4.4,13,0,4,6,34,8.5,16,0,0,0
12,2015,14,Home,BUF,W,20-23,7,41,5.9,15,1,2,3,4,2,3,0,0,0
13,2015,15,Home,ARI,L,40-17,6,9,1.5,3,0,3,4,16,5.3,6,0,0,0
14,2015,16,Home,WAS,L,38-24,5,9,1.8,8,0,7,9,56,8,14,0,1,0
15,2015,17,Away,NYG,W,35-30,3,24,8,13,1,3,3,20,6.7,14,0,0,0
0,2016,1,Home,CLE,W,10-29,5,12,2.4,6,0,2,5,24,12,15,0,0,0
1,2016,2,Away,CHI,W,29-14,12,40,3.3,14,0,2,2,8,4,6,0,0,0
