,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2015,1,Home,NO,W,19-31,0,0,0,0,0,1,2,55,55,55,1,0,0
1,2015,2,Away,CHI,W,48-23,5,42,8.4,14,1,1,2,3,3,3,0,0,0
2,2015,3,Home,SF,W,7-47,7,25,3.6,8,0,3,3,16,5.3,9,0,0,0
3,2015,4,Home,STL,L,24-22,3,18,6,12,0,4,10,63,15.8,23,1,1,1
4,2015,5,Away,DET,W,42-17,3,6,2,4,2,0,0,0,0,0,0,0,0
5,2015,6,Away,PIT,L,13-25,3,9,3,8,0,1,1,8,8,8,0,0,0
6,2015,7,Home,BAL,W,18-26,3,5,1.7,6,0,2,2,19,9.5,11,0,0,0
7,2015,8,Away,CLE,W,34-20,1,4,4,4,0,2,2,44,22,34,0,1,0
8,2015,10,Away,SEA,W,39-32,0,0,0,0,0,1,1,8,8,8,0,0,0
9,2015,11,Home,CIN,W,31-34,2,9,4.5,9,0,2,2,17,8.5,16,1,1,0
10,2015,12,Away,SF,W,19-13,8,21,2.6,10,1,2,4,8,4,6,0,0,0
11,2015,13,Away,STL,W,27-3,22,99,4.5,23,0,2,3,21,10.5,11,1,1,0
12,2015,14,Home,MIN,W,20-23,19,92,4.8,24,0,5,7,31,6.2,14,0,0,0
13,2015,15,Away,PHI,W,40-17,29,187,6.4,47,3,4,4,42,10.5,12,0,0,0
14,2015,16,Home,GB,W,8-38,9,39,4.3,14,1,3,6,88,29.3,44,0,0,0
15,2015,17,Home,SEA,L,36-6,11,25,2.3,5,0,3,8,34,11.3,19,0,0,0
0,2016,1,Home,NE,L,23-21,16,89,5.6,45,1,4,6,43,10.8,26,0,0,0
1,2016,2,Home,TB,W,7-40,12,45,3.8,10,0,3,5,98,32.7,58,0,0,0
2,2016,3,Away,BUF,L,18-33,19,83,4.4,22,2,3,6,28,9.3,12,0,0,0
3,2016,4,Home,LAR,L,17-13,17,83,4.9,31,0,4,4,41,10.3,24,0,1,1
4,2016,5,Away,SF,W,33-21,27,157,5.8,23,2,3,6,28,9.3,21,0,1,0
