,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,BAL,W,3-47,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,CIN,L,23-34,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,DEN,W,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,PIT,W,26-14,1,4,4,4,0,1,1,10,10,10,0,0,0
4,2018,5,Away,CLE,L,9-12,0,0,0,0,0,1,1,7,7,7,0,0,0
5,2018,6,Away,TEN,W,21-0,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,BAL,L,24-23,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,CAR,L,21-36,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Away,BAL,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,BAL,W,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,BAL,W,17-34,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,ATL,W,26-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,KC,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,BAL,W,12-20,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,LAC,W,22-10,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,BAL,W,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,MIA,W,59-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,10,Away,IND,W,16-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,11,Home,BUF,W,37-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,12,Away,CLE,W,24-41,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,13,Home,PHI,W,31-37,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,14,Away,NYJ,W,21-22,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,15,Away,NYG,W,20-36,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,16,Home,CIN,W,35-38,4,6,1.5,5,0,0,0,0,0,0,0,0,0
8,2019,17,Away,NE,W,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
