,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,NO,W,35-34,5,14,2.8,5,0,1,1,10,10,10,0,0,0
1,2016,2,Home,ATL,L,35-28,7,46,6.6,26,0,1,1,6,6,6,0,0,0
2,2016,3,Away,TEN,W,17-10,6,57,9.5,30,0,1,1,5,5,5,0,0,0
3,2016,4,Away,BAL,W,28-27,5,30,6,28,0,3,3,16,5.3,8,0,1,1
4,2016,5,Home,SD,W,31-34,9,23,2.6,8,0,5,6,29,5.8,10,0,0,0
5,2016,6,Home,KC,L,26-10,10,49,4.9,8,0,0,1,0,0,0,0,0,0
6,2016,7,Away,JAC,W,33-16,5,16,3.2,6,0,1,2,6,6,6,0,0,0
7,2016,8,Away,TB,W,30-24,5,32,6.4,28,0,0,0,0,0,0,0,0,0
8,2016,9,Home,DEN,W,20-30,10,35,3.5,8,0,1,1,0,0,0,0,0,0
9,2016,11,Home,HOU,W,20-27,1,0,0,0,0,0,1,0,0,0,0,0,0
10,2016,12,Away,OAK,W,32-35,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,OAK,W,24-38,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,KC,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,SD,W,19-16,5,23,4.6,12,0,1,3,11,11,11,0,0,0
14,2016,16,Home,IND,W,25-33,12,99,8.3,22,2,1,1,18,18,18,0,0,0
15,2016,17,Away,DEN,L,6-24,7,43,6.1,20,0,2,2,14,7,11,0,0,0
0,2017,1,Away,TEN,W,26-16,3,4,1.3,4,0,2,2,18,9,13,0,0,0
1,2017,2,Home,NYJ,W,20-45,6,20,3.3,10,0,3,3,15,5,9,0,1,0
2,2017,3,Away,WAS,L,10-27,1,0,0,0,0,5,6,24,4.8,7,0,0,0
3,2017,4,Away,DEN,L,10-16,1,4,4,4,0,0,1,0,0,0,0,0,0
4,2017,5,Away,OAK,L,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Home,LAC,L,17-16,3,-8,-2.7,0,0,1,1,10,10,10,0,0,0
6,2017,7,Home,KC,W,30-31,9,33,3.7,11,1,3,4,7,2.3,10,0,0,0
7,2017,8,Away,BUF,L,14-34,6,26,4.3,10,0,8,10,62,7.8,14,1,1,1
8,2017,9,Away,MIA,W,27-24,4,16,4,11,0,1,1,-2,-2,-2,0,0,0
9,2017,11,Home,NE,L,33-8,3,7,2.3,5,0,2,3,12,6,7,0,0,0
10,2017,12,Home,DEN,W,14-21,6,23,3.8,11,0,3,3,23,7.7,15,0,0,0
11,2017,13,Home,NYG,W,17-24,6,16,2.7,9,1,0,0,0,0,0,0,0,0
12,2017,14,Away,KC,L,15-26,4,9,2.3,9,0,1,2,10,10,10,0,0,0
13,2017,15,Home,DAL,L,20-17,2,3,1.5,2,0,2,3,16,8,10,0,0,0
14,2017,16,Away,PHI,L,10-19,1,-3,-3,-3,0,1,3,2,2,2,0,0,0
15,2017,17,Away,LAC,L,10-30,2,3,1.5,2,0,2,3,0,0,1,0,0,0
0,2018,1,Away,OAK,L,33-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,DEN,L,19-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,MIA,L,20-28,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,OAK,W,42-45,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,LAC,L,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,OAK,L,27-3,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Home,IND,L,42-28,1,4,4,4,0,0,0,0,0,0,0,0,0
7,2018,9,Away,SF,L,3-34,5,27,5.4,13,0,0,0,0,0,0,0,0,0
8,2018,10,Home,LAC,L,20-6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,ARI,W,23-21,12,39,3.3,10,0,0,0,0,0,0,0,0,0
10,2018,12,Away,BAL,L,17-34,3,8,2.7,5,0,1,1,9,9,9,0,0,0
11,2018,13,Home,KC,L,40-33,3,7,2.3,7,0,0,0,0,0,0,0,1,1
12,2018,14,Home,PIT,W,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,CIN,L,16-30,1,1,1,1,0,0,0,0,0,0,0,0,0
14,2018,16,Home,DEN,W,14-27,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
15,2018,17,Away,KC,L,3-35,4,30,7.5,11,0,0,0,0,0,0,0,0,0
0,2019,1,Home,DEN,W,16-24,2,8,4,7,0,0,0,0,0,0,0,0,0
1,2019,2,Home,KC,L,28-10,3,9,3,4,0,2,2,26,13,20,0,0,0
2,2019,3,Away,MIN,L,14-34,6,22,3.7,8,0,0,0,0,0,0,0,0,0
3,2019,4,Away,IND,W,31-24,6,18,3,7,0,2,3,8,4,7,0,0,0
4,2019,5,Home,CHI,W,21-24,6,17,2.8,5,1,3,3,19,6.3,10,0,0,0
5,2019,7,Away,GB,L,24-42,6,29,4.8,8,0,1,1,12,12,12,0,0,0
6,2019,8,Away,HOU,L,24-27,5,23,4.6,6,0,1,1,4,4,4,0,0,0
7,2019,9,Home,DET,W,24-31,3,7,2.3,5,0,1,1,21,21,21,0,0,0
8,2019,10,Home,LAC,W,24-26,1,0,0,0,0,2,2,19,9.5,10,0,0,0
9,2019,11,Home,CIN,W,10-17,2,-1,-0.5,1,0,2,2,14,7,8,0,0,0
10,2019,12,Away,NYJ,L,3-34,6,19,3.2,8,0,1,1,0,0,0,0,0,0
11,2019,13,Away,KC,L,9-40,2,5,2.5,5,0,3,3,44,14.7,28,0,0,0
12,2019,14,Home,TEN,L,42-21,14,53,3.8,14,1,6,7,43,7.2,24,0,0,0
13,2019,15,Home,JAC,L,20-16,6,16,2.7,9,0,2,3,6,3,9,0,0,0
14,2019,16,Away,LAC,W,24-17,23,85,3.7,13,1,2,3,21,10.5,13,0,0,0
15,2019,17,Away,DEN,L,15-16,17,77,4.5,36,0,8,9,55,6.9,12,0,0,0
