,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,DEN,L,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,MIA,L,19-17,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Home,KC,L,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,PHI,L,26-24,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,NYG,W,27-22,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,OAK,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,DEN,W,0-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Away,NE,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,JAC,L,17-20,0,0,0,0,0,1,2,12,12,12,0,0,0
9,2017,11,Home,BUF,W,24-54,2,17,8.5,17,0,0,0,0,0,0,0,0,0
10,2017,12,Away,DAL,W,28-6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,CLE,W,10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,WAS,W,13-30,1,2,2,2,0,0,0,0,0,0,0,0,0
13,2017,15,Away,KC,L,13-30,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,NYJ,W,14-7,1,3,3,3,0,1,1,23,23,23,0,0,0
15,2017,17,Home,OAK,W,10-30,1,2,2,2,0,0,0,0,0,0,0,0,0
0,2018,1,Home,KC,L,38-28,1,1,1,1,0,0,0,0,0,0,0,0,0
1,2018,2,Away,BUF,W,31-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Away,LAR,L,23-35,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,SF,W,27-29,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,OAK,W,10-26,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,CLE,W,38-14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,TEN,W,19-20,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Away,SEA,W,25-17,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,OAK,W,20-6,2,2,1,2,0,0,0,0,0,0,0,0,0
9,2018,11,Home,DEN,L,23-22,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,ARI,W,10-45,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,PIT,W,33-30,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,CIN,W,21-26,0,0,0,0,0,1,1,2,2,2,0,0,0
13,2018,15,Away,KC,W,29-28,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,BAL,L,22-10,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,DEN,W,23-9,1,8,8,8,0,0,0,0,0,0,0,0,0
0,2019,1,Home,IND,W,24-30,2,4,2,2,0,0,0,0,0,0,0,0,0
1,2019,2,Away,DET,L,10-13,0,0,0,0,0,1,2,3,3,3,0,0,0
2,2019,3,Home,HOU,L,27-20,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
3,2019,4,Away,MIA,W,30-10,0,0,0,0,0,1,1,21,21,21,0,0,0
4,2019,5,Home,DEN,L,20-13,0,0,0,0,0,1,1,8,8,8,0,0,0
5,2019,6,Home,PIT,L,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,TEN,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,CHI,W,17-16,1,2,2,2,0,0,0,0,0,0,0,0,0
8,2019,9,Home,GB,W,11-26,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Away,OAK,L,24-26,1,1,1,1,0,0,1,0,0,0,0,0,0
10,2019,11,Home,KC,L,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,DEN,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,JAC,W,45-10,2,4,2,3,1,0,0,0,0,0,0,0,0
13,2019,15,Home,MIN,L,39-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,OAK,L,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,KC,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
