,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Away,PHI,L,27-32,10,18,1.8,5,0,3,3,20,6.7,8,0,0,0
1,2019,2,Home,DAL,L,31-21,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,CHI,L,31-15,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,NYG,L,3-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,NE,L,33-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,MIA,W,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,SF,L,9-0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,MIN,L,9-19,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,BUF,L,9-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,NYJ,L,34-17,7,24,3.4,9,0,1,2,45,45,45,1,0,0
10,2019,12,Home,DET,W,16-19,10,32,3.2,11,0,1,2,6,6,6,0,0,0
11,2019,13,Away,CAR,W,29-21,10,129,12.9,60,2,2,2,8,4,4,0,0,0
12,2019,14,Away,GB,L,15-20,5,42,8.4,23,0,0,0,0,0,0,0,0,0
13,2019,15,Home,PHI,L,37-27,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,NYG,L,41-35,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,DAL,L,16-47,-,-,-,-,-,-,-,-,-,-,-,-,-
