,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Home,SEA,W,9-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,ATL,L,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,CIN,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,GB,W,14-35,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,DAL,W,35-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,MIN,L,10-23,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,GB,L,26-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,GB,L,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,CHI,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Home,BAL,L,23-0,3,-1,-0.3,2,0,0,0,0,0,0,0,2,1
10,2017,12,Away,PIT,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,TB,W,20-26,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,CLE,W,27-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,CAR,L,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Home,MIN,L,16-0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,DET,L,11-35,1,2,2,2,0,3,3,0,0,1,0,0,0
