,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Away,NYJ,W,17-16,4,70,17.5,23,0,5,6,28,5.6,12,0,0,0
1,2019,2,Away,NYG,W,28-14,6,57,9.5,20,1,0,0,0,0,0,0,0,0
2,2019,3,Home,CIN,W,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,NE,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,TEN,W,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Home,MIA,W,21-31,7,26,3.7,9,0,0,0,0,0,0,0,0,0
6,2019,8,Home,PHI,L,31-13,3,19,6.3,16,0,4,6,30,7.5,28,1,0,0
7,2019,9,Home,WAS,W,9-24,20,95,4.8,17,1,3,4,45,15,49,0,0,0
8,2019,10,Away,CLE,L,16-19,8,42,5.3,10,0,3,6,8,2.7,6,0,0,0
9,2019,11,Away,MIA,W,37-20,15,75,5,22,0,1,1,4,4,4,0,2,0
10,2019,12,Home,DEN,W,3-20,21,106,5,11,0,1,2,8,8,8,0,0,0
11,2019,13,Away,DAL,W,26-15,14,63,4.5,26,0,3,4,38,12.7,28,1,0,0
12,2019,14,Home,BAL,L,24-17,17,89,5.2,38,0,6,8,29,4.8,13,0,0,0
13,2019,15,Away,PIT,W,17-10,21,87,4.1,15,0,2,3,2,1,1,0,2,1
14,2019,16,Away,NE,L,17-24,15,46,3.1,12,0,1,1,2,2,2,0,0,0
15,2019,17,Home,NYJ,L,13-6,-,-,-,-,-,-,-,-,-,-,-,-,-
