,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Home,CAR,W,20-21,3,8,2.7,6,0,0,0,0,0,0,0,1,1
1,2016,2,Home,IND,W,20-34,9,46,5.1,12,0,1,1,5,5,5,0,0,0
2,2016,3,Away,CIN,W,29-17,4,8,2,3,0,1,1,17,17,17,0,0,0
3,2016,4,Away,TB,W,27-7,7,30,4.3,11,0,0,1,0,0,0,0,0,0
4,2016,5,Home,ATL,L,23-16,6,23,3.8,8,0,4,6,36,9,11,0,0,0
5,2016,6,Away,SD,L,13-21,5,46,9.2,17,0,2,2,7,3.5,5,0,0,0
6,2016,7,Home,HOU,W,9-27,17,83,4.9,12,1,1,2,4,4,4,0,1,0
7,2016,8,Home,SD,W,19-27,19,54,2.8,18,1,5,6,30,6,12,0,1,1
8,2016,9,Away,OAK,L,20-30,10,22,2.2,5,0,1,3,8,8,8,0,0,0
9,2016,10,Away,NO,W,25-23,24,76,3.2,11,0,2,2,12,6,10,0,0,0
10,2016,12,Home,KC,L,30-27,24,79,3.3,13,0,1,2,22,22,22,0,0,0
11,2016,13,Away,JAC,W,20-10,18,35,1.9,6,1,1,1,2,2,2,0,0,0
12,2016,14,Away,TEN,L,10-13,3,1,0.3,1,0,2,2,10,5,6,0,0,0
13,2016,15,Home,NE,L,16-3,6,17,2.8,5,0,2,3,16,8,14,0,0,0
14,2016,16,Away,KC,L,10-33,5,27,5.4,12,0,6,10,44,7.3,21,0,1,1
15,2016,17,Home,OAK,W,6-24,14,57,4.1,12,1,2,3,52,26,43,1,0,0
0,2017,1,Home,LAC,W,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,DAL,W,17-42,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,BUF,L,16-26,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Home,OAK,W,10-16,3,14,4.7,5,0,0,0,0,0,0,0,0,0
4,2017,6,Home,NYG,L,23-10,1,2,2,2,0,4,6,78,19.5,29,0,0,0
5,2017,7,Away,LAC,L,0-21,2,6,3,6,0,3,4,22,7.3,15,0,0,0
6,2017,8,Away,KC,L,19-29,6,40,6.7,26,1,3,3,14,4.7,11,0,0,0
7,2017,9,Away,PHI,L,23-51,6,21,3.5,9,0,2,3,9,4.5,11,0,0,0
8,2017,10,Home,NE,L,41-16,8,24,3,7,0,1,1,5,5,5,0,0,0
9,2017,11,Home,CIN,L,20-17,14,44,3.1,8,0,5,6,54,10.8,21,0,0,0
10,2017,12,Away,OAK,L,14-21,6,11,1.8,4,0,2,2,22,11,19,0,0,0
11,2017,13,Away,MIA,L,9-35,2,8,4,5,0,1,1,0,0,0,0,0,0
12,2017,14,Home,NYJ,W,0-23,9,22,2.4,6,0,2,2,12,6,7,0,0,0
13,2017,15,Away,IND,W,25-13,11,39,3.5,12,0,1,1,10,10,10,0,1,0
14,2017,16,Away,WAS,L,11-27,8,47,5.9,11,0,5,8,24,4.8,19,0,1,1
15,2017,17,Home,KC,L,27-24,3,21,7,14,0,1,1,25,25,25,0,0,0
0,2018,1,Home,SEA,W,24-27,2,4,2,2,0,2,2,11,5.5,7,0,0,0
1,2018,2,Home,OAK,W,19-20,3,17,5.7,11,0,0,0,0,0,0,0,0,0
2,2018,3,Away,BAL,L,14-27,5,10,2,4,0,5,7,34,6.8,9,0,0,0
3,2018,4,Home,KC,L,27-23,1,5,5,5,0,1,2,9,9,9,0,0,0
4,2018,5,Away,NYJ,L,16-34,0,0,0,0,0,5,6,59,11.8,22,0,0,0
5,2018,6,Home,LAR,L,23-20,2,15,7.5,9,0,2,3,14,7,9,0,0,0
6,2018,7,Away,ARI,W,45-10,0,0,0,0,0,1,1,-1,-1,-1,0,0,0
7,2018,8,Away,KC,L,23-30,9,78,8.7,26,0,4,4,23,5.8,14,0,0,0
8,2018,9,Home,HOU,L,19-17,3,15,5,14,1,2,4,9,4.5,8,0,1,1
9,2018,11,Away,LAC,W,23-22,0,0,0,0,0,1,1,4,4,4,0,0,0
10,2018,12,Home,PIT,W,17-24,0,0,0,0,0,1,2,6,6,6,0,0,0
11,2018,13,Away,CIN,W,24-10,1,4,4,4,0,2,2,38,19,30,0,0,0
