,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,IND,W,39-35,2,1,0.5,1,1,0,0,0,0,0,0,0,0
1,2016,2,Home,TEN,L,16-15,4,31,7.8,28,0,0,0,0,0,0,0,0,0
2,2016,3,Away,GB,L,27-34,10,38,3.8,9,0,1,1,-3,-3,-3,0,0,0
3,2016,4,Away,CHI,L,14-17,2,6,3,5,0,1,1,8,8,8,0,0,0
4,2016,5,Away,DET,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,DET,W,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,DET,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,HOU,L,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,MIN,W,22-16,10,26,2.6,8,0,0,1,0,0,0,0,0,0
9,2016,11,Home,JAC,W,19-26,13,6,0.5,4,0,2,2,15,7.5,8,0,0,0
10,2016,12,Home,MIN,W,13-16,5,19,3.8,8,0,0,0,0,0,0,0,0,0
11,2016,13,Away,NO,W,28-13,7,21,3,5,0,2,2,19,9.5,11,0,0,0
12,2016,14,Home,CHI,W,17-20,16,64,4,12,0,1,2,10,10,10,0,0,0
13,2016,15,Away,NYG,L,6-17,14,31,2.2,12,0,2,4,9,4.5,7,0,0,0
14,2016,16,Away,DAL,L,21-42,7,22,3.1,9,0,1,2,4,4,4,0,0,0
15,2016,17,Home,GB,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Home,ARI,W,23-35,6,22,3.7,6,0,0,0,0,0,0,0,0,0
1,2017,2,Away,NYG,W,24-10,3,9,3,5,0,0,0,0,0,0,0,0,0
2,2017,3,Away,DET,L,30-26,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,MIN,W,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,DET,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Home,DET,L,38-52,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Home,PIT,L,20-15,6,12,2,4,0,1,1,4,4,4,0,0,0
7,2017,9,Away,GB,W,30-17,5,1,0.2,4,0,0,0,0,0,0,0,0,0
8,2017,10,Home,CLE,W,24-38,0,0,0,0,0,1,1,10,10,10,0,0,0
9,2017,11,Away,CHI,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,DET,L,30-23,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,BAL,L,20-44,-,-,-,-,-,-,-,-,-,-,-,-,-
