,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,BUF,L,12-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,OAK,L,20-45,6,29,4.8,11,0,1,2,7,7,7,0,0,0
2,2017,3,Home,MIA,W,6-20,7,34,4.9,10,0,0,0,0,0,0,0,1,1
3,2017,4,Home,JAC,W,20-23,10,93,9.3,69,1,2,2,38,19,22,0,0,0
4,2017,5,Away,CLE,W,17-14,11,20,1.8,7,0,2,3,10,5,11,0,0,0
5,2017,6,Home,NE,L,24-17,10,22,2.2,12,0,0,0,0,0,0,0,0,0
6,2017,7,Away,MIA,L,28-31,3,7,2.3,4,0,0,0,0,0,0,0,0,0
7,2017,8,Home,ATL,L,25-20,1,2,2,2,0,0,0,0,0,0,0,0,0
8,2017,9,Home,BUF,W,21-34,13,30,2.3,15,0,1,1,9,9,9,0,0,0
9,2017,10,Away,TB,L,10-15,8,22,2.8,6,0,4,7,36,9,13,0,0,0
10,2017,12,Home,CAR,L,35-27,5,21,4.2,9,0,1,1,13,13,13,0,0,0
11,2017,13,Home,KC,W,31-38,5,20,4,19,0,0,0,0,0,0,0,0,0
12,2017,14,Away,DEN,L,0-23,1,-3,-3,-3,0,0,0,0,0,0,0,0,0
13,2017,15,Away,NO,L,19-31,4,24,6,10,0,3,3,48,16,38,1,0,0
14,2017,16,Home,LAC,L,14-7,0,0,0,0,0,0,1,0,0,0,0,1,1
15,2017,17,Away,NE,L,6-26,4,-6,-1.5,3,0,3,6,16,5.3,11,0,0,0
0,2018,1,Away,DET,W,48-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,NYJ,L,20-12,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,CLE,L,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,JAC,L,12-31,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,NYJ,W,16-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,NYJ,W,34-42,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,NYJ,L,37-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,CHI,L,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Away,MIA,L,6-13,7,30,4.3,14,0,3,5,37,12.3,20,0,0,0
9,2018,10,Home,BUF,L,41-10,6,30,5,13,0,3,6,27,9,12,0,0,0
10,2018,12,Home,NE,L,27-13,6,19,3.2,8,0,1,3,7,7,7,0,0,0
11,2018,13,Away,TEN,L,22-26,6,19,3.2,7,0,1,2,-4,-4,-4,0,0,0
12,2018,14,Away,BUF,W,27-23,17,60,3.5,34,1,3,4,23,7.7,11,0,0,0
13,2018,15,Home,HOU,L,29-22,18,42,2.3,14,1,3,4,29,9.7,16,0,1,1
14,2018,16,Home,GB,L,44-38,14,35,2.5,10,1,3,5,50,16.7,20,1,0,0
15,2018,17,Away,NE,L,3-38,18,41,2.3,17,0,2,2,24,12,17,0,1,1
