,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,DET,L,23-35,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,IND,W,16-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Home,DAL,L,28-17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,SF,W,15-18,1,1,1,1,0,0,0,0,0,0,0,0,0
4,2017,5,Away,PHI,L,7-34,0,0,0,0,0,1,1,6,6,6,0,0,0
5,2017,6,Home,TB,W,33-38,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Away,LAR,L,0-33,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Away,SF,W,20-10,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Home,SEA,L,22-16,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,HOU,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,JAC,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,LAR,L,32-16,2,4,2,3,1,0,0,0,0,0,0,0,0
12,2017,14,Home,TEN,W,7-12,2,11,5.5,9,0,1,1,18,18,18,0,0,0
13,2017,15,Away,WAS,L,15-20,10,45,4.5,14,0,0,1,0,0,0,0,0,0
14,2017,16,Home,NYG,W,0-23,8,24,3,7,0,2,2,14,7,8,0,0,0
15,2017,17,Away,SEA,W,26-24,8,39,4.9,11,1,0,1,0,0,0,0,0,0
0,2018,3,Away,HOU,W,27-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,4,Home,NO,W,33-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,5,Away,CAR,W,31-33,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,6,Home,PHI,W,34-13,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,7,Away,ATL,W,20-23,1,2,2,2,0,0,0,0,0,0,0,0,0
5,2018,8,Home,WAS,W,20-13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,10,Away,SF,W,27-23,0,0,0,0,0,2,2,12,6,9,0,0,0
7,2018,11,Home,TB,W,35-38,0,0,0,0,0,2,2,4,2,3,0,0,0
8,2018,12,Away,PHI,W,22-25,0,0,0,0,0,1,1,7,7,7,0,0,0
9,2018,13,Home,CHI,W,27-30,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2018,14,Away,WAS,W,40-16,5,21,4.2,8,0,1,1,16,16,16,0,0,0
11,2018,15,Home,TEN,W,17-0,1,2,2,2,0,0,0,0,0,0,0,0,0
12,2018,16,Away,IND,W,27-28,0,0,0,0,0,1,1,5,5,5,0,0,0
13,2018,17,Home,DAL,W,36-35,0,0,0,0,0,1,1,6,6,6,0,0,0
0,2019,1,Away,DAL,L,17-35,2,3,1.5,2,0,0,0,0,0,0,0,0,0
1,2019,2,Home,BUF,L,28-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,TB,W,32-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,WAS,W,3-24,3,12,4,5,0,0,0,0,0,0,0,0,0
4,2019,5,Home,MIN,L,28-10,3,15,5,6,0,1,1,9,9,9,0,0,0
5,2019,6,Away,NE,L,14-35,3,6,2,3,0,1,2,0,0,0,0,0,0
6,2019,7,Home,ARI,L,27-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,DET,L,26-31,1,3,3,3,0,0,0,0,0,0,0,0,0
8,2019,9,Home,DAL,L,37-18,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Away,NYJ,L,27-34,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,CHI,L,14-19,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,GB,L,31-13,2,2,1,2,0,0,1,0,0,0,0,0,0
12,2019,14,Away,PHI,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,MIA,W,20-36,1,-2,-2,-2,0,0,0,0,0,0,0,0,0
14,2019,16,Away,WAS,W,41-35,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,PHI,L,34-17,0,0,0,0,0,0,0,0,0,0,0,0,0
