,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Home,NYG,L,20-19,20,51,2.6,8,1,1,2,1,1,1,0,0,0
1,2016,2,Away,WAS,W,27-23,21,83,4,21,1,2,2,4,2,3,0,2,1
2,2016,3,Home,CHI,W,17-31,30,140,4.7,21,0,2,2,20,10,18,0,0,0
3,2016,4,Away,SF,W,24-17,23,138,6,26,1,1,1,19,19,19,0,0,0
4,2016,5,Home,CIN,W,14-28,15,134,8.9,60,2,3,4,37,12.3,22,0,0,0
5,2016,6,Away,GB,W,30-16,28,157,5.6,29,0,2,4,17,8.5,15,0,0,0
6,2016,8,Home,PHI,W,23-29,22,96,4.4,16,0,4,4,52,13,25,0,0,0
7,2016,9,Away,CLE,W,35-10,18,92,5.1,15,2,1,1,5,5,5,0,1,0
8,2016,10,Away,PIT,W,35-30,21,114,5.4,32,2,2,2,95,47.5,83,1,0,0
9,2016,11,Home,BAL,W,17-27,25,97,3.9,14,0,4,5,30,7.5,17,0,0,0
10,2016,12,Home,WAS,W,26-31,20,97,4.9,21,2,2,2,23,11.5,19,0,0,0
11,2016,13,Away,MIN,W,17-15,20,86,4.3,30,1,4,5,19,4.8,16,0,1,0
12,2016,14,Away,NYG,L,7-10,24,107,4.5,15,0,0,2,0,0,0,0,0,0
13,2016,15,Home,TB,W,20-26,23,159,6.9,42,1,3,3,29,9.7,12,0,1,0
14,2016,16,Home,DET,W,21-42,12,80,6.7,55,2,1,1,12,12,12,0,0,0
15,2016,17,Away,PHI,L,13-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Home,NYG,W,3-19,24,104,4.3,10,0,5,5,36,7.2,30,0,0,0
1,2017,2,Away,DEN,L,17-42,9,8,0.9,5,0,4,5,14,3.5,9,0,0,0
2,2017,3,Away,ARI,W,28-17,22,80,3.6,30,1,3,4,14,4.7,10,0,0,0
3,2017,4,Home,LAR,L,35-30,21,85,4,16,1,4,5,54,13.5,31,1,0,0
4,2017,5,Home,GB,L,35-31,29,116,4,25,0,1,2,16,16,20,0,0,0
