,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Home,GB,W,28-34,21,44,2.1,8,1,2,2,21,10.5,13,0,0,0
1,2013,2,Away,SEA,L,3-29,9,16,1.8,5,0,1,3,14,14,14,0,0,0
2,2013,3,Home,IND,L,27-7,11,82,7.5,22,0,2,4,21,10.5,11,0,0,0
3,2013,4,Away,STL,W,35-11,20,153,7.7,34,1,0,2,0,0,0,0,1,1
4,2013,5,Home,HOU,W,3-34,17,81,4.8,26,1,0,0,0,0,0,0,0,0
5,2013,6,Home,ARI,W,20-32,25,101,4,32,0,0,0,0,0,0,0,0,0
6,2013,7,Away,TEN,W,31-17,24,70,2.9,7,2,2,3,34,17,29,0,0,0
7,2013,8,Away,JAC,W,42-10,19,71,3.7,19,2,1,1,6,6,6,0,1,1
8,2013,10,Home,CAR,L,10-9,16,82,5.1,17,0,2,2,21,10.5,11,0,0,0
9,2013,11,Away,NO,L,20-23,13,48,3.7,24,0,2,3,8,4,6,0,0,0
10,2013,12,Away,WAS,W,27-6,13,31,2.4,8,0,1,2,3,3,3,0,0,0
11,2013,13,Home,STL,W,13-23,15,42,2.8,10,1,2,2,7,3.5,4,0,1,1
12,2013,14,Home,SEA,W,17-19,17,110,6.5,51,0,0,1,0,0,0,0,0,0
13,2013,15,Away,TB,W,33-14,22,86,3.9,13,0,0,0,0,0,0,0,0,0
14,2013,16,Home,ATL,W,24-34,21,97,4.6,17,1,1,1,6,6,6,0,0,0
15,2013,17,Away,ARI,W,23-20,13,14,1.1,8,0,0,0,0,0,0,0,0,0
0,2014,1,Away,DAL,W,28-17,16,66,4.1,20,0,0,0,0,0,0,0,0,0
1,2014,2,Home,CHI,L,28-20,13,63,4.8,19,1,2,2,12,6,8,0,0,0
2,2014,3,Away,ARI,L,14-23,6,10,1.7,4,0,0,0,0,0,0,0,0,0
3,2014,4,Home,PHI,W,21-26,24,119,5,28,0,1,2,55,55,55,1,0,0
4,2014,5,Home,KC,W,17-22,18,107,5.9,14,0,1,1,1,1,1,0,0,0
5,2014,6,Away,STL,W,31-17,16,38,2.4,9,0,0,1,0,0,0,0,0,0
6,2014,7,Away,DEN,L,17-42,9,20,2.2,7,0,0,1,0,0,0,0,0,0
