,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,CHI,L,21-24,4,22,5.5,7,0,1,2,8,8,8,0,0,0
1,2013,2,Home,PIT,W,10-20,8,38,4.8,8,1,1,2,27,27,27,1,0,0
2,2013,3,Home,GB,W,30-34,10,50,5,17,1,4,4,49,12.3,31,0,0,0
3,2013,4,Away,CLE,L,6-17,10,37,3.7,6,0,6,7,38,6.3,10,0,0,0
4,2013,5,Home,NE,W,6-13,13,62,4.8,28,0,2,3,7,3.5,6,0,1,1
5,2013,6,Away,BUF,W,27-24,15,28,1.9,7,0,6,7,72,12,23,1,0,0
6,2013,7,Away,DET,W,27-24,7,27,3.9,7,0,5,6,32,6.4,8,0,0,0
7,2013,8,Home,NYJ,W,9-49,5,18,3.6,5,0,1,2,9,9,9,0,0,0
8,2013,9,Away,MIA,L,20-22,9,79,8.8,35,2,4,4,25,6.3,10,0,0,0
9,2013,10,Away,BAL,L,17-20,14,58,4.1,18,0,8,8,37,4.6,18,1,0,0
10,2013,11,Home,CLE,W,20-41,10,45,4.5,13,0,4,5,41,10.3,25,0,0,0
11,2013,13,Away,SD,W,17-10,14,57,4.1,19,0,1,2,9,9,9,0,0,0
12,2013,14,Home,IND,W,28-42,12,99,8.3,20,0,4,4,49,12.3,22,0,0,0
13,2013,15,Away,PIT,L,20-30,13,33,2.5,7,1,2,4,13,6.5,8,0,0,0
14,2013,16,Home,MIN,W,14-42,13,20,1.5,4,0,2,3,47,23.5,41,0,0,0
15,2013,17,Home,BAL,W,17-34,13,22,1.7,7,0,5,7,51,10.2,27,0,0,0
0,2014,1,Away,BAL,W,23-16,14,48,3.4,16,0,6,10,62,10.3,32,0,0,0
1,2014,2,Home,ATL,W,10-24,27,90,3.3,12,1,5,6,79,15.8,46,0,0,0
2,2014,3,Home,TEN,W,7-33,14,47,3.4,12,2,1,3,7,7,7,0,0,0
3,2014,5,Away,NE,L,17-43,13,62,4.8,13,0,2,3,10,5,7,0,0,0
