,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,BUF,W,3-47,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,CIN,L,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,DEN,W,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,PIT,W,26-14,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,CLE,L,9-12,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,TEN,W,21-0,10,42,4.2,11,0,0,0,0,0,0,0,0,0
6,2018,7,Home,NO,L,24-23,2,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,CAR,L,21-36,2,12,6,8,0,1,1,7,7,7,0,0,0
8,2018,9,Home,PIT,L,23-16,1,10,10,10,0,0,0,0,0,0,0,0,0
9,2018,11,Home,CIN,W,21-24,17,115,6.8,17,1,0,0,0,0,0,0,0,0
10,2018,12,Home,OAK,W,17-34,23,118,5.1,19,0,0,0,0,0,0,0,0,0
11,2018,13,Away,ATL,W,26-16,21,82,3.9,9,0,0,0,0,0,0,0,0,0
12,2018,14,Away,KC,L,24-27,16,67,4.2,11,0,0,0,0,0,0,0,0,0
13,2018,15,Home,TB,W,12-20,19,104,5.5,26,1,0,0,0,0,0,0,0,0
14,2018,16,Away,LAC,W,22-10,14,92,6.6,43,0,1,1,13,13,13,0,0,0
15,2018,17,Home,CLE,W,24-26,12,76,6.3,24,0,0,0,0,0,0,0,0,0
0,2019,1,Away,MIA,W,59-10,17,56,3.3,11,0,0,0,0,0,0,0,0,0
1,2019,2,Home,ARI,W,17-23,3,11,3.7,4,0,0,0,0,0,0,0,0,0
2,2019,3,Away,KC,L,28-33,7,53,7.6,15,0,2,2,15,7.5,10,0,0,0
3,2019,4,Home,CLE,L,40-25,6,28,4.7,14,0,1,1,8,8,8,0,0,0
4,2019,5,Away,PIT,W,26-23,5,17,3.4,7,0,1,1,6,6,6,0,0,0
5,2019,6,Home,CIN,W,17-23,6,34,5.7,25,0,0,0,0,0,0,0,0,0
6,2019,7,Away,SEA,W,30-16,8,35,4.4,14,0,0,0,0,0,0,0,0,0
7,2019,9,Home,NE,W,20-37,7,27,3.9,12,1,0,0,0,0,0,0,0,0
8,2019,10,Away,CIN,W,49-13,4,17,4.3,8,0,0,0,0,0,0,0,0,0
9,2019,11,Home,HOU,W,7-41,8,112,14,63,1,0,0,0,0,0,0,0,0
10,2019,12,Away,LAR,W,45-6,14,55,3.9,11,0,0,0,0,0,0,0,0,0
11,2019,13,Home,SF,W,17-20,6,15,2.5,4,0,1,1,7,7,7,0,0,0
12,2019,14,Away,BUF,W,24-17,4,20,5,7,0,0,0,0,0,0,0,0,0
13,2019,15,Home,NYJ,W,21-42,5,35,7,28,0,0,0,0,0,0,0,0,0
14,2019,16,Away,CLE,W,31-15,12,66,5.5,10,0,1,1,7,7,7,0,1,0
15,2019,17,Home,PIT,W,10-28,21,130,6.2,38,0,1,1,2,2,2,0,1,1
