,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,SEA,W,10-12,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,LAR,L,3-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,SEA,W,18-37,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,NYJ,W,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,6,Away,SEA,W,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,ARI,T,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Away,NO,L,20-25,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Away,SEA,W,25-31,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,NE,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,SEA,W,15-26,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,TB,L,5-14,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,SEA,W,7-40,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,GB,L,10-38,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,SEA,W,3-24,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,SEA,L,34-31,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,SF,W,25-23,1,2,2,2,0,2,2,16,8,10,0,0,0
0,2017,1,Away,GB,L,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,SEA,W,9-12,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,TEN,L,27-33,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Home,IND,W,18-46,4,38,9.5,30,1,1,1,27,27,27,1,0,0
4,2017,5,Away,LAR,W,16-10,2,0,0,3,0,3,5,36,12,21,0,0,0
5,2017,7,Away,NYG,W,24-7,3,10,3.3,10,0,2,2,23,11.5,16,0,0,0
6,2017,8,Home,HOU,W,38-41,4,6,1.5,4,0,1,2,6,6,6,0,0,0
7,2017,9,Home,WAS,L,17-14,3,12,4,6,0,2,3,14,7,9,0,0,0
8,2017,10,Away,ARI,W,22-16,5,26,5.2,17,0,4,5,20,5,9,0,0,0
9,2017,11,Home,ATL,L,34-31,7,30,4.3,7,0,5,6,23,4.6,9,0,0,0
10,2017,12,Away,SF,W,24-13,4,22,5.5,14,0,4,7,24,6,12,0,0,0
11,2017,13,Home,PHI,W,10-24,1,-1,-1,-1,0,1,3,15,15,15,1,0,0
12,2017,14,Away,JAC,L,24-30,3,15,5,9,0,5,5,20,4,6,0,0,0
13,2017,15,Home,LAR,L,42-7,6,20,3.3,5,0,3,4,38,12.7,26,0,0,0
