,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,CLE,W,21-18,4,11,2.8,5,0,0,0,0,0,0,0,0,0
1,2017,2,Home,MIN,W,9-26,1,9,9,9,0,0,0,0,0,0,0,0,0
2,2017,3,Away,CHI,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,BAL,W,26-9,4,26,6.5,23,0,0,0,0,0,0,0,0,0
4,2017,5,Home,JAC,L,30-9,3,9,3,5,0,0,1,0,0,0,0,0,0
5,2017,6,Away,KC,W,19-13,2,14,7,11,0,0,0,0,0,0,0,0,0
6,2017,7,Home,CIN,W,14-29,3,19,6.3,10,0,0,0,0,0,0,0,0,0
7,2017,8,Away,DET,W,20-15,1,1,1,1,0,0,0,0,0,0,0,0,0
8,2017,10,Away,IND,W,20-17,1,12,12,12,0,0,0,0,0,0,0,0,0
9,2017,11,Home,TEN,W,17-40,5,12,2.4,5,0,0,0,0,0,0,0,0,0
10,2017,12,Home,GB,W,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Away,CIN,W,23-20,3,12,4,10,0,0,0,0,0,0,0,0,0
12,2017,14,Home,BAL,W,38-39,2,6,3,6,0,0,0,0,0,0,0,0,0
13,2017,15,Home,NE,L,27-24,3,13,4.3,10,0,0,0,0,0,0,0,0,0
14,2017,16,Away,HOU,W,34-6,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Home,CLE,W,24-28,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,CLE,T,21-21,31,135,4.4,22,2,5,6,57,11.4,19,0,1,1
1,2018,2,Home,KC,L,42-37,8,17,2.1,9,1,5,5,48,9.6,22,0,0,0
2,2018,3,Away,TB,W,30-27,15,61,4.1,27,0,5,6,34,6.8,18,0,0,0
3,2018,4,Home,BAL,L,26-14,9,19,2.1,4,0,3,7,25,8.3,15,0,0,0
4,2018,5,Home,ATL,W,17-41,21,110,5.2,30,2,4,4,75,18.8,29,0,1,0
5,2018,6,Away,CIN,W,28-21,19,111,5.8,26,2,4,7,18,4.5,8,0,0,0
6,2018,8,Home,CLE,W,18-33,24,146,6.1,30,2,5,6,66,13.2,14,0,1,0
7,2018,9,Away,BAL,W,23-16,24,107,4.5,25,0,7,9,56,8,17,1,0,0
8,2018,10,Home,CAR,W,21-52,13,65,5,15,1,1,1,8,8,8,0,0,0
9,2018,11,Away,JAC,W,20-16,9,25,2.8,9,0,6,9,24,4,6,0,0,0
10,2018,12,Away,DEN,L,17-24,13,53,4.1,11,0,4,4,42,10.5,23,0,1,1
11,2018,13,Home,LAC,L,33-30,15,60,4,20,2,3,4,14,4.7,10,0,0,0
12,2018,14,Away,OAK,L,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Home,NE,W,10-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,NO,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,CIN,W,13-16,14,64,4.6,16,0,3,3,30,10,20,0,0,0
0,2019,1,Away,NE,L,3-33,10,21,2.1,5,0,4,4,44,11,23,0,0,0
1,2019,2,Home,SEA,L,28-26,11,33,3,14,1,3,4,12,4,9,0,0,0
2,2019,3,Away,SF,L,20-24,13,43,3.3,10,0,4,4,14,3.5,5,0,1,1
3,2019,4,Home,CIN,W,3-27,10,42,4.2,21,0,8,8,83,10.4,21,1,0,0
4,2019,5,Home,BAL,L,26-23,14,55,3.9,12,1,0,0,0,0,0,0,0,0
5,2019,6,Away,LAC,W,24-17,16,41,2.6,12,1,7,7,78,11.1,26,1,0,0
6,2019,8,Home,MIA,W,14-27,23,145,6.3,25,1,3,4,5,1.7,9,0,0,0
7,2019,9,Home,IND,W,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,LAR,W,12-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,CLE,L,7-21,5,10,2,7,0,1,2,6,6,6,0,0,0
10,2019,12,Away,CIN,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,CLE,W,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,ARI,W,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,BUF,L,17-10,8,42,5.3,17,0,4,5,9,2.3,11,1,0,0
14,2019,16,Away,NYJ,L,10-16,6,32,5.3,15,0,0,0,0,0,0,0,0,0
15,2019,17,Away,BAL,L,10-28,-,-,-,-,-,-,-,-,-,-,-,-,-
