,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,BUF,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Home,NYJ,W,10-13,0,0,0,0,0,1,1,4,4,4,0,0,0
2,2013,3,Home,TB,W,3-23,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Away,ATL,W,30-23,0,0,0,0,0,1,1,15,15,15,0,0,0
4,2013,5,Away,CIN,L,6-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013,6,Home,NO,W,27-30,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,7,Away,NYJ,L,27-30,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,8,Home,MIA,W,17-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,9,Home,PIT,W,31-55,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,11,Away,CAR,L,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,12,Home,DEN,W,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,13,Away,HOU,W,34-31,2,4,2,3,1,1,1,12,12,12,0,0,0
12,2013,14,Home,CLE,W,26-27,0,0,0,0,0,1,1,31,31,31,0,0,0
13,2013,15,Away,MIA,L,20-24,1,2,2,2,0,0,0,0,0,0,0,0,0
14,2013,16,Away,BAL,W,41-7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013,17,Home,BUF,W,20-34,1,4,4,4,0,0,0,0,0,0,0,0,0
0,2014,1,Away,MIA,L,20-33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Away,MIN,W,30-7,0,0,0,0,0,2,2,17,8.5,13,0,0,0
2,2014,3,Home,OAK,W,9-16,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Away,KC,L,14-41,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,5,Home,CIN,W,17-43,2,5,2.5,5,0,1,1,11,11,11,0,0,0
5,2014,6,Away,BUF,W,37-22,1,0,0,0,0,1,1,2,2,2,0,0,0
6,2014,7,Home,NYJ,W,25-27,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,8,Home,CHI,W,23-51,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,9,Home,DEN,W,21-43,0,0,0,0,0,2,2,13,6.5,10,0,1,0
9,2014,11,Away,IND,W,42-20,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2014,12,Home,DET,W,9-34,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,GB,L,21-26,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Away,SD,W,23-14,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2014,15,Home,MIA,W,13-41,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Away,NYJ,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Home,BUF,L,17-9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2016,1,Away,ARI,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Home,MIA,W,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Home,HOU,W,0-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,BUF,L,16-0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Away,CLE,W,33-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Home,CIN,W,17-35,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,7,Away,PIT,W,27-16,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,8,Away,BUF,W,41-25,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,10,Home,SEA,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,SF,W,30-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,NYJ,W,22-17,0,0,0,0,0,1,2,5,5,5,0,0,0
11,2016,13,Home,LAR,W,10-26,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2016,14,Home,BAL,W,23-30,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2016,15,Away,DEN,W,16-3,0,0,0,0,0,1,1,13,13,13,0,0,0
14,2016,16,Home,NYJ,W,3-41,0,0,0,0,0,1,1,0,0,0,0,0,0
15,2016,17,Away,MIA,W,35-14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Home,KC,L,42-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,NO,W,36-20,0,0,0,0,0,1,1,6,6,6,0,0,0
2,2017,3,Home,HOU,W,33-36,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,CAR,L,33-30,0,0,0,0,0,2,2,14,7,8,0,0,0
4,2017,5,Away,TB,W,19-14,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2017,6,Away,NYJ,W,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,ATL,W,7-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Home,LAC,W,13-21,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2017,10,Away,DEN,W,41-16,0,0,0,0,0,2,2,16,8,10,0,0,0
9,2017,11,Away,OAK,W,33-8,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,MIA,W,17-35,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Away,BUF,W,23-3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,MIA,L,20-27,0,0,0,0,0,1,1,2,2,2,0,0,0
13,2017,15,Away,PIT,W,27-24,0,0,0,0,0,0,1,0,0,0,0,0,0
14,2017,16,Home,BUF,W,16-37,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,NYJ,W,6-26,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2018,1,Home,HOU,W,20-27,0,0,0,0,0,4,4,22,5.5,10,0,0,0
1,2018,2,Away,JAC,L,20-31,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2018,3,Away,DET,L,10-26,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2018,4,Home,MIA,W,7-38,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2018,5,Home,IND,W,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,KC,W,40-43,0,0,0,0,0,2,2,3,1.5,4,0,0,0
6,2018,7,Away,CHI,W,38-31,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2018,8,Away,BUF,W,25-6,0,0,0,0,0,1,2,7,7,7,0,0,0
8,2018,9,Home,GB,W,17-31,0,0,0,0,0,1,2,0,0,0,0,0,0
9,2018,10,Away,TEN,L,10-34,1,1,1,1,1,0,0,0,0,0,0,0,0
10,2018,12,Away,NYJ,W,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,MIN,W,10-24,4,5,1.3,2,2,1,1,9,9,9,0,0,0
12,2018,14,Away,MIA,L,33-34,1,2,2,2,1,0,0,0,0,0,0,0,0
13,2018,15,Away,PIT,L,10-17,0,0,0,0,0,2,2,18,9,11,0,0,0
14,2018,16,Home,BUF,W,12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,NYJ,W,3-38,0,0,0,0,0,1,1,2,2,2,0,0,0
0,2019,1,Home,PIT,W,3-33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,MIA,W,43-0,2,3,1.5,2,0,0,0,0,0,0,0,0,0
2,2019,3,Home,NYJ,W,14-30,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,BUF,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,WAS,W,33-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,NYG,W,14-35,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Away,NYJ,W,33-0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,CLE,W,13-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,BAL,L,20-37,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,PHI,W,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,DAL,W,9-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,HOU,L,22-28,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,KC,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,CIN,W,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,BUF,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,MIA,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
