,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,CLE,T,21-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,KC,L,42-37,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,TB,W,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,BAL,L,26-14,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,ATL,W,17-41,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,CIN,W,28-21,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,8,Home,CLE,W,18-33,4,17,4.3,7,0,0,0,0,0,0,0,0,0
7,2018,9,Away,BAL,W,23-16,1,2,2,2,0,0,0,0,0,0,0,0,0
8,2018,10,Home,CAR,W,21-52,5,7,1.4,5,0,3,4,22,7.3,14,1,0,0
9,2018,11,Away,JAC,W,20-16,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,DEN,L,17-24,0,0,0,0,0,1,2,12,12,12,0,0,0
11,2018,13,Home,LAC,L,33-30,2,5,2.5,4,0,3,3,20,6.7,10,1,1,0
12,2018,14,Away,OAK,L,21-24,11,28,2.5,9,0,7,7,64,9.1,23,0,0,0
13,2018,15,Home,NE,W,10-17,19,142,7.5,25,0,2,2,30,15,20,0,0,0
14,2018,16,Away,NO,L,28-31,12,53,4.4,16,0,3,3,11,3.7,7,1,0,0
15,2018,17,Home,CIN,W,13-16,2,2,1,4,0,7,8,40,5.7,12,0,0,0
0,2019,1,Away,NE,L,3-33,2,4,2,2,0,1,2,2,2,2,0,0,0
1,2019,2,Home,SEA,L,28-26,3,18,6,7,0,1,1,13,13,13,0,0,0
2,2019,3,Away,SF,L,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,CIN,W,3-27,10,26,2.6,13,1,8,8,57,7.1,14,0,0,0
4,2019,5,Home,BAL,L,26-23,3,2,0.7,6,0,3,4,11,3.7,9,0,0,0
5,2019,6,Away,LAC,W,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Home,MIA,W,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Home,IND,W,24-26,8,10,1.3,6,0,13,13,73,5.6,17,0,1,1
8,2019,10,Home,LAR,W,12-17,14,29,2.1,8,0,3,7,11,3.7,5,0,0,0
9,2019,11,Away,CLE,L,7-21,5,26,5.2,11,0,5,6,19,3.8,10,1,0,0
10,2019,12,Away,CIN,W,16-10,2,6,3,4,0,3,3,26,8.7,11,0,0,0
11,2019,13,Home,CLE,W,13-20,7,32,4.6,8,0,2,2,22,11,15,0,0,0
12,2019,14,Away,ARI,W,23-17,7,16,2.3,9,0,2,2,18,9,18,0,0,0
13,2019,15,Home,BUF,L,17-10,2,-1,-0.5,2,0,1,1,5,5,5,0,0,0
14,2019,16,Away,NYJ,L,10-16,3,7,2.3,6,0,4,6,32,8,27,0,0,0
15,2019,17,Away,BAL,L,10-28,0,0,0,0,0,1,2,16,16,16,0,0,0
