,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,OAK,W,33-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,ARI,W,0-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,LAC,W,23-35,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,MIN,W,31-38,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,SEA,W,33-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,DEN,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,SF,W,39-10,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,GB,W,27-29,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Away,NO,L,35-45,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,10,Home,SEA,W,31-36,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,11,Home,KC,W,51-54,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,DET,W,30-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,CHI,L,6-15,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,PHI,L,30-23,2,4,2,5,0,0,0,0,0,0,0,0,0
14,2018,16,Away,ARI,W,31-9,10,40,4,7,0,1,1,9,9,9,0,0,0
15,2018,17,Home,SF,W,32-48,15,30,2,7,0,1,2,18,18,18,0,0,0
0,2019,1,Away,CAR,W,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,NO,W,9-27,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,CLE,W,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,TB,L,55-40,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,SEA,L,29-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,SF,L,20-7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,ATL,W,37-10,3,9,3,6,0,0,0,0,0,0,0,0,0
7,2019,8,Home,CIN,W,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,PIT,L,12-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,CHI,W,7-17,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,BAL,L,45-6,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,ARI,W,34-7,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,SEA,W,12-28,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,DAL,L,21-44,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,SF,L,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,ARI,W,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
