,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Away,DAL,L,17-35,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,BUF,L,28-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,TB,W,32-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,WAS,W,3-24,10,33,3.3,7,0,0,0,0,0,0,0,1,1
4,2019,5,Home,MIN,L,28-10,9,20,2.2,6,0,1,2,4,4,4,0,0,0
5,2019,6,Away,NE,L,14-35,11,38,3.5,10,0,2,2,-3,-1.5,5,0,1,1
6,2019,7,Home,ARI,L,27-21,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,DET,L,26-31,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Home,DAL,L,37-18,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,NYJ,L,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,CHI,L,14-19,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,GB,L,31-13,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,PHI,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,MIA,W,20-36,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,WAS,W,41-35,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,PHI,L,34-17,-,-,-,-,-,-,-,-,-,-,-,-,-
