,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,HOU,L,14-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Home,PHI,L,29-14,3,22,7.3,10,0,2,2,9,4.5,7,0,0,0
2,2016,3,Away,DAL,L,17-31,9,45,5,36,0,4,6,47,11.8,15,0,1,0
3,2016,4,Home,DET,W,14-17,23,111,4.8,17,0,3,4,21,7,9,0,0,0
4,2016,5,Away,IND,L,23-29,16,118,7.4,57,0,3,3,45,15,21,1,0,0
5,2016,6,Home,JAC,L,17-16,15,34,2.3,9,1,2,4,6,3,7,0,0,0
6,2016,7,Away,GB,L,10-26,7,22,3.1,11,0,0,1,0,0,0,0,0,0
7,2016,8,Home,MIN,W,10-20,26,153,5.9,69,1,4,4,49,12.3,34,0,0,0
8,2016,10,Away,TB,L,10-36,15,100,6.7,15,0,0,0,0,0,0,0,1,1
9,2016,11,Away,NYG,L,16-22,17,77,4.5,27,0,1,8,22,22,22,0,0,0
10,2016,12,Home,TEN,L,27-21,18,84,4.7,22,0,3,5,43,14.3,23,0,0,0
11,2016,13,Home,SF,W,6-26,32,117,3.7,25,3,0,1,0,0,0,0,0,0
12,2016,14,Away,DET,L,17-20,13,86,6.6,31,0,2,5,24,12,19,0,0,0
13,2016,15,Home,GB,L,30-27,17,90,5.3,13,1,4,4,23,5.8,9,0,0,0
14,2016,16,Home,WAS,L,41-21,18,119,6.6,23,0,1,3,9,9,9,0,0,0
15,2016,17,Away,MIN,L,10-38,23,135,5.9,18,0,0,0,0,0,0,0,0,0
0,2017,1,Home,ATL,L,23-17,13,52,4,11,1,3,5,14,4.7,9,0,0,0
1,2017,2,Away,TB,L,7-29,9,7,0.8,4,0,0,1,0,0,0,0,0,0
2,2017,3,Home,PIT,W,17-23,23,140,6.1,19,2,5,5,26,5.2,10,0,1,1
3,2017,4,Away,GB,L,14-35,18,53,2.9,16,1,2,4,10,5,7,0,0,0
4,2017,5,Home,MIN,L,20-17,19,76,4,13,0,0,0,0,0,0,0,0,0
5,2017,6,Away,BAL,W,27-24,36,167,4.6,53,0,1,1,9,9,9,0,0,0
6,2017,7,Home,CAR,W,3-17,21,65,3.1,11,0,0,0,0,0,0,0,0,0
7,2017,8,Away,NO,L,12-20,23,102,4.4,50,0,3,5,19,6.3,12,0,0,0
8,2017,10,Home,GB,L,23-16,15,54,3.6,25,0,0,0,0,0,0,0,0,0
9,2017,11,Home,DET,L,27-24,15,125,8.3,50,1,0,0,0,0,0,0,0,0
10,2017,12,Away,PHI,L,3-31,7,6,0.9,4,0,2,2,13,6.5,9,0,0,0
11,2017,13,Home,SF,L,15-14,13,38,2.9,14,0,1,2,-5,-5,-5,0,0,0
