,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,CIN,L,34-23,14,40,2.9,12,0,3,3,21,7,8,0,0,0
1,2018,2,Away,WAS,W,21-9,10,61,6.1,18,0,2,2,3,1.5,3,0,0,0
2,2018,3,Away,PHI,L,16-20,6,19,3.2,5,0,2,2,1,0.5,1,0,0,0
3,2018,4,Home,HOU,L,37-34,8,16,2,7,0,0,1,0,0,0,0,0,0
4,2018,5,Away,NE,L,24-38,6,39,6.5,16,0,2,2,9,4.5,5,0,1,1
5,2018,6,Away,NYJ,L,34-42,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,BUF,W,5-37,6,46,7.7,18,0,1,1,8,8,8,0,0,0
7,2018,8,Away,OAK,W,42-28,2,14,7,9,0,0,0,0,0,0,0,0,0
8,2018,10,Home,JAC,W,26-29,1,53,53,53,0,0,0,0,0,0,0,0,0
9,2018,11,Home,TEN,W,10-38,4,30,7.5,18,1,0,0,0,0,0,0,0,0
10,2018,12,Home,MIA,W,24-27,0,0,0,0,0,3,3,32,10.7,17,0,1,1
11,2018,13,Away,JAC,L,0-6,0,0,0,0,0,1,1,0,0,0,0,0,0
12,2018,14,Away,HOU,W,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,DAL,W,0-23,0,0,0,0,0,1,1,6,6,6,0,0,0
14,2018,16,Home,NYG,W,27-28,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,TEN,W,33-17,3,18,6,8,0,1,1,5,5,5,0,0,0
0,2019,1,Away,LAC,L,24-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,TEN,W,19-17,5,82,16.4,55,0,1,1,4,4,4,0,0,0
2,2019,3,Home,ATL,W,24-27,3,-2,-0.7,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,OAK,L,31-24,4,17,4.3,6,0,1,1,11,11,11,0,0,0
4,2019,5,Away,KC,W,19-13,7,28,4,10,0,0,0,0,0,0,0,0,0
5,2019,7,Home,HOU,W,23-30,2,9,4.5,9,0,1,1,6,6,6,0,0,0
6,2019,8,Home,DEN,W,13-15,2,5,2.5,4,0,0,0,0,0,0,0,0,0
7,2019,9,Away,PIT,L,24-26,1,6,6,6,0,1,2,6,6,6,0,0,0
8,2019,10,Home,MIA,L,16-12,3,20,6.7,11,0,0,0,0,0,0,0,0,0
9,2019,11,Home,JAC,W,13-33,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,HOU,L,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,TEN,L,31-17,11,47,4.3,15,0,2,3,9,4.5,5,0,0,0
12,2019,14,Away,TB,L,35-38,1,1,1,1,0,0,0,0,0,0,0,0,0
13,2019,15,Away,NO,L,7-34,3,10,3.3,5,1,1,3,7,7,7,0,0,0
14,2019,16,Home,CAR,W,6-38,9,84,9.3,38,1,0,0,0,0,0,0,0,0
15,2019,17,Away,JAC,L,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-
