,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Home,DEN,W,16-24,23,85,3.7,13,2,1,1,28,28,28,0,0,0
1,2019,2,Home,KC,L,28-10,12,99,8.3,51,0,0,0,0,0,0,0,0,0
2,2019,3,Away,MIN,L,14-34,10,44,4.4,18,0,0,2,0,0,0,0,0,0
3,2019,4,Away,IND,W,31-24,17,79,4.6,16,0,2,2,29,14.5,20,0,0,0
4,2019,5,Home,CHI,W,21-24,26,123,4.7,21,2,3,3,20,6.7,10,0,0,0
5,2019,7,Away,GB,L,24-42,21,124,5.9,42,0,3,3,10,3.3,4,0,0,0
6,2019,8,Away,HOU,L,24-27,15,66,4.4,23,0,2,2,15,7.5,8,0,0,0
7,2019,9,Home,DET,W,24-31,28,120,4.3,17,2,0,2,0,0,0,0,0,0
8,2019,10,Home,LAC,W,24-26,16,71,4.4,18,1,3,5,30,10,17,0,0,0
9,2019,11,Home,CIN,W,10-17,23,112,4.9,21,0,3,3,12,4,7,0,1,1
10,2019,12,Away,NYJ,L,3-34,10,34,3.4,15,0,1,1,2,2,2,0,0,0
11,2019,13,Away,KC,L,9-40,17,104,6.1,35,0,0,0,0,0,0,0,0,0
12,2019,14,Away,OAK,L,42-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,JAC,L,20-16,24,89,3.7,9,0,2,3,20,10,14,0,0,0
14,2019,16,Away,LAC,W,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,DEN,L,15-16,-,-,-,-,-,-,-,-,-,-,-,-,-
