,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Away,MIA,W,59-10,7,27,3.9,13,0,0,0,0,0,0,0,0,0
1,2019,2,Home,ARI,W,17-23,1,4,4,4,0,1,2,10,10,10,0,0,0
2,2019,3,Away,KC,L,28-33,1,1,1,1,0,0,3,0,0,0,0,0,0
3,2019,4,Home,CLE,L,40-25,2,8,4,5,0,2,2,9,4.5,5,0,0,0
4,2019,5,Away,PIT,W,26-23,2,7,3.5,4,0,0,0,0,0,0,0,0,0
5,2019,6,Home,CIN,W,17-23,5,31,6.2,12,0,0,0,0,0,0,0,0,0
6,2019,7,Away,SEA,W,30-16,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,NE,W,20-37,3,7,2.3,3,0,0,1,0,0,0,0,0,0
8,2019,10,Away,CIN,W,49-13,3,11,3.7,8,0,0,0,0,0,0,0,0,0
9,2019,11,Home,HOU,W,7-41,5,18,3.6,9,0,1,1,9,9,9,0,0,0
10,2019,12,Away,LAR,W,45-6,8,27,3.4,11,0,0,0,0,0,0,0,0,0
11,2019,13,Home,SF,W,17-20,1,3,3,3,0,0,0,0,0,0,0,0,0
12,2019,14,Away,BUF,W,24-17,3,8,2.7,9,0,0,0,0,0,0,0,0,0
13,2019,15,Home,NYJ,W,21-42,4,15,3.8,9,0,0,0,0,0,0,0,0,0
14,2019,16,Away,CLE,W,31-15,3,19,6.3,18,1,3,4,32,10.7,14,0,0,0
15,2019,17,Home,PIT,W,10-28,10,39,3.9,13,1,1,2,10,10,10,0,0,0
