,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,CAR,L,12-7,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,BUF,L,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,CAR,W,0-38,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,5,Away,ARI,L,6-22,0,0,0,0,0,1,2,5,5,5,0,0,0
4,2013,6,Away,MIN,W,35-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,7,Home,STL,W,15-30,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,8,Away,TB,W,31-13,1,1,1,1,0,1,1,2,2,2,0,0,0
7,2013,9,Away,CAR,W,10-34,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Away,SF,W,10-9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,11,Away,CAR,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,MIA,W,20-16,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Home,TB,W,6-27,5,6,1.2,2,0,0,0,0,0,0,0,0,0
12,2013,14,Away,NO,L,13-31,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Home,NYJ,W,20-30,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2013,16,Home,NO,W,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013,17,Away,ATL,W,21-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Away,ATL,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,PHI,L,20-10,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,NYJ,W,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Away,WAS,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Away,PHI,W,17-39,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,PHI,W,7-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Away,CAR,L,16-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Away,DAL,W,33-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Away,PHI,L,20-19,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Home,TB,L,45-17,7,37,5.3,8,0,0,1,0,0,0,0,0,0
10,2015,12,Away,DET,L,14-45,7,30,4.3,16,0,1,1,1,1,1,0,0,0
11,2015,13,Away,NE,W,35-28,9,39,4.3,19,0,2,2,7,3.5,5,0,1,1
12,2015,14,Home,BUF,W,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Home,ARI,L,40-17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,WAS,L,38-24,0,0,0,0,0,1,3,-7,-7,-7,0,0,0
15,2015,17,Away,NYG,W,35-30,5,18,3.6,7,0,5,5,21,4.2,12,0,0,0
0,2016,1,Home,CLE,W,10-29,4,42,10.5,19,0,0,0,0,0,0,0,0,0
1,2016,2,Away,CHI,W,29-14,2,2,1,3,0,0,0,0,0,0,0,0,0
2,2016,3,Home,PIT,W,3-34,8,42,5.3,14,1,0,0,0,0,0,0,0,0
3,2016,5,Away,DET,L,23-24,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,6,Away,WAS,L,20-27,2,6,3,6,0,0,0,0,0,0,0,0,0
5,2016,7,Home,MIN,W,10-21,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,8,Away,DAL,L,23-29,3,9,3,4,0,1,1,5,5,5,0,0,0
7,2016,9,Away,NYG,L,23-28,1,3,3,3,1,0,0,0,0,0,0,0,0
8,2016,10,Home,ATL,W,15-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,SEA,L,15-26,3,17,5.7,11,0,0,1,0,0,0,0,0,0
10,2016,12,Home,GB,L,27-13,1,2,2,2,0,1,1,10,10,10,0,0,0
11,2016,13,Away,CIN,L,14-32,0,0,0,0,0,1,3,2,2,2,0,0,0
12,2016,14,Away,PHI,L,27-22,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,BAL,L,26-27,3,6,2,2,0,2,5,25,12.5,15,0,0,0
