,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,NYJ,L,48-17,5,17,3.4,9,0,3,3,20,6.7,9,0,0,0
1,2018,2,Away,SF,L,27-30,8,43,5.4,21,0,5,6,23,4.6,8,0,0,0
2,2018,3,Home,NE,W,10-26,16,101,6.3,15,0,2,3,9,4.5,5,0,0,0
3,2018,4,Away,DAL,L,24-26,9,55,6.1,32,1,1,1,1,1,1,0,0,0
4,2018,5,Home,GB,W,23-31,12,70,5.8,24,0,2,2,15,7.5,12,0,0,0
5,2018,7,Away,MIA,W,32-21,19,158,8.3,71,0,2,3,21,10.5,15,0,0,0
6,2018,8,Home,SEA,L,28-14,8,22,2.8,7,0,6,8,69,11.5,24,0,0,0
7,2018,9,Away,MIN,L,9-24,12,37,3.1,6,0,3,5,7,2.3,11,0,0,0
8,2018,10,Away,CHI,L,22-34,14,51,3.6,10,1,6,6,38,6.3,13,1,1,1
9,2018,11,Home,CAR,W,19-20,15,87,5.8,24,1,2,2,10,5,7,0,0,0
10,2018,12,Home,CHI,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Home,LAR,L,30-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,ARI,W,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,BUF,L,13-14,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,MIN,L,27-9,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,GB,W,31-0,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,ARI,T,27-27,16,49,3.1,9,0,2,2,13,6.5,7,0,0,0
1,2019,2,Home,LAC,W,10-13,12,41,3.4,9,0,2,3,47,23.5,36,1,0,0
2,2019,3,Away,PHI,W,27-24,20,36,1.8,11,1,1,1,7,7,7,0,0,0
3,2019,4,Home,KC,L,34-30,26,125,4.8,14,0,2,3,32,16,22,0,1,1
4,2019,6,Away,GB,L,22-23,13,34,2.6,8,1,2,4,27,13.5,20,0,0,0
5,2019,7,Home,MIN,L,42-30,5,23,4.6,6,0,0,1,0,0,0,0,0,0
6,2019,8,Home,NYG,W,26-31,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,OAK,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Away,CHI,L,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,DAL,L,35-27,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,WAS,L,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,CHI,L,24-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,MIN,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,TB,L,38-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,DEN,L,17-27,10,42,4.2,8,0,1,1,1,1,1,0,0,0
15,2019,17,Home,GB,L,23-20,11,53,4.8,20,1,0,0,0,0,0,0,0,0
