,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,DEN,L,27-49,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Home,CLE,W,6-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,3,Home,HOU,W,9-30,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Away,BUF,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,5,Away,MIA,W,26-23,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2013,6,Home,GB,L,19-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,7,Away,PIT,L,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,9,Away,CLE,L,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,10,Home,CIN,W,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,11,Away,CHI,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,12,Home,NYJ,W,3-19,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,13,Home,PIT,W,20-22,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,14,Home,MIN,W,26-29,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Away,DET,W,18-16,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Home,NE,L,41-7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013,17,Away,CIN,L,17-34,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2014,1,Home,CIN,L,23-16,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2014,2,Home,PIT,W,6-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Away,CLE,W,23-21,0,0,0,0,0,3,4,54,18,33,1,0,0
3,2014,4,Home,CAR,W,10-38,0,0,0,0,0,2,2,8,4,6,0,0,0
4,2014,5,Away,IND,L,13-20,0,0,0,0,0,0,2,0,0,0,0,0,0
5,2014,6,Away,TB,W,48-17,0,0,0,0,0,2,3,29,14.5,18,0,0,0
6,2014,7,Home,ATL,W,7-29,0,0,0,0,0,1,1,4,4,4,0,0,0
7,2014,8,Away,CIN,L,24-27,0,0,0,0,0,1,1,21,21,21,0,0,0
8,2014,9,Away,PIT,L,23-43,0,0,0,0,0,1,2,12,12,12,0,0,0
9,2014,10,Home,TEN,W,7-21,0,0,0,0,0,3,3,26,8.7,16,0,0,0
10,2014,12,Away,NO,W,34-27,0,0,0,0,0,3,3,21,7,8,0,1,1
11,2014,13,Home,SD,L,34-33,0,0,0,0,0,0,2,0,0,0,0,0,0
12,2014,14,Away,MIA,W,28-13,0,0,0,0,0,2,2,3,1.5,8,0,0,0
13,2014,15,Home,JAC,W,12-20,0,0,0,0,0,1,1,4,4,4,0,1,1
14,2014,16,Away,HOU,L,13-25,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Home,CLE,W,10-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Away,DEN,L,13-19,0,0,0,0,0,4,4,17,4.3,9,0,0,0
1,2015,2,Away,OAK,L,33-37,0,0,0,0,0,1,1,11,11,11,0,0,0
2,2015,3,Home,CIN,L,28-24,0,0,0,0,0,2,3,11,5.5,9,0,0,0
3,2015,4,Away,PIT,W,23-20,0,0,0,0,0,1,1,3,3,3,0,0,0
4,2015,5,Home,CLE,L,33-30,0,0,0,0,0,3,6,31,10.3,15,1,0,0
5,2015,6,Away,SF,L,20-25,0,0,0,0,0,2,2,22,11,17,0,0,0
6,2015,7,Away,ARI,L,18-26,0,0,0,0,0,4,5,15,3.8,11,1,0,0
7,2015,8,Home,SD,W,26-29,0,0,0,0,0,1,2,39,39,39,0,0,0
8,2015,10,Home,JAC,L,22-20,0,0,0,0,0,5,5,47,9.4,22,0,0,0
9,2015,11,Home,STL,W,13-16,2,3,1.5,2,0,3,5,10,3.3,7,0,0,0
10,2015,12,Away,CLE,W,33-27,0,0,0,0,0,2,4,18,9,15,0,0,0
11,2015,13,Away,MIA,L,13-15,0,0,0,0,0,1,2,-2,-2,-2,0,0,0
12,2015,14,Home,SEA,L,35-6,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2015,15,Home,KC,L,34-14,0,0,0,0,0,5,6,26,5.2,11,1,0,0
14,2015,16,Home,PIT,W,17-20,0,0,0,0,0,5,7,55,11,34,0,0,0
15,2015,17,Away,CIN,L,16-24,0,0,0,0,0,2,2,18,9,16,1,0,0
0,2016,1,Home,BUF,W,7-13,1,2,2,2,0,2,3,21,10.5,12,0,0,0
1,2016,2,Away,CLE,W,25-20,0,0,0,0,0,1,2,8,8,8,0,0,0
2,2016,3,Away,JAC,W,19-17,0,0,0,0,0,1,1,2,2,2,0,0,0
3,2016,4,Home,OAK,L,28-27,0,0,0,0,0,6,7,56,9.3,17,0,0,0
4,2016,5,Home,WAS,L,16-10,0,0,0,0,0,3,5,20,6.7,8,0,0,0
5,2016,6,Away,NYG,L,23-27,0,0,0,0,0,4,6,25,6.3,18,0,0,0
6,2016,7,Away,NYJ,L,16-24,0,0,0,0,0,1,1,2,2,2,0,0,0
7,2016,9,Home,PIT,W,14-21,1,2,2,2,0,0,0,0,0,0,0,0,0
8,2016,10,Home,CLE,W,7-28,1,3,3,3,0,2,3,4,2,3,0,0,0
9,2016,11,Away,DAL,L,17-27,0,0,0,0,0,3,3,32,10.7,13,0,0,0
10,2016,12,Home,CIN,W,14-19,0,0,0,0,0,3,5,18,6,16,0,0,0
11,2016,13,Home,MIA,W,6-38,0,0,0,0,0,1,1,6,6,6,0,0,0
12,2016,14,Away,NE,L,23-30,0,0,0,0,0,3,3,46,15.3,40,0,0,0
13,2016,15,Home,PHI,W,26-27,0,0,0,0,0,3,4,15,5,10,0,0,0
14,2016,16,Away,PIT,L,27-31,2,15,7.5,10,1,2,3,10,5,6,0,0,0
15,2016,17,Away,CIN,L,10-27,0,0,0,0,0,2,2,1,0.5,4,0,0,0
0,2017,1,Home,CAR,L,23-3,1,0,0,0,0,2,4,17,8.5,12,0,0,0
1,2017,2,Away,SEA,L,9-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Home,LAR,L,41-39,0,0,0,0,0,1,1,34,34,34,0,0,0
3,2017,4,Away,ARI,L,15-18,1,8,8,8,0,3,3,15,5,7,0,0,0
4,2017,5,Away,IND,L,23-26,1,3,3,3,0,2,4,14,7,8,1,0,0
5,2017,6,Away,WAS,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Home,DAL,L,40-10,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,8,Away,PHI,L,10-33,1,12,12,12,0,0,0,0,0,0,0,0,0
8,2017,9,Home,ARI,L,20-10,1,5,5,5,0,1,2,5,5,5,0,1,1
9,2017,10,Home,NYG,W,21-31,1,0,0,0,0,5,6,27,5.4,12,0,1,1
10,2017,12,Home,SEA,L,24-13,0,0,0,0,0,2,2,8,4,4,0,0,0
11,2017,13,Away,CHI,W,15-14,1,3,3,3,0,3,3,20,6.7,16,0,0,0
12,2017,14,Away,HOU,W,26-16,0,0,0,0,0,3,4,64,21.3,31,0,0,0
13,2017,15,Home,TEN,W,23-25,0,0,0,0,0,2,4,16,8,9,0,0,0
14,2017,16,Home,JAC,W,33-44,0,0,0,0,0,5,5,76,15.2,44,0,0,0
15,2017,17,Away,LAR,W,34-13,0,0,0,0,0,4,4,19,4.8,14,0,0,0
0,2018,1,Away,MIN,L,16-24,0,0,0,0,0,1,2,56,56,56,0,0,0
1,2018,2,Home,DET,W,27-30,0,0,0,0,0,3,4,13,4.3,9,0,0,0
2,2018,3,Away,KC,L,27-38,0,0,0,0,0,2,4,38,19,35,1,0,0
3,2018,4,Away,LAC,L,27-29,0,0,0,0,0,2,3,15,7.5,10,0,0,0
4,2018,5,Home,ARI,L,28-18,1,12,12,12,0,6,7,75,12.5,25,0,0,0
5,2018,6,Away,GB,L,30-33,0,0,0,0,0,3,3,30,10,21,0,1,1
6,2018,7,Home,LAR,L,39-10,1,-5,-5,-5,0,2,3,18,9,9,0,0,0
7,2018,8,Away,ARI,L,15-18,2,10,5,6,0,0,1,0,0,0,0,0,0
8,2018,9,Home,OAK,W,3-34,1,1,1,1,0,2,2,10,5,6,0,0,0
9,2018,10,Home,NYG,L,27-23,1,3,3,3,0,2,2,10,5,11,0,0,0
10,2018,12,Away,TB,L,9-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,SEA,L,16-43,0,0,0,0,0,3,3,20,6.7,7,0,0,0
12,2018,14,Home,DEN,W,14-20,0,0,0,0,0,2,3,21,10.5,17,0,0,0
13,2018,15,Home,SEA,W,23-26,0,0,0,0,0,1,1,3,3,3,0,0,0
14,2018,16,Home,CHI,L,14-9,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,LAR,L,32-48,2,9,4.5,9,0,1,2,15,15,15,0,1,1
0,2019,1,Away,TB,W,31-17,0,0,0,0,0,0,0,0,0,0,0,0,0
