,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,PIT,L,16-9,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,CIN,L,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,PIT,L,40-23,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,MIN,L,27-34,16,57,3.6,11,2,4,5,27,6.8,19,0,0,0
4,2013,6,Away,NYJ,W,19-6,16,34,2.1,7,0,3,3,22,7.3,12,0,0,0
5,2013,7,Home,BAL,W,16-19,19,93,4.9,11,0,1,1,6,6,6,0,0,0
6,2013,8,Away,OAK,L,18-21,13,24,1.8,8,1,5,7,27,5.4,11,0,0,0
7,2013,9,Away,NE,L,31-55,16,74,4.6,25,0,4,10,65,16.3,29,0,0,0
8,2013,10,Home,BUF,W,10-23,22,57,2.6,9,1,3,3,39,13,34,0,0,0
9,2013,11,Home,DET,W,27-37,18,36,2,13,0,4,5,52,13,43,0,0,0
10,2013,12,Away,CLE,W,27-11,23,80,3.5,13,0,2,5,18,9,11,0,0,0
11,2013,13,Away,BAL,L,20-22,16,73,4.6,43,1,7,9,63,9,29,0,0,0
12,2013,14,Home,MIA,L,34-28,15,61,4.1,9,0,5,9,19,3.8,10,0,0,0
13,2013,15,Home,CIN,W,20-30,24,57,2.4,8,1,5,5,50,10,17,0,0,0
14,2013,16,Away,GB,W,38-31,26,124,4.8,25,1,1,3,5,5,5,0,1,1
15,2013,17,Home,CLE,W,7-20,20,90,4.5,15,1,1,1,6,6,6,0,0,0
0,2014,1,Home,CLE,W,27-30,21,109,5.2,38,1,6,7,88,14.7,30,0,0,0
1,2014,2,Away,BAL,L,6-26,11,59,5.4,21,0,5,5,48,9.6,19,0,0,0
2,2014,3,Away,CAR,W,37-19,21,147,7,81,0,2,4,10,5,12,0,0,0
3,2014,4,Home,TB,L,27-24,19,63,3.3,16,0,6,7,46,7.7,17,0,0,0
4,2014,5,Away,JAC,W,17-9,15,82,5.5,29,0,5,6,36,7.2,12,0,0,0
5,2014,6,Away,CLE,L,10-31,18,82,4.6,12,0,4,6,23,5.8,16,0,0,0
6,2014,7,Home,HOU,W,23-30,12,57,4.8,20,0,8,8,88,11,43,1,0,0
7,2014,8,Home,IND,W,34-51,24,92,3.8,17,0,6,7,56,9.3,17,0,0,0
8,2014,9,Home,BAL,W,23-43,10,20,2,5,0,5,6,38,7.6,12,1,0,0
9,2014,10,Away,NYJ,L,13-20,11,36,3.3,8,0,8,10,33,4.1,10,0,0,0
10,2014,11,Away,TEN,W,27-24,33,204,6.2,27,1,2,4,18,9,10,0,0,0
11,2014,13,Home,NO,L,35-32,21,95,4.5,18,1,8,11,159,19.9,48,0,0,0
12,2014,14,Away,CIN,W,42-21,26,185,7.1,53,2,6,9,50,8.3,10,1,0,0
13,2014,15,Away,ATL,W,27-20,20,47,2.4,13,2,5,7,72,14.4,44,0,0,0
14,2014,16,Home,KC,W,12-20,20,63,3.2,7,1,1,2,9,9,9,0,0,0
15,2014,17,Home,CIN,W,17-27,8,20,2.5,6,0,6,6,80,13.3,26,0,0,0
0,2015,1,Away,NE,L,21-28,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,PIT,W,18-43,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,STL,W,12-6,19,62,3.3,23,1,7,8,70,10,20,0,0,0
3,2015,4,Home,BAL,L,23-20,22,129,5.9,22,1,7,7,21,3,9,0,0,0
4,2015,5,Away,SD,W,24-20,21,111,5.3,32,1,4,5,16,4,9,0,0,0
5,2015,6,Home,ARI,W,13-25,24,88,3.7,22,0,0,0,0,0,0,0,0,0
6,2015,7,Away,KC,L,13-23,17,121,7.1,42,0,4,4,16,4,7,0,0,0
7,2015,8,Home,CIN,L,16-10,10,45,4.5,7,0,2,2,13,6.5,8,0,0,0
8,2015,9,Away,PIT,W,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,10,Away,PIT,W,9-30,-,-,-,-,-,-,-,-,-,-,-,-,-
