,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,WAS,W,33-27,31,184,5.9,34,1,1,1,5,5,5,0,0,0
1,2013,2,Home,SD,L,33-30,11,53,4.8,17,0,5,6,114,22.8,70,0,0,0
2,2013,3,Home,KC,L,26-16,20,158,7.9,41,1,0,1,0,0,0,0,0,0
3,2013,4,Away,DEN,L,20-52,16,73,4.6,15,0,1,3,21,21,21,0,0,0
4,2013,5,Away,NYG,W,36-21,20,46,2.3,17,1,6,8,46,7.7,12,0,0,0
5,2013,6,Away,TB,W,31-20,25,116,4.6,19,0,2,2,55,27.5,44,0,1,1
6,2013,7,Home,DAL,L,17-3,18,55,3.1,10,0,6,7,26,4.3,12,0,0,0
7,2013,8,Home,NYG,L,15-7,15,48,3.2,9,0,4,5,17,4.3,7,0,0,0
8,2013,9,Away,OAK,W,49-20,12,44,3.7,17,0,4,4,36,9,25,1,0,0
9,2013,10,Away,GB,W,27-13,25,155,6.2,30,0,1,1,6,6,6,0,0,0
10,2013,11,Home,WAS,W,16-24,20,77,3.9,16,2,4,4,73,18.3,49,0,0,0
11,2013,13,Home,ARI,W,21-24,19,79,4.2,19,0,5,6,36,7.2,19,0,0,0
12,2013,14,Home,DET,W,20-34,29,217,7.5,57,2,1,1,4,4,4,0,0,0
13,2013,15,Away,MIN,L,30-48,8,38,4.8,16,0,5,7,68,13.6,24,0,0,0
14,2013,16,Home,CHI,W,11-54,18,133,7.4,19,2,6,6,29,4.8,16,0,0,0
15,2013,17,Away,DAL,W,24-22,27,131,4.9,20,0,1,2,3,3,3,1,0,0
0,2014,1,Home,JAC,W,17-34,21,74,3.5,19,0,6,6,41,6.8,12,0,0,0
1,2014,2,Away,IND,W,30-27,19,79,4.2,21,1,4,5,23,5.8,12,0,0,0
2,2014,3,Home,WAS,W,34-37,19,22,1.2,9,0,0,2,0,0,0,0,1,0
3,2014,4,Away,SF,L,21-26,10,17,1.7,5,0,0,0,0,0,0,0,0,0
4,2014,5,Home,STL,W,28-34,24,81,3.4,19,0,4,4,5,1.3,7,0,1,1
5,2014,6,Home,NYG,W,0-27,22,149,6.8,28,0,2,2,5,2.5,3,0,0,0
6,2014,8,Away,ARI,L,20-24,20,83,4.2,13,0,3,5,14,4.7,8,0,0,0
7,2014,9,Away,HOU,W,31-21,24,117,4.9,26,0,1,1,6,6,6,0,0,0
8,2014,10,Home,CAR,W,21-45,12,19,1.6,6,1,1,3,-2,-2,-2,0,0,0
9,2014,11,Away,GB,L,20-53,23,88,3.8,13,0,1,1,18,18,18,0,0,0
10,2014,12,Home,TEN,W,24-43,21,130,6.2,53,1,1,1,1,1,1,0,0,0
11,2014,13,Away,DAL,W,33-10,25,159,6.4,38,1,0,0,0,0,0,0,1,1
12,2014,14,Home,SEA,L,24-14,17,50,2.9,10,0,0,0,0,0,0,0,1,1
13,2014,15,Home,DAL,L,38-27,16,64,4,14,0,1,2,1,1,1,0,0,0
14,2014,16,Away,WAS,L,24-27,22,88,4,22,1,3,4,28,9.3,18,0,0,0
15,2014,17,Away,NYG,W,34-26,17,99,5.8,23,0,1,1,15,15,15,0,0,0
0,2015,1,Home,IND,W,14-27,17,41,2.4,16,0,3,4,46,15.3,22,0,0,0
1,2015,2,Home,NE,L,40-32,15,89,5.9,18,0,3,4,27,9,11,0,0,0
2,2015,3,Away,MIA,W,41-14,11,16,1.5,9,0,1,3,10,10,10,1,0,0
3,2015,4,Away,BUF,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,TEN,W,14-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Home,CIN,L,34-21,17,90,5.3,33,1,2,4,4,2,3,0,0,0
6,2015,7,Away,JAC,L,31-34,18,68,3.8,17,0,2,4,36,18,22,0,1,1
7,2015,9,Home,MIA,W,17-33,16,112,7,48,1,2,2,7,3.5,14,0,0,0
8,2015,10,Away,NYJ,W,22-17,19,112,5.9,16,0,5,5,47,9.4,17,0,0,0
9,2015,11,Away,NE,L,13-20,20,82,4.1,27,1,6,10,41,6.8,11,0,0,0
10,2015,12,Away,KC,L,22-30,19,70,3.7,12,0,3,5,31,10.3,17,1,1,1
11,2015,13,Home,HOU,W,21-30,21,112,5.3,32,0,0,1,0,0,0,0,0,0
12,2015,14,Away,PHI,L,20-23,20,74,3.7,24,0,4,7,35,8.8,10,0,0,0
13,2015,15,Away,WAS,L,25-35,10,29,2.9,10,0,1,1,8,8,8,0,0,0
14,2015,16,Away,BUF,W,6-16,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,BUF,W,17-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,BAL,L,7-13,16,58,3.6,16,1,4,4,12,3,5,0,0,0
1,2016,2,Home,NYJ,L,37-31,15,59,3.9,24,0,4,5,31,7.8,10,0,0,0
2,2016,3,Home,ARI,W,18-33,17,110,6.5,24,2,3,4,6,2,3,0,1,0
3,2016,4,Away,NE,W,16-0,19,70,3.7,9,0,6,6,38,6.3,13,1,0,0
4,2016,5,Away,LAR,W,30-19,18,150,8.3,53,0,2,2,8,4,5,0,0,0
5,2016,6,Home,SF,W,16-45,19,140,7.4,38,3,1,2,2,2,2,0,1,0
6,2016,7,Away,MIA,L,25-28,8,11,1.4,4,0,0,0,0,0,0,0,0,0
7,2016,8,Away,BUF,L,41-25,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,SEA,L,25-31,21,85,4,15,0,4,5,35,8.8,15,0,0,0
9,2016,11,Away,CIN,W,16-12,5,33,6.6,21,1,2,3,12,6,8,0,1,0
10,2016,12,Home,JAC,W,21-28,19,103,5.4,75,2,2,2,31,15.5,25,0,0,0
11,2016,13,Away,OAK,L,24-38,17,130,7.6,54,0,7,7,61,8.7,16,0,0,0
12,2016,14,Home,PIT,L,27-20,12,27,2.3,9,1,6,7,81,13.5,41,0,0,0
13,2016,15,Home,CLE,W,13-33,19,153,8.1,24,2,3,3,16,5.3,14,0,0,0
14,2016,16,Home,MIA,L,34-31,24,128,5.3,19,1,5,6,17,3.4,7,0,0,0
15,2016,17,Away,NYJ,L,10-30,5,10,2,4,0,1,1,6,6,6,0,0,0
0,2017,1,Home,NYJ,W,12-21,22,110,5,27,0,5,6,49,9.8,21,0,0,0
1,2017,2,Away,CAR,L,3-9,12,9,0.8,6,0,6,7,34,5.7,11,0,0,0
2,2017,3,Home,DEN,W,16-26,14,21,1.5,7,0,7,7,48,6.9,15,0,0,0
3,2017,4,Away,ATL,W,23-17,20,76,3.8,8,0,3,3,32,10.7,17,0,0,0
4,2017,5,Away,CIN,L,16-20,19,63,3.3,14,0,6,9,26,4.3,7,0,1,0
5,2017,7,Home,TB,W,27-30,23,91,4,23,2,5,7,31,6.2,12,0,1,1
6,2017,8,Home,OAK,W,14-34,27,151,5.6,48,1,6,7,22,3.7,12,0,0,0
7,2017,9,Away,NYJ,L,21-34,12,25,2.1,13,0,0,1,0,0,0,0,0,0
8,2017,10,Home,NO,L,47-10,8,49,6.1,36,0,3,5,11,3.7,6,0,1,0
9,2017,11,Away,LAC,L,24-54,13,114,8.8,37,1,1,1,12,12,12,1,0,0
10,2017,12,Away,KC,W,16-10,22,49,2.2,14,0,4,4,30,7.5,24,0,0,0
11,2017,13,Home,NE,L,23-3,15,93,6.2,18,0,2,5,9,4.5,6,0,0,0
12,2017,14,Home,IND,W,7-13,32,156,4.9,25,1,0,0,0,0,0,0,0,0
13,2017,15,Home,MIA,W,16-24,20,50,2.5,14,1,4,5,46,11.5,16,1,0,0
14,2017,16,Away,NE,L,16-37,17,71,4.2,18,0,5,7,76,15.2,39,0,0,0
15,2017,17,Away,MIA,W,22-16,11,10,0.9,5,0,2,3,22,11,18,0,0,0
0,2018,1,Away,BAL,L,3-47,7,22,3.1,12,0,1,3,-1,-1,-1,0,0,0
1,2018,2,Home,LAC,L,31-20,9,39,4.3,27,0,4,4,29,7.3,9,0,0,0
2,2018,3,Away,MIN,W,27-6,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,GB,L,0-22,5,24,4.8,11,0,3,6,13,4.3,7,0,0,0
4,2018,5,Home,TEN,W,12-13,24,85,3.5,16,0,2,3,23,11.5,13,0,0,0
5,2018,6,Away,HOU,L,13-20,16,73,4.6,14,0,3,5,21,7,22,0,0,0
6,2018,7,Away,IND,L,5-37,2,1,0.5,1,0,0,0,0,0,0,0,0,0
7,2018,8,Home,NE,L,25-6,12,13,1.1,12,0,6,8,82,13.7,24,0,0,0
8,2018,9,Home,CHI,L,41-9,10,10,1,4,0,4,4,19,4.8,8,0,0,0
9,2018,10,Away,NYJ,W,41-10,26,113,4.3,28,2,1,1,5,5,5,0,0,0
10,2018,12,Home,JAC,W,21-24,17,46,2.7,7,0,1,1,7,7,7,0,0,0
11,2018,13,Away,MIA,L,17-21,15,52,3.5,18,0,4,4,12,3,11,0,0,0
12,2018,14,Home,NYJ,L,27-23,2,1,0.5,1,0,0,1,0,0,0,0,0,0
13,2018,15,Away,BUF,W,13-14,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,NE,L,12-24,6,9,1.5,5,0,3,3,10,3.3,7,0,0,0
15,2018,17,Home,MIA,W,17-42,10,26,2.6,9,1,2,3,18,9,9,0,0,0
0,2019,1,Away,JAC,W,40-26,10,81,8.1,31,0,1,1,12,12,12,0,0,0
1,2019,2,Away,OAK,W,28-10,11,23,2.1,6,0,3,3,0,0,5,0,0,0
2,2019,3,Home,BAL,W,28-33,8,54,6.8,25,1,3,3,26,8.7,14,1,0,0
3,2019,4,Away,DET,W,34-30,11,56,5.1,39,1,2,4,33,16.5,23,0,0,0
4,2019,5,Home,IND,L,19-13,0,0,0,0,0,2,2,23,11.5,21,0,1,1
5,2019,6,Home,HOU,L,31-24,8,44,5.5,17,0,2,2,0,0,4,0,0,0
6,2019,7,Away,DEN,W,30-6,12,64,5.3,22,0,2,2,12,6,6,0,0,0
7,2019,8,Home,GB,L,31-24,9,40,4.4,9,0,4,4,23,5.8,10,0,1,1
8,2019,9,Home,MIN,W,23-26,3,9,3,7,0,1,1,0,0,0,0,0,0
9,2019,10,Away,TEN,L,32-35,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,11,Away,LAC,W,24-17,7,29,4.1,8,1,4,6,28,7,16,0,1,0
11,2019,13,Home,OAK,W,9-40,5,10,2,6,1,3,3,20,6.7,9,0,0,0
12,2019,14,Away,NE,W,23-16,11,39,3.5,13,0,1,3,4,4,4,0,0,0
13,2019,15,Home,DEN,W,3-23,6,16,2.7,10,0,0,0,0,0,0,0,0,0
14,2019,16,Away,CHI,W,26-3,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,KC,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
