,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,HOU,W,29-7,26,100,3.8,17,1,3,3,24,8,12,0,1,0
1,2017,2,Home,TEN,L,37-16,14,40,2.9,7,1,2,5,21,10.5,11,0,0,0
2,2017,3,Home,BAL,W,7-44,17,59,3.5,15,1,3,4,21,7,10,0,0,0
3,2017,4,Away,NYJ,L,20-23,24,86,3.6,11,0,4,5,59,14.8,28,1,0,0
4,2017,5,Away,PIT,W,30-9,28,181,6.5,90,2,1,1,3,3,3,0,0,0
5,2017,6,Home,LAR,L,27-17,21,130,6.2,75,1,2,2,8,4,6,0,0,0
6,2017,7,Away,IND,W,27-0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,CIN,W,7-23,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Home,LAC,W,17-20,17,33,1.9,8,0,2,4,13,6.5,8,0,0,0
9,2017,11,Away,CLE,W,19-7,28,111,4,29,0,2,3,7,3.5,9,0,0,0
10,2017,12,Away,ARI,L,24-27,12,25,2.1,8,0,3,3,17,5.7,17,0,0,0
11,2017,13,Home,IND,W,10-30,20,57,2.9,24,1,3,4,22,7.3,11,0,0,0
12,2017,14,Home,SEA,W,24-30,24,101,4.2,15,1,4,6,18,4.5,8,0,0,0
13,2017,15,Home,HOU,W,7-45,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,SF,L,33-44,18,48,2.7,7,1,3,3,22,7.3,8,0,0,0
15,2017,17,Away,TEN,L,10-15,19,69,3.6,9,0,4,5,67,16.8,23,0,1,0
0,2018,1,Away,NYG,W,20-15,9,41,4.6,12,0,3,3,14,4.7,11,0,0,0
1,2018,2,Home,NE,W,20-31,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,TEN,L,9-6,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,NYJ,W,12-31,11,30,2.7,8,0,1,1,5,5,5,0,0,0
4,2018,5,Away,KC,L,14-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,DAL,L,7-40,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,HOU,L,20-7,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,PHI,L,24-18,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,IND,L,26-29,24,53,2.2,11,1,5,5,56,11.2,31,1,0,0
9,2018,11,Home,PIT,L,20-16,28,95,3.4,20,1,2,2,46,23,26,0,0,0
10,2018,12,Away,BUF,L,21-24,18,95,5.3,16,2,3,3,13,4.3,8,0,0,0
11,2018,13,Home,IND,W,0-6,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,TEN,L,9-30,14,36,2.6,7,0,2,3,5,2.5,9,0,0,0
13,2018,15,Home,WAS,L,16-13,11,46,4.2,25,0,3,4,18,6,13,0,0,0
14,2018,16,Away,MIA,W,17-7,18,43,2.4,9,1,3,5,28,9.3,11,0,0,0
15,2018,17,Away,HOU,L,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,KC,L,40-26,13,66,5.1,14,0,4,6,28,7,12,0,1,1
1,2019,2,Away,HOU,L,12-13,15,47,3.1,14,0,4,6,40,10,20,0,0,0
2,2019,3,Home,TEN,W,7-20,15,66,4.4,69,0,6,8,26,4.3,9,0,0,0
3,2019,4,Away,DEN,W,26-24,29,225,7.8,81,0,2,3,20,10,19,0,0,0
4,2019,5,Away,CAR,L,27-34,23,108,4.7,48,1,4,7,29,7.3,14,0,0,0
5,2019,6,Home,NO,L,13-6,20,72,3.6,16,0,6,6,46,7.7,10,0,0,0
6,2019,7,Away,CIN,W,27-17,29,131,4.5,20,0,2,2,14,7,10,0,0,0
7,2019,8,Home,NYJ,W,15-29,19,76,4,66,0,7,7,60,8.6,26,0,0,0
8,2019,9,Home,HOU,L,26-3,11,40,3.6,11,0,5,6,32,6.4,14,0,0,0
9,2019,11,Away,IND,L,13-33,8,23,2.9,10,0,7,7,34,4.9,8,0,0,0
10,2019,12,Away,TEN,L,20-42,24,97,4,16,2,9,12,62,6.9,27,0,0,0
11,2019,13,Home,TB,L,28-11,14,38,2.7,10,0,9,11,53,5.9,14,0,0,0
12,2019,14,Home,LAC,L,45-10,15,50,3.3,11,0,3,6,13,4.3,12,0,0,0
13,2019,15,Away,OAK,W,20-16,15,42,2.8,17,0,5,7,31,6.2,11,0,0,0
14,2019,16,Away,ATL,L,12-24,15,71,4.7,23,0,3,6,34,11.3,16,0,0,0
15,2019,17,Home,IND,W,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-
