,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Home,ATL,W,17-23,9,11,1.2,7,0,0,0,0,0,0,0,0,0
1,2013,2,Away,TB,W,16-14,8,20,2.5,8,0,0,1,0,0,0,0,0,0
2,2013,3,Away,NO,W,7-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,NO,W,17-38,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,CHI,W,26-18,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,NE,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,8,Away,NO,W,17-35,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,9,Away,NYJ,L,20-26,4,19,4.8,13,0,0,1,0,0,0,0,0,0
8,2013,10,Home,DAL,W,17-49,14,145,10.4,34,1,2,3,15,7.5,9,0,0,0
9,2013,11,Home,SF,W,20-23,6,25,4.2,15,0,1,2,4,4,4,0,0,0
10,2013,12,Away,ATL,W,17-13,9,32,3.6,10,0,0,0,0,0,0,0,0,0
11,2013,13,Away,SEA,L,7-34,8,22,2.8,8,0,0,0,0,0,0,0,0,0
12,2013,14,Home,CAR,W,13-31,3,4,1.3,3,0,0,0,0,0,0,0,0,0
13,2013,15,Away,STL,L,16-27,1,5,5,5,0,2,2,39,19.5,23,0,0,0
14,2013,16,Away,CAR,L,13-17,13,83,6.4,34,0,1,1,7,7,7,0,0,0
15,2013,17,Home,TB,W,17-42,3,20,6.7,15,0,1,1,3,3,3,0,0,0
0,2014,1,Away,ATL,L,34-37,13,60,4.6,19,2,1,1,1,1,1,0,0,0
1,2014,2,Away,CLE,L,24-26,11,83,7.5,26,1,3,4,21,7,13,0,0,0
2,2014,3,Away,NO,W,9-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,DAL,L,17-38,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,NO,W,31-37,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,7,Away,DET,L,23-24,10,16,1.6,14,0,2,3,13,6.5,10,0,0,0
6,2014,8,Home,GB,W,23-44,24,172,7.2,28,1,1,2,3,3,3,0,0,0
7,2014,9,Away,CAR,W,28-10,30,100,3.3,19,2,1,2,10,10,10,0,0,0
8,2014,10,Home,SF,L,27-24,27,120,4.4,11,0,3,5,19,6.3,8,0,0,0
9,2014,11,Home,CIN,L,27-10,23,67,2.9,13,0,7,7,30,4.3,11,0,0,0
10,2014,12,Home,BAL,L,34-27,11,27,2.5,9,0,2,2,15,7.5,13,0,1,0
11,2014,13,Away,PIT,W,35-32,23,122,5.3,31,0,2,2,-1,-0.5,0,0,0,0
12,2014,14,Home,CAR,L,41-10,10,43,4.3,16,0,2,2,13,6.5,9,0,1,1
13,2014,15,Away,CHI,W,31-15,17,59,3.5,15,1,0,0,0,0,0,0,0,0
14,2014,16,Home,ATL,L,30-14,13,38,2.9,8,1,3,3,17,5.7,14,0,0,0
15,2014,17,Away,TB,W,23-20,14,57,4.1,18,1,2,3,4,2,6,0,1,0
0,2015,1,Away,ARI,L,19-31,9,24,2.7,9,0,8,9,98,12.3,59,0,0,0
1,2015,2,Home,TB,L,26-19,16,53,3.3,11,1,3,3,5,1.7,6,0,1,1
2,2015,3,Away,CAR,L,22-27,14,50,3.6,9,1,5,5,49,9.8,23,0,0,0
3,2015,4,Home,DAL,W,20-26,17,77,4.5,15,0,6,7,51,8.5,14,0,0,0
4,2015,5,Away,PHI,L,17-39,12,57,4.8,17,0,2,3,17,8.5,13,0,0,0
5,2015,6,Home,ATL,W,21-31,20,46,2.3,11,2,3,3,10,3.3,7,0,0,0
6,2015,7,Away,IND,W,27-21,14,143,10.2,44,1,2,2,5,2.5,10,0,0,0
7,2015,8,Home,NYG,W,49-52,16,80,5,16,0,4,5,39,9.8,17,0,0,0
8,2015,9,Home,TEN,L,34-28,22,54,2.5,12,0,4,5,42,10.5,14,0,0,0
9,2015,10,Away,WAS,L,14-47,5,77,15.4,70,0,3,4,21,7,12,0,0,0
10,2015,12,Away,HOU,L,6-24,9,52,5.8,29,0,6,8,45,7.5,17,0,0,0
11,2015,13,Home,CAR,L,41-38,12,56,4.7,14,1,4,6,23,5.8,11,0,1,0
12,2015,14,Away,TB,W,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,NO,L,35-27,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,NO,W,27-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,ATL,W,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,OAK,L,35-34,12,58,4.8,17,0,2,2,29,14.5,20,0,0,0
1,2016,2,Away,NYG,L,13-16,9,30,3.3,9,0,4,4,17,4.3,13,0,0,0
2,2016,3,Home,ATL,L,45-32,15,77,5.1,17,0,4,6,30,7.5,18,1,0,0
3,2016,4,Away,SD,W,35-34,18,56,3.1,10,1,6,7,49,8.2,20,0,0,0
4,2016,6,Home,CAR,W,38-41,16,51,3.2,11,0,2,3,9,4.5,5,0,0,0
5,2016,7,Away,KC,L,21-27,16,62,3.9,7,0,4,4,20,5,8,1,1,1
6,2016,8,Home,SEA,W,20-25,3,5,1.7,2,0,0,0,0,0,0,0,1,1
7,2016,9,Away,SF,W,41-23,15,158,10.5,75,1,2,2,13,6.5,8,1,0,0
8,2016,10,Home,DEN,L,25-23,11,50,4.5,10,0,2,2,13,6.5,7,0,0,0
9,2016,11,Away,CAR,L,20-23,7,28,4,14,0,3,4,47,15.7,22,0,0,0
10,2016,12,Home,LAR,W,21-49,14,146,10.4,61,1,1,2,21,21,21,1,0,0
11,2016,13,Home,DET,L,28-13,7,37,5.3,22,0,5,5,16,3.2,8,0,0,0
12,2016,14,Away,TB,L,11-16,7,14,2,9,0,1,2,9,9,9,0,0,0
13,2016,15,Away,ARI,W,48-41,17,78,4.6,14,0,2,4,14,7,17,0,0,0
14,2016,16,Home,TB,W,24-31,18,90,5,14,2,2,3,3,1.5,5,0,0,0
15,2016,17,Away,ATL,L,32-38,20,103,5.2,38,1,6,8,29,4.8,14,0,0,0
0,2017,1,Away,MIN,L,19-29,6,17,2.8,7,0,5,5,54,10.8,18,0,0,0
1,2017,2,Home,NE,L,36-20,8,52,6.5,28,0,4,5,24,6,14,0,0,0
2,2017,3,Away,CAR,W,34-13,14,56,4,15,0,2,4,30,15,25,0,0,0
3,2017,4,Away,MIA,W,20-0,14,45,3.2,8,0,4,8,17,4.3,8,0,0,0
4,2017,6,Home,DET,W,38-52,25,114,4.6,51,2,5,5,36,7.2,11,0,1,1
5,2017,7,Away,GB,W,26-17,22,105,4.8,23,1,4,5,5,1.3,4,0,0,0
6,2017,8,Home,CHI,W,12-20,18,75,4.2,18,1,6,6,24,4,16,0,2,2
7,2017,9,Home,TB,W,10-30,16,77,4.8,32,0,1,1,2,2,2,0,0,0
8,2017,10,Away,BUF,W,47-10,21,131,6.2,25,3,0,0,0,0,0,0,0,0
9,2017,11,Home,WAS,W,31-34,11,134,12.2,36,1,3,4,21,7,8,0,0,0
10,2017,12,Away,LAR,L,20-26,11,31,2.8,7,0,2,3,5,2.5,5,0,0,0
11,2017,13,Home,CAR,W,21-31,14,85,6.1,72,1,6,7,37,6.2,11,0,0,0
12,2017,14,Away,ATL,L,17-20,12,49,4.1,14,0,4,5,43,10.8,21,0,0,0
13,2017,15,Home,NYJ,W,19-31,12,74,6.2,50,2,5,6,77,15.4,54,0,0,0
14,2017,16,Home,ATL,W,13-23,13,44,3.4,26,1,3,3,22,7.3,12,0,0,0
15,2017,17,Away,TB,L,24-31,13,35,2.7,10,0,4,4,19,4.8,13,0,0,0
0,2018,1,Away,NO,L,48-40,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,NO,W,18-21,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,ATL,W,43-37,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,NYG,W,33-18,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,WAS,W,19-43,16,53,3.3,9,2,2,3,20,10,28,0,1,0
5,2018,7,Away,BAL,W,24-23,12,32,2.7,8,0,2,2,10,5,8,0,0,0
6,2018,8,Away,MIN,W,30-20,13,63,4.8,11,0,3,3,29,9.7,19,0,0,0
7,2018,9,Home,LAR,W,35-45,9,33,3.7,12,0,1,2,3,3,3,0,1,1
8,2018,10,Away,CIN,W,51-14,13,104,8,33,0,3,3,58,19.3,28,1,0,0
9,2018,11,Home,PHI,W,7-48,16,103,6.4,38,2,0,0,0,0,0,0,0,0
10,2018,12,Home,ATL,W,17-31,11,52,4.7,12,0,2,2,14,7,8,0,0,0
11,2018,13,Away,DAL,L,10-13,7,27,3.9,13,0,2,3,1,0.5,1,0,0,0
12,2018,14,Away,TB,W,28-14,13,52,4,17,1,1,3,1,1,1,0,0,0
13,2018,15,Away,CAR,W,12-9,12,63,5.3,22,0,2,2,11,5.5,9,0,0,0
14,2018,16,Home,PIT,W,28-31,11,35,3.2,8,1,1,2,8,8,8,0,1,0
15,2018,17,Home,CAR,L,33-14,5,28,5.6,16,0,2,2,15,7.5,16,0,0,0
0,2019,1,Away,MIA,W,59-10,14,107,7.6,49,2,0,0,0,0,0,0,0,0
1,2019,2,Home,ARI,W,17-23,13,47,3.6,16,0,2,2,30,15,20,0,0,0
2,2019,3,Away,KC,L,28-33,16,103,6.4,21,3,4,4,32,8,13,0,0,0
3,2019,4,Home,CLE,L,40-25,12,71,5.9,18,0,1,1,0,0,0,0,1,1
4,2019,5,Away,PIT,W,26-23,19,44,2.3,14,1,2,2,5,2.5,4,0,0,0
5,2019,6,Home,CIN,W,17-23,13,52,4,12,1,2,2,22,11,11,0,0,0
6,2019,7,Away,SEA,W,30-16,12,46,3.8,8,0,1,1,7,7,7,0,0,0
7,2019,9,Home,NE,W,20-37,15,115,7.7,53,0,2,3,29,14.5,18,0,1,1
8,2019,10,Away,CIN,W,49-13,9,34,3.8,9,1,0,0,0,0,0,0,0,0
9,2019,11,Home,HOU,W,7-41,13,48,3.7,11,0,3,4,37,12.3,25,2,0,0
10,2019,12,Away,LAR,W,45-6,15,111,7.4,25,1,1,1,7,7,7,1,0,0
11,2019,13,Home,SF,W,17-20,15,59,3.9,10,0,2,2,3,1.5,2,0,0,0
12,2019,14,Away,BUF,W,24-17,15,50,3.3,9,0,3,3,29,9.7,15,0,0,0
13,2019,15,Home,NYJ,W,21-42,13,76,5.8,29,1,1,2,10,10,10,1,0,0
14,2019,16,Away,CLE,W,31-15,8,55,6.9,27,0,2,2,36,18,24,1,0,0
15,2019,17,Home,PIT,W,10-28,-,-,-,-,-,-,-,-,-,-,-,-,-
