,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,IND,W,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,CIN,W,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,CAR,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,ATL,W,37-36,5,9,1.8,4,0,2,4,28,14,24,0,0,0
4,2018,5,Home,MIA,W,17-27,0,0,0,0,0,2,3,3,1.5,2,0,0,0
5,2018,6,Home,PIT,L,28-21,2,-2,-1,-1,0,0,0,0,0,0,0,0,0
6,2018,7,Away,KC,L,10-45,4,10,2.5,3,0,0,0,0,0,0,0,0,0
7,2018,8,Home,TB,W,34-37,2,7,3.5,4,0,1,1,10,10,10,0,0,0
8,2018,10,Home,NO,L,51-14,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,BAL,L,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,CLE,L,35-20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,DEN,L,24-10,1,10,10,10,0,0,0,0,0,0,0,0,0
12,2018,14,Away,LAC,L,21-26,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,OAK,W,16-30,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,CLE,L,18-26,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,PIT,L,13-16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,BAL,L,59-10,1,1,1,1,0,0,0,0,0,0,0,0,0
1,2019,2,Home,NE,L,43-0,3,15,5,6,0,1,2,12,12,12,0,0,0
2,2019,3,Away,DAL,L,6-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,LAC,L,30-10,6,23,3.8,11,0,2,2,11,5.5,7,0,0,0
4,2019,6,Home,WAS,L,17-16,6,32,5.3,14,0,5,6,43,8.6,18,0,0,0
5,2019,7,Away,BUF,L,21-31,14,66,4.7,19,0,1,1,-8,-8,-8,0,0,0
6,2019,8,Away,PIT,L,14-27,11,35,3.2,9,0,3,6,19,6.3,9,0,1,1
7,2019,9,Home,NYJ,W,18-26,12,29,2.4,14,0,3,4,12,4,5,0,0,0
8,2019,10,Away,IND,W,16-12,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,MIA,L,37-20,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,CLE,L,24-41,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,MIA,W,31-37,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,NYJ,L,21-22,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,NYG,L,20-36,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,MIA,W,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,NE,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
