,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,LAR,L,9-46,10,24,2.4,24,1,1,1,21,21,21,0,1,0
1,2017,2,Home,ARI,L,16-13,6,-3,-0.5,3,0,1,1,11,11,11,0,0,0
2,2017,3,Home,CLE,W,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,SEA,L,18-46,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Home,SF,W,23-26,9,91,10.1,35,1,1,1,2,2,2,0,0,0
5,2017,6,Away,TEN,L,22-36,2,18,9,22,0,0,2,0,0,0,0,0,0
6,2017,7,Home,JAC,L,27-0,5,26,5.2,14,0,4,6,40,10,34,0,0,0
7,2017,8,Away,CIN,L,23-24,11,27,2.5,8,0,3,5,36,12,24,1,0,0
8,2017,9,Away,HOU,W,20-14,9,29,3.2,11,0,0,0,0,0,0,0,0,0
9,2017,10,Home,PIT,L,20-17,7,7,1,8,0,2,4,19,9.5,11,0,0,0
10,2017,12,Home,TEN,L,20-16,4,11,2.8,5,0,2,2,20,10,16,0,0,0
11,2017,13,Away,JAC,L,10-30,6,46,7.7,25,0,1,2,8,8,8,0,0,0
12,2017,14,Away,BUF,L,7-13,7,23,3.3,20,0,2,3,21,10.5,11,0,0,0
13,2017,15,Home,DEN,L,25-13,6,14,2.3,6,0,0,1,0,0,0,0,0,0
14,2017,16,Away,BAL,L,16-23,4,17,4.3,11,0,2,2,37,18.5,29,0,0,0
15,2017,17,Home,HOU,W,13-22,7,28,4,12,1,2,3,10,5,11,0,0,0
0,2018,1,Home,CIN,L,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,WAS,W,21-9,10,34,3.4,8,0,1,2,2,2,2,0,0,0
2,2018,3,Away,PHI,L,16-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,HOU,L,37-34,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,NE,L,24-38,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,NYJ,L,34-42,12,89,7.4,25,0,1,2,4,4,4,0,0,0
6,2018,7,Home,BUF,W,5-37,19,126,6.6,23,1,2,3,33,16.5,29,1,0,0
7,2018,8,Away,OAK,W,42-28,25,132,5.3,49,2,2,4,17,8.5,11,0,0,0
8,2018,10,Home,JAC,W,26-29,12,29,2.4,7,0,2,2,9,4.5,7,0,0,0
9,2018,11,Home,TEN,W,10-38,16,61,3.8,9,1,1,2,8,8,8,0,0,0
10,2018,12,Home,MIA,W,24-27,15,85,5.7,25,0,2,2,11,5.5,7,0,0,0
11,2018,13,Away,JAC,L,0-6,8,27,3.4,7,0,1,1,6,6,6,0,0,0
12,2018,14,Away,HOU,W,24-21,14,33,2.4,7,1,0,1,0,0,0,0,0,0
13,2018,15,Home,DAL,W,0-23,27,139,5.1,21,2,1,1,10,10,10,0,1,1
14,2018,16,Home,NYG,W,27-28,12,34,2.8,11,1,1,3,4,4,4,0,0,0
15,2018,17,Away,TEN,W,33-17,25,119,4.8,21,1,3,3,-1,-0.3,4,0,1,1
0,2019,1,Away,LAC,L,24-30,25,174,7,63,1,0,0,0,0,0,0,0,0
1,2019,2,Away,TEN,W,19-17,20,51,2.6,10,0,2,3,12,6,9,0,0,0
2,2019,3,Home,ATL,W,24-27,16,74,4.6,26,1,2,3,14,7,9,0,0,0
3,2019,4,Home,OAK,L,31-24,11,39,3.5,18,0,0,0,0,0,0,0,0,0
4,2019,5,Away,KC,W,19-13,29,132,4.6,30,0,3,3,16,5.3,11,0,0,0
5,2019,7,Home,HOU,W,23-30,18,44,2.4,7,0,3,3,12,4,7,0,0,0
6,2019,8,Home,DEN,W,13-15,19,76,4,16,1,1,1,14,14,14,0,0,0
7,2019,9,Away,PIT,L,24-26,21,89,4.2,24,0,0,0,0,0,0,0,0,0
8,2019,10,Home,MIA,L,16-12,19,74,3.9,20,0,1,1,8,8,8,0,0,0
9,2019,11,Home,JAC,W,13-33,14,109,7.8,20,1,0,0,0,0,0,0,0,0
10,2019,12,Away,HOU,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,TEN,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,TB,L,35-38,13,38,2.9,13,1,0,0,0,0,0,0,0,0
13,2019,15,Away,NO,L,7-34,11,19,1.7,7,0,0,0,0,0,0,0,0,0
14,2019,16,Home,CAR,W,6-38,16,95,5.9,30,1,2,2,6,3,3,0,0,0
15,2019,17,Away,JAC,L,20-38,15,77,5.1,20,2,0,1,0,0,0,0,0,0
