,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,CAR,W,12-7,17,43,2.5,14,0,2,3,9,4.5,8,0,0,0
1,2013,2,Home,SF,W,3-29,28,98,3.5,21,2,3,3,37,12.3,35,1,0,0
2,2013,3,Home,JAC,W,17-45,17,69,4.1,27,0,0,0,0,0,0,0,0,0
3,2013,4,Away,HOU,W,23-20,17,98,5.8,43,1,3,3,45,15,24,0,1,1
4,2013,5,Away,IND,L,28-34,17,102,6,24,0,1,2,5,5,5,0,0,0
5,2013,6,Home,TEN,W,13-20,21,77,3.7,13,2,4,5,78,19.5,55,0,1,0
6,2013,7,Away,ARI,W,34-22,21,91,4.3,17,1,1,3,3,3,3,0,0,0
7,2013,8,Away,STL,W,14-9,8,23,2.9,9,0,1,1,4,4,4,0,0,0
8,2013,9,Home,TB,W,24-27,21,125,6,14,0,4,5,16,4,9,0,0,0
9,2013,10,Away,ATL,W,33-10,24,145,6,37,1,3,3,16,5.3,9,0,0,0
10,2013,11,Home,MIN,W,20-41,17,54,3.2,23,2,2,2,9,4.5,6,1,1,0
11,2013,13,Home,NO,W,7-34,16,45,2.8,14,0,3,4,12,4,9,0,1,0
12,2013,14,Away,SF,L,17-19,20,72,3.6,11,1,0,0,0,0,0,0,0,0
13,2013,15,Away,NYG,W,23-0,16,47,2.9,10,1,6,6,73,12.2,30,0,0,0
14,2013,16,Home,ARI,L,17-10,18,71,3.9,19,0,2,2,5,2.5,3,0,0,0
15,2013,17,Home,STL,W,9-27,23,97,4.2,14,1,1,2,4,4,4,0,0,0
0,2014,1,Home,GB,W,16-36,20,110,5.5,21,2,1,1,14,14,14,0,0,0
1,2014,2,Away,SD,L,21-30,6,36,6,10,0,4,4,27,6.8,14,1,0,0
2,2014,3,Home,DEN,W,20-26,26,88,3.4,12,1,3,5,40,13.3,21,1,0,0
3,2014,5,Away,WAS,W,27-17,17,72,4.2,17,0,5,6,45,9,30,1,0,0
4,2014,6,Home,DAL,L,30-23,10,61,6.1,32,0,1,2,1,1,1,0,0,0
5,2014,7,Away,STL,L,26-28,18,53,2.9,13,0,2,2,18,9,12,0,0,0
6,2014,8,Away,CAR,W,13-9,14,62,4.4,25,0,1,4,2,2,2,0,0,0
7,2014,9,Home,OAK,W,24-30,21,67,3.2,11,2,5,5,76,15.2,39,0,0,0
8,2014,10,Home,NYG,W,17-38,21,140,6.7,22,4,1,1,23,23,23,0,1,0
9,2014,11,Away,KC,L,20-24,24,124,5.2,17,0,1,3,1,1,1,0,0,0
10,2014,12,Home,ARI,W,3-19,15,39,2.6,13,0,3,4,43,14.3,23,0,0,0
11,2014,13,Away,SF,W,19-3,20,104,5.2,33,0,1,1,7,7,7,0,0,0
12,2014,14,Away,PHI,W,24-14,23,86,3.7,21,0,5,5,27,5.4,15,1,1,1
13,2014,15,Home,SF,W,7-17,21,91,4.3,15,1,1,2,7,7,7,0,0,0
14,2014,16,Away,ARI,W,35-6,10,113,11.3,79,2,0,0,0,0,0,0,0,0
15,2014,17,Home,STL,W,6-20,14,60,4.3,14,1,3,3,36,12,14,0,1,1
0,2015,1,Away,STL,L,31-34,18,73,4.1,24,0,5,7,31,6.2,19,0,0,0
1,2015,2,Away,GB,L,17-27,15,41,2.7,11,0,3,6,21,7,12,0,0,0
2,2015,3,Home,CHI,W,0-26,5,14,2.8,8,0,1,1,9,9,9,0,0,0
3,2015,4,Away,SEA,W,10-13,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,CIN,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Home,CAR,L,27-23,17,54,3.2,17,1,1,3,0,0,0,0,0,0
6,2015,7,Away,SF,W,20-3,27,122,4.5,17,1,0,0,0,0,0,0,0,0
7,2015,8,Away,DAL,W,13-12,21,71,3.4,12,0,2,2,11,5.5,10,0,0,0
8,2015,10,Home,ARI,L,39-32,8,42,5.3,16,1,1,2,8,8,8,0,0,0
9,2015,11,Away,SEA,W,13-29,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,SEA,W,30-39,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,MIN,W,38-7,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,BAL,W,35-6,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,SEA,W,13-30,-,-,-,-,-,-,-,-,-,-,-,-,-
