,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Home,CAR,L,23-3,4,11,2.8,5,0,0,0,0,0,0,0,0,0
1,2017,2,Away,SEA,L,9-12,4,35,8.8,13,0,1,2,3,3,3,0,0,0
2,2017,3,Home,LAR,L,41-39,3,9,3,10,0,3,4,20,6.7,12,0,0,0
3,2017,4,Away,ARI,L,15-18,9,16,1.8,8,0,1,3,4,4,4,0,0,0
4,2017,5,Away,IND,L,23-26,10,49,4.9,14,0,3,5,22,7.3,10,0,0,0
5,2017,6,Away,WAS,L,24-26,4,21,5.3,10,0,2,4,15,7.5,11,0,0,0
6,2017,7,Home,DAL,L,40-10,3,5,1.7,5,0,0,1,0,0,0,0,1,0
7,2017,8,Away,PHI,L,10-33,5,17,3.4,9,0,4,6,39,9.8,21,1,0,0
8,2017,9,Home,ARI,L,20-10,1,1,1,1,0,2,4,18,9,11,0,0,0
9,2017,10,Home,NYG,W,21-31,9,55,6.1,33,1,1,2,3,3,3,0,0,0
10,2017,12,Home,SEA,L,24-13,1,12,12,12,0,1,1,12,12,12,0,0,0
11,2017,13,Away,CHI,W,15-14,12,45,3.8,8,0,1,1,4,4,4,0,0,0
12,2017,14,Away,HOU,W,26-16,12,27,2.3,6,0,0,0,0,0,0,0,0,0
13,2017,15,Home,TEN,W,23-25,5,16,3.2,6,0,0,0,0,0,0,0,0,0
14,2017,16,Home,JAC,W,33-44,11,74,6.7,30,1,1,1,8,8,8,0,0,0
15,2017,17,Away,LAR,W,34-13,12,72,6,15,0,1,2,32,32,32,0,0,0
0,2018,1,Away,MIN,L,16-24,11,46,4.2,11,0,1,2,5,5,5,0,0,0
1,2018,2,Home,DET,W,27-30,11,138,12.5,66,1,3,4,21,7,9,0,0,0
2,2018,3,Away,KC,L,27-38,10,90,9,26,0,3,3,27,9,13,0,0,0
3,2018,4,Away,LAC,L,27-29,9,39,4.3,12,0,3,3,32,10.7,20,0,0,0
4,2018,5,Home,ARI,L,28-18,8,56,7,17,0,1,1,5,5,5,1,0,0
5,2018,6,Away,GB,L,30-33,14,61,4.4,13,1,0,0,0,0,0,0,0,0
6,2018,7,Home,LAR,L,39-10,5,15,3,7,0,0,0,0,0,0,0,1,1
7,2018,8,Away,ARI,L,15-18,16,42,2.6,10,0,0,0,0,0,0,0,0,0
8,2018,9,Home,OAK,W,3-34,12,44,3.7,18,0,1,1,3,3,3,0,0,0
9,2018,10,Home,NYG,L,27-23,17,101,5.9,23,1,3,4,31,10.3,19,1,0,0
10,2018,12,Away,TB,L,9-27,14,106,7.6,33,0,3,4,34,11.3,24,0,0,0
11,2018,13,Away,SEA,L,16-43,5,6,1.2,3,0,3,3,51,17,26,0,0,0
12,2018,14,Home,DEN,W,14-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Home,SEA,W,23-26,17,50,2.9,8,0,5,5,46,9.2,20,0,0,0
14,2018,16,Home,CHI,L,14-9,4,20,5,11,0,1,1,6,6,6,0,0,0
15,2018,17,Away,LAR,L,32-48,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,TB,W,31-17,15,37,2.5,13,0,0,1,0,0,0,0,0,0
1,2019,2,Away,CIN,W,41-17,12,121,10.1,34,0,1,1,11,11,11,0,0,0
2,2019,3,Home,PIT,W,20-24,14,68,4.9,10,0,2,3,20,10,15,0,0,0
3,2019,5,Home,CLE,W,3-31,11,114,10.4,83,1,3,3,15,5,7,1,0,0
4,2019,6,Away,LAR,W,20-7,13,36,2.8,9,0,4,4,27,6.8,17,0,0,0
5,2019,7,Away,WAS,W,9-0,8,35,4.4,11,0,1,1,1,1,1,0,0,0
6,2019,8,Home,CAR,W,13-51,11,35,3.2,17,0,1,1,15,15,15,0,0,0
7,2019,9,Away,ARI,W,28-25,15,78,5.2,31,0,2,2,14,7,9,0,0,0
8,2019,10,Home,SEA,L,27-24,10,18,1.8,7,0,2,2,7,3.5,5,0,0,0
9,2019,11,Home,ARI,W,26-36,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,GB,W,8-37,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,BAL,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,NO,W,48-46,6,54,9,28,0,1,1,4,4,4,0,0,0
13,2019,15,Home,ATL,L,29-22,4,11,2.8,9,0,2,2,6,3,5,0,2,1
14,2019,16,Home,LAR,W,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,SEA,W,26-21,4,16,4,9,0,0,1,0,0,0,0,0,0
