,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2015,1,Away,SF,W,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,PIT,L,18-43,7,14,2,5,0,2,4,4,2,3,0,0,0
2,2015,3,Away,ARI,L,7-47,7,6,0.9,4,0,1,3,5,5,5,0,0,0
3,2015,4,Away,SF,L,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,NYG,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Home,BAL,W,20-25,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Home,SEA,L,20-3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,8,Away,STL,L,6-27,10,4,0.4,5,0,2,3,14,7,11,0,0,0
8,2015,9,Away,SF,W,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,SEA,L,13-29,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,SF,L,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,CHI,W,26-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,CLE,L,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,SF,L,24-14,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,DET,L,17-32,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Home,STL,W,16-19,10,34,3.4,13,0,2,3,15,7.5,8,0,0,0
0,2016,1,Home,LAR,W,0-28,3,1,0.3,2,0,0,0,0,0,0,0,0,0
1,2016,2,Away,CAR,L,27-46,0,0,0,0,0,1,1,10,10,10,0,0,0
2,2016,3,Away,SEA,L,18-37,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,DAL,L,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Home,ARI,L,33-21,2,4,2,2,0,0,0,0,0,0,0,0,0
5,2016,6,Away,BUF,L,16-45,5,13,2.6,7,0,1,3,6,6,6,0,0,0
6,2016,7,Home,TB,L,34-17,7,21,3,8,1,0,0,0,0,0,0,0,0
7,2016,9,Home,NO,L,41-23,2,11,5.5,7,0,1,1,9,9,9,0,1,1
8,2016,10,Away,ARI,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,SF,L,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,MIA,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,CHI,L,6-26,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,SF,L,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,ATL,L,13-41,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,LAR,W,22-21,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,SF,L,25-23,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,GB,L,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,SEA,W,9-12,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,TEN,L,27-33,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,SEA,W,18-46,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,LAR,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Away,NYG,W,24-7,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Away,SEA,W,38-41,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,SEA,L,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-
