,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,PIT,T,21-21,3,21,7,17,0,0,0,0,0,0,0,0,0
1,2018,2,Away,NO,L,18-21,2,14,7,8,0,0,0,0,0,0,0,0,0
2,2018,3,Home,NYJ,W,17-21,2,6,3,6,0,0,0,0,0,0,0,0,0
3,2018,4,Away,OAK,L,42-45,3,105,35,63,2,0,0,0,0,0,0,0,0
4,2018,5,Home,BAL,W,9-12,3,2,0.7,2,0,0,1,0,0,0,0,0,0
5,2018,6,Home,LAC,L,38-14,3,25,8.3,19,0,0,0,0,0,0,0,0,0
6,2018,7,Away,TB,L,23-26,18,80,4.4,21,1,0,2,0,0,0,0,0,0
7,2018,8,Away,PIT,L,18-33,18,65,3.6,20,0,2,3,10,5,8,0,0,0
8,2018,9,Home,KC,L,37-21,22,85,3.9,17,1,1,1,5,5,5,0,0,0
9,2018,10,Home,ATL,W,16-28,20,176,8.8,92,1,3,3,33,11,13,1,0,0
10,2018,12,Away,CIN,W,35-20,28,84,3,27,1,3,3,44,14.7,23,1,0,0
11,2018,13,Away,HOU,L,13-29,9,31,3.4,11,1,3,3,41,13.7,24,0,0,0
12,2018,14,Home,CAR,W,20-26,13,66,5.1,29,1,4,6,17,4.3,8,0,0,0
13,2018,15,Away,DEN,W,17-16,20,100,5,40,0,0,1,0,0,0,0,0,0
14,2018,16,Home,CIN,W,18-26,19,112,5.9,22,0,2,3,3,1.5,2,0,0,0
15,2018,17,Away,BAL,L,24-26,9,24,2.7,13,0,2,3,-4,-2,-2,0,0,0
0,2019,1,Home,TEN,L,43-13,17,75,4.4,15,0,3,4,10,3.3,7,0,0,0
1,2019,2,Away,NYJ,W,23-3,18,62,3.4,19,1,4,4,36,9,13,0,0,0
2,2019,3,Home,LAR,L,20-13,23,96,4.2,13,0,4,7,35,8.8,30,0,0,0
3,2019,4,Away,BAL,W,40-25,20,165,8.3,88,3,3,4,18,6,10,0,0,0
4,2019,5,Away,SF,L,3-31,16,87,5.4,37,0,1,1,12,12,12,0,0,0
5,2019,6,Home,SEA,L,32-28,20,122,6.1,52,2,5,6,17,3.4,6,0,1,1
6,2019,8,Away,NE,L,13-27,20,131,6.6,44,0,1,1,7,7,7,0,2,2
7,2019,9,Away,DEN,L,19-24,20,65,3.3,11,0,4,5,26,6.5,11,0,0,0
8,2019,10,Home,BUF,W,16-19,20,116,5.8,24,0,2,4,5,2.5,4,0,0,0
9,2019,11,Home,PIT,W,7-21,27,92,3.4,12,0,0,1,0,0,0,0,0,0
10,2019,12,Home,MIA,W,24-41,21,106,5,17,1,3,3,58,19.3,32,0,0,0
11,2019,13,Away,PIT,L,13-20,16,58,3.6,12,0,1,2,21,21,21,0,0,0
12,2019,14,Home,CIN,W,19-27,15,106,7.1,57,0,1,1,11,11,11,0,0,0
13,2019,15,Away,ARI,L,24-38,17,127,7.5,33,1,3,3,21,7,17,0,0,0
14,2019,16,Home,BAL,L,31-15,15,45,3,12,0,0,1,0,0,0,0,0,0
15,2019,17,Away,CIN,L,23-33,13,41,3.2,8,0,1,2,1,1,1,0,0,0
