,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,NO,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,ATL,W,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,MIA,L,23-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Home,NE,L,30-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,5,Home,NYJ,L,30-28,0,0,0,0,0,1,1,12,12,12,0,0,0
5,2013,7,Home,TB,W,23-31,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,8,Away,ARI,L,13-27,0,0,0,0,0,2,2,13,6.5,11,0,0,0
7,2013,9,Away,CAR,L,10-34,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2013,10,Home,SEA,L,33-10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,11,Away,TB,L,28-41,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2013,12,Home,NO,L,17-13,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,13,Away,BUF,W,34-31,0,0,0,0,0,1,1,5,5,5,0,0,0
12,2013,14,Away,GB,L,21-22,0,0,0,0,0,1,1,7,7,7,0,0,0
13,2013,15,Home,WAS,W,26-27,0,0,0,0,0,1,1,7,7,7,0,0,0
14,2013,16,Away,SF,L,24-34,0,0,0,0,0,1,1,2,2,2,0,0,0
15,2013,17,Home,CAR,L,21-20,0,0,0,0,0,1,1,3,3,3,0,0,0
0,2014,1,Home,NO,W,34-37,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Away,CIN,L,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Home,TB,W,14-56,0,0,0,0,0,3,3,35,11.7,16,0,0,0
3,2014,4,Away,MIN,L,28-41,0,0,0,0,0,1,1,1,1,1,1,0,0
4,2014,5,Away,NYG,L,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,6,Home,CHI,L,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,7,Away,BAL,L,7-29,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,8,Home,DET,L,22-21,0,0,0,0,0,1,2,0,0,0,0,0,0
8,2014,10,Away,TB,W,27-17,0,0,0,0,0,0,2,0,0,0,0,0,0
9,2014,11,Away,CAR,W,19-17,0,0,0,0,0,2,2,14,7,10,0,0,0
10,2014,12,Home,CLE,L,26-24,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Home,ARI,W,18-29,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2014,14,Away,GB,L,37-43,0,0,0,0,0,1,1,9,9,9,0,0,0
13,2014,15,Home,PIT,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Away,NO,W,30-14,0,0,0,0,0,1,1,3,3,3,0,0,0
15,2014,17,Home,CAR,L,34-3,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2015,1,Home,PHI,W,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,NYG,W,24-20,0,0,0,0,0,1,1,19,19,19,0,0,0
2,2015,3,Away,DAL,W,39-28,0,0,0,0,0,1,1,4,4,4,0,0,0
3,2015,4,Home,HOU,W,21-48,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2015,5,Home,WAS,W,19-25,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,6,Away,NO,L,21-31,0,0,0,0,0,2,3,18,9,12,0,0,0
6,2015,7,Away,TEN,W,10-7,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,8,Home,TB,L,23-20,0,0,0,0,0,1,1,8,8,8,0,0,0
8,2015,9,Away,SF,L,16-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Home,IND,L,24-21,0,0,0,0,0,3,4,21,7,15,2,0,0
10,2015,12,Home,MIN,L,20-10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,13,Away,TB,L,19-23,0,0,0,0,0,2,2,18,9,9,0,0,0
12,2015,14,Away,CAR,L,0-38,0,0,0,0,0,2,3,15,7.5,10,0,0,0
13,2015,15,Away,JAC,W,23-17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,CAR,W,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Home,NO,L,20-17,0,0,0,0,0,1,1,7,7,7,0,0,0
0,2016,1,Home,TB,L,31-24,0,0,0,0,0,1,1,8,8,8,0,0,0
1,2016,2,Away,OAK,W,35-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Away,NO,W,45-32,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,CAR,W,33-48,0,0,0,0,0,1,2,18,18,18,0,0,0
4,2016,5,Away,DEN,W,23-16,0,0,0,0,0,1,1,13,13,13,0,0,0
5,2016,6,Away,SEA,L,24-26,0,0,0,0,0,1,1,3,3,3,0,0,0
6,2016,7,Home,SD,L,33-30,0,0,0,0,0,1,1,3,3,3,0,0,0
7,2016,8,Home,GB,W,32-33,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,9,Away,TB,W,43-28,0,0,0,0,0,1,1,1,1,1,1,0,0
9,2016,10,Away,PHI,L,15-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Home,ARI,W,19-38,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2016,13,Home,KC,L,29-28,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Away,LAR,W,42-14,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2016,15,Home,SF,W,13-41,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,CAR,W,33-16,0,0,0,0,0,1,1,6,6,6,0,0,0
15,2016,17,Home,NO,W,32-38,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Home,NYJ,W,12-21,0,0,0,0,0,1,1,5,5,5,0,0,0
1,2017,2,Away,CAR,L,3-9,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2017,3,Home,DEN,W,16-26,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,ATL,W,23-17,1,-2,-2,-2,0,0,0,0,0,0,0,0,0
4,2017,5,Away,CIN,L,16-20,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,7,Home,TB,W,27-30,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,8,Home,OAK,W,14-34,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Away,NYJ,L,21-34,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Home,NO,L,47-10,1,0,0,0,0,3,3,21,7,9,0,0,0
9,2017,11,Away,LAC,L,24-54,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2017,12,Away,KC,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,NE,L,23-3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,IND,W,7-13,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,MIA,W,16-24,0,0,0,0,0,1,2,6,6,6,0,0,0
14,2017,16,Away,NE,L,16-37,0,0,0,0,0,1,1,-8,-8,-8,0,0,0
15,2017,17,Away,MIA,W,22-16,0,0,0,0,0,1,1,4,4,4,0,0,0
0,2018,1,Away,BAL,L,3-47,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,LAC,L,31-20,0,0,0,0,0,1,1,24,24,24,0,0,0
2,2018,3,Away,MIN,W,27-6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,GB,L,0-22,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,TEN,W,12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,HOU,L,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,IND,L,5-37,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,NE,L,25-6,0,0,0,0,0,1,1,0,0,0,0,0,0
