,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,DAL,W,20-19,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,NYG,W,13-16,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Home,WAS,L,29-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,MIN,L,10-24,2,8,4,5,0,2,3,72,36,67,0,0,0
4,2016,5,Away,GB,L,16-23,2,9,4.5,5,0,1,2,13,13,13,0,0,0
5,2016,6,Home,BAL,W,23-27,2,10,5,6,0,2,2,16,8,11,0,0,0
6,2016,7,Away,LAR,W,17-10,4,12,3,10,0,1,1,4,4,4,0,0,0
7,2016,9,Home,PHI,W,23-28,11,32,2.9,14,0,3,3,15,5,15,0,0,0
8,2016,10,Home,CIN,W,20-21,9,31,3.4,9,0,0,3,0,0,0,0,0,0
9,2016,11,Home,CHI,W,16-22,4,16,4,11,0,2,2,19,9.5,13,0,0,0
10,2016,12,Away,CLE,W,27-13,9,29,3.2,6,0,2,2,14,7,10,0,0,0
11,2016,13,Away,PIT,L,14-24,7,38,5.4,18,0,0,0,0,0,0,0,0,0
12,2016,14,Home,DAL,W,7-10,15,45,3,9,0,1,1,0,0,0,0,1,0
13,2016,15,Home,DET,W,6-17,11,56,5.1,11,0,0,1,0,0,0,0,0,0
14,2016,16,Away,PHI,L,19-24,15,68,4.5,20,0,1,2,9,9,9,0,0,0
15,2016,17,Away,WAS,W,19-10,21,102,4.9,22,0,0,2,0,0,0,0,0,0
0,2017,1,Away,DAL,L,3-19,7,16,2.3,3,0,2,3,9,4.5,5,0,0,0
1,2017,2,Home,DET,L,24-10,7,10,1.4,4,0,2,2,12,6,7,0,0,0
2,2017,3,Away,PHI,L,24-27,9,22,2.4,7,0,2,2,8,4,6,0,0,0
3,2017,4,Away,TB,L,23-25,9,13,1.4,14,0,1,2,6,6,6,0,0,0
4,2017,5,Away,NYG,L,27-22,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,DEN,W,23-10,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,NYG,L,24-7,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,LAR,L,51-17,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,SF,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,NYG,W,9-12,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,WAS,L,10-20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Away,OAK,L,17-24,3,12,4,5,0,0,0,0,0,0,0,0,0
12,2017,14,Home,DAL,L,30-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,NYG,L,34-29,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,ARI,L,0-23,3,10,3.3,5,0,0,0,0,0,0,0,0,0
15,2017,17,Home,WAS,W,10-18,3,7,2.3,4,0,1,1,11,11,11,0,0,0
0,2019,6,Away,GB,W,22-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,8,Home,NYG,W,26-31,3,4,1.3,2,0,0,0,0,0,0,0,0,0
2,2019,9,Away,OAK,W,24-31,2,16,8,13,0,0,0,0,0,0,0,0,0
3,2019,10,Away,CHI,W,13-20,7,9,1.3,3,0,1,1,9,9,9,0,0,0
