,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,ATL,W,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Away,ARI,L,7-40,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Home,LAR,L,37-32,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,DEN,L,27-7,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Away,CAR,W,17-14,3,6,2,3,0,0,0,0,0,0,0,0,0
5,2016,7,Away,SF,W,34-17,12,84,7,44,1,0,0,0,0,0,0,0,0
6,2016,8,Home,OAK,L,30-24,1,1,1,1,0,0,0,0,0,0,0,0,0
7,2016,9,Home,ATL,L,43-28,11,31,2.8,8,0,4,5,24,6,11,0,0,0
8,2016,10,Home,CHI,W,10-36,12,38,3.2,7,0,0,0,0,0,0,0,0,0
9,2016,11,Away,KC,W,19-17,4,22,5.5,7,0,0,0,0,0,0,0,0,0
10,2016,12,Home,SEA,W,5-14,5,16,3.2,7,0,1,1,4,4,4,0,0,0
11,2016,13,Away,SD,W,28-21,2,6,3,4,0,0,0,0,0,0,0,0,0
12,2016,14,Home,NO,W,11-16,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,DAL,L,20-26,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,NO,L,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Home,CAR,W,16-17,5,19,3.8,6,0,0,0,0,0,0,0,0,0
0,2017,1,Away,MIA,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,CHI,W,7-29,10,47,4.7,14,0,0,0,0,0,0,0,0,0
2,2017,3,Away,MIN,L,17-34,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,NYG,W,23-25,2,2,1,2,0,0,0,0,0,0,0,0,0
4,2017,5,Home,NE,L,19-14,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,ARI,L,33-38,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Away,BUF,L,27-30,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Home,CAR,L,17-3,0,0,0,0,0,0,0,0,0,0,0,0,0
