,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,SEA,W,24-27,15,71,4.7,14,0,2,3,31,15.5,29,1,0,0
1,2018,2,Home,OAK,W,19-20,14,107,7.6,53,0,1,1,4,4,4,0,0,0
2,2018,3,Away,BAL,L,14-27,4,20,5,8,0,0,2,0,0,0,0,0,0
3,2018,4,Home,KC,L,27-23,12,69,5.8,19,1,2,2,10,5,5,0,0,0
4,2018,5,Away,NYJ,L,16-34,12,61,5.1,29,0,3,4,20,6.7,10,0,0,0
5,2018,6,Home,LAR,L,23-20,4,18,4.5,8,0,6,7,48,8,13,0,0,0
6,2018,7,Away,ARI,W,45-10,14,90,6.4,28,1,1,1,6,6,6,0,0,0
7,2018,8,Away,KC,L,23-30,18,95,5.3,14,1,3,3,17,5.7,13,0,0,0
8,2018,9,Home,HOU,L,19-17,17,60,3.5,22,0,2,3,24,12,12,0,0,0
9,2018,11,Away,LAC,W,23-22,11,79,7.2,41,2,4,5,27,6.8,11,0,0,0
10,2018,12,Home,PIT,W,17-24,14,110,7.9,32,1,0,0,0,0,0,0,0,0
11,2018,13,Away,CIN,W,24-10,19,157,8.3,65,2,1,1,2,2,2,0,0,0
12,2018,14,Away,SF,L,14-20,14,30,2.1,5,1,4,7,21,5.3,9,0,0,0
13,2018,15,Home,CLE,L,17-16,14,24,1.7,11,0,4,6,20,5,16,0,0,0
14,2018,16,Away,OAK,L,14-27,10,46,4.6,11,0,2,2,11,5.5,10,0,0,0
15,2018,17,Home,LAC,L,23-9,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,OAK,L,16-24,11,43,3.9,9,0,4,6,23,5.8,10,0,0,0
1,2019,2,Home,CHI,L,16-14,13,36,2.8,9,0,4,7,30,7.5,19,0,0,0
2,2019,3,Away,GB,L,16-27,21,81,3.9,9,2,4,5,49,12.3,36,0,0,0
3,2019,4,Home,JAC,L,26-24,9,53,5.9,28,0,1,1,7,7,7,0,0,0
4,2019,5,Away,LAC,W,20-13,15,114,7.6,32,1,4,4,33,8.3,13,0,0,0
5,2019,6,Home,TEN,W,0-16,15,70,4.7,30,1,2,3,5,2.5,3,0,0,0
6,2019,7,Home,KC,L,30-6,11,36,3.3,9,0,1,1,-4,-4,-4,0,0,0
7,2019,8,Away,IND,L,13-15,14,59,4.2,11,0,5,5,17,3.4,7,0,0,0
8,2019,9,Home,CLE,W,19-24,9,92,10.2,40,1,0,0,0,0,0,0,0,0
9,2019,11,Away,MIN,L,23-27,16,67,4.2,11,0,2,2,8,4,7,0,0,0
10,2019,12,Away,BUF,L,3-20,13,57,4.4,16,0,1,3,11,11,11,0,0,0
11,2019,13,Home,LAC,W,20-23,17,58,3.4,15,0,3,3,4,1.3,9,0,0,0
12,2019,14,Away,HOU,W,38-24,16,51,3.2,8,1,2,2,4,2,5,0,0,0
13,2019,15,Away,KC,L,3-23,7,32,4.6,13,0,0,2,0,0,0,0,0,0
14,2019,16,Home,DET,W,17-27,19,109,5.7,27,1,2,3,9,4.5,6,0,0,0
15,2019,17,Home,OAK,W,15-16,18,53,2.9,8,0,0,1,0,0,0,0,0,0
