,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,CHI,L,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,CIN,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,CIN,W,30-34,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,CLE,L,6-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,CIN,W,6-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,BUF,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,DET,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Away,CIN,W,9-49,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,9,Away,MIA,L,20-22,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,10,Away,BAL,L,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,11,Away,CIN,W,20-41,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,SD,W,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,CIN,W,28-42,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,PIT,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,CIN,W,14-42,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,CIN,W,17-34,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,BAL,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,CIN,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,CIN,W,7-33,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,5,Home,CIN,L,17-43,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,6,Home,CAR,T,37-37,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,7,Away,IND,L,0-27,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,8,Away,CIN,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,9,Home,JAC,W,23-33,0,0,0,0,0,2,3,10,5,6,0,0,0
8,2014,10,Home,CLE,L,24-3,4,12,3,7,0,2,4,3,1.5,8,0,0,0
9,2014,11,Away,NO,W,27-10,2,1,0.5,1,0,3,3,36,12,15,0,0,0
10,2014,12,Away,HOU,W,22-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,TB,W,14-13,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Home,PIT,L,42-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Away,CLE,W,30-0,3,14,4.7,10,1,0,0,0,0,0,0,0,0
14,2014,16,Home,DEN,W,28-37,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Away,PIT,L,17-27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Away,OAK,W,33-13,0,0,0,0,0,1,1,24,24,24,0,0,0
1,2015,2,Home,SD,W,19-24,0,0,0,0,0,1,2,8,8,8,0,0,0
2,2015,3,Away,BAL,W,28-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Home,KC,W,21-36,0,0,0,0,0,1,1,27,27,27,0,0,0
4,2015,5,Home,SEA,W,24-27,1,-2,-2,-2,0,0,0,0,0,0,0,1,1
5,2015,6,Away,BUF,W,34-21,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Away,PIT,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,9,Home,CLE,W,10-31,0,0,0,0,0,1,1,7,7,7,0,0,0
8,2015,10,Home,HOU,L,10-6,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2015,11,Away,ARI,L,31-34,0,0,0,0,0,1,1,7,7,7,0,0,0
10,2015,12,Home,STL,W,7-31,2,4,2,2,0,2,2,4,2,3,0,0,0
11,2015,13,Away,CLE,W,37-3,1,2,2,2,0,1,2,4,4,4,0,0,0
12,2015,14,Home,PIT,L,33-20,0,0,0,0,0,1,1,5,5,5,1,0,0
13,2015,15,Away,SF,W,24-14,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Away,DEN,L,17-20,0,0,0,0,0,1,1,8,8,8,0,0,0
15,2015,17,Home,BAL,W,16-24,0,0,0,0,0,0,2,0,0,0,0,0,0
0,2016,1,Away,NYJ,W,23-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Away,PIT,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Home,DEN,L,29-17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,MIA,W,7-22,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Away,DAL,L,14-28,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,NE,L,17-35,2,16,8,12,0,0,0,0,0,0,0,0,0
6,2016,7,Home,CLE,W,17-31,4,23,5.8,11,0,1,1,10,10,10,0,0,0
7,2016,8,Home,WAS,T,27-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,10,Away,NYG,L,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Home,BUF,L,16-12,0,0,0,0,0,1,1,14,14,14,0,0,0
