,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,NO,W,48-40,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,PHI,W,21-27,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,PIT,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,CHI,L,10-48,10,29,2.9,7,0,1,2,-1,-1,-1,0,0,0
4,2018,6,Away,ATL,L,29-34,1,3,3,3,0,3,3,16,5.3,10,0,0,0
5,2018,7,Home,CLE,W,23-26,6,13,2.2,9,1,1,1,15,15,15,0,0,0
6,2018,8,Away,CIN,L,34-37,2,-3,-1.5,1,0,1,1,4,4,4,0,0,0
7,2018,9,Away,CAR,L,28-42,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Home,WAS,L,16-3,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,NYG,L,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Home,SF,W,9-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Home,CAR,W,17-24,4,2,0.5,3,0,0,0,0,0,0,0,0,0
12,2018,14,Home,NO,L,28-14,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,BAL,L,12-20,0,0,0,0,0,1,2,-1,-1,-1,0,0,0
14,2018,16,Away,DAL,L,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,ATL,L,34-32,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,SF,L,31-17,13,75,5.8,16,0,1,1,18,18,18,0,0,0
1,2019,2,Away,CAR,W,20-14,4,9,2.3,12,0,0,0,0,0,0,0,0,0
2,2019,3,Home,NYG,L,32-31,14,80,5.7,25,0,1,1,41,41,41,0,0,0
3,2019,4,Away,LAR,W,55-40,19,70,3.7,24,1,1,1,12,12,12,0,0,0
4,2019,5,Away,NO,L,24-31,9,35,3.9,14,0,2,3,21,10.5,11,0,0,0
5,2019,6,Home,CAR,L,37-26,4,10,2.5,5,1,0,0,0,0,0,0,0,0
6,2019,8,Away,TEN,L,23-27,11,35,3.2,7,0,1,3,17,17,17,0,0,0
7,2019,9,Away,SEA,L,34-40,18,67,3.7,15,1,2,2,15,7.5,12,0,0,0
8,2019,10,Home,ARI,W,27-30,11,29,2.6,11,1,8,8,77,9.6,17,0,1,1
9,2019,11,Home,NO,L,34-17,4,13,3.3,6,0,2,4,1,0.5,4,0,0,0
10,2019,12,Away,ATL,W,35-22,12,51,4.3,25,1,3,3,16,5.3,8,0,0,0
11,2019,13,Away,JAC,W,28-11,6,8,1.3,5,0,0,0,0,0,0,0,0,0
12,2019,14,Home,IND,W,35-38,11,36,3.3,10,0,4,5,23,5.8,9,0,0,0
13,2019,15,Away,DET,W,38-17,11,23,2.1,6,0,1,3,26,26,26,0,0,0
14,2019,16,Home,HOU,L,23-20,14,77,5.5,49,1,3,4,32,10.7,23,0,0,0
15,2019,17,Home,ATL,L,28-22,11,106,9.6,33,0,2,2,10,5,11,0,2,1
