,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2015,1,Away,NE,L,21-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Home,SF,W,18-43,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,STL,W,12-6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Home,BAL,L,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Away,SD,W,24-20,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,6,Home,ARI,W,13-25,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Away,KC,L,13-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,8,Home,CIN,L,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,9,Home,OAK,W,35-38,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,10,Home,CLE,W,9-30,0,0,0,0,0,1,1,10,10,10,0,0,0
10,2015,12,Away,SEA,L,30-39,0,0,0,0,0,1,1,6,6,6,0,0,0
11,2015,13,Home,IND,W,10-45,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2015,14,Away,CIN,W,33-20,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Home,DEN,W,27-34,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Away,BAL,L,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Away,CLE,W,28-12,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,WAS,W,38-16,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,PIT,W,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,PHI,L,3-34,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,PIT,W,14-43,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,PIT,W,13-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,MIA,L,15-30,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,7,Home,NE,L,27-16,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,9,Away,BAL,L,14-21,-,-,-,-,-,-,-,-,-,-,-,-,-
