,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,SEA,W,24-27,15,71,4.7,17,0,0,0,0,0,0,0,0,0
1,2018,2,Home,OAK,W,19-20,8,28,3.5,14,1,0,1,0,0,0,0,0,0
2,2018,3,Away,BAL,L,14-27,13,53,4.1,16,1,1,1,5,5,5,0,0,0
3,2018,4,Home,KC,L,27-23,8,67,8.4,18,1,0,0,0,0,0,0,0,0
4,2018,5,Away,NYJ,L,16-34,5,31,6.2,24,0,3,4,16,5.3,7,0,0,0
5,2018,6,Home,LAR,L,23-20,9,22,2.4,7,0,0,0,0,0,0,0,0,0
6,2018,7,Away,ARI,W,45-10,13,37,2.8,9,1,0,0,0,0,0,0,0,0
7,2018,8,Away,KC,L,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Home,HOU,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,LAC,W,23-22,7,23,3.3,7,1,1,1,7,7,7,0,0,0
10,2018,12,Home,PIT,W,17-24,6,17,2.8,5,0,0,0,0,0,0,0,0,0
11,2018,13,Away,CIN,W,24-10,12,48,4,10,0,0,0,0,0,0,0,1,1
12,2018,14,Away,SF,L,14-20,6,36,6,23,0,0,1,0,0,0,0,0,0
13,2018,15,Home,CLE,L,17-16,4,7,1.8,6,0,1,1,1,1,1,0,0,0
14,2018,16,Away,OAK,L,14-27,7,21,3,4,0,0,1,0,0,0,0,0,0
15,2018,17,Home,LAC,L,23-9,17,60,3.5,9,0,8,10,43,5.4,9,0,0,0
0,2019,1,Away,OAK,L,16-24,10,56,5.6,26,0,1,1,5,5,5,0,0,0
1,2019,2,Home,CHI,L,16-14,11,54,4.9,14,0,5,7,48,9.6,19,0,0,0
2,2019,3,Away,GB,L,16-27,15,63,4.2,13,0,4,5,10,2.5,9,0,0,0
3,2019,4,Home,JAC,L,26-24,6,16,2.7,5,0,4,6,34,8.5,15,0,0,0
4,2019,5,Away,LAC,W,20-13,13,61,4.7,11,0,2,2,6,3,6,0,0,0
5,2019,6,Home,TEN,W,0-16,11,34,3.1,8,0,5,5,42,8.4,19,0,0,0
6,2019,7,Home,KC,L,30-6,10,35,3.5,14,1,4,5,32,8,11,0,0,0
7,2019,8,Away,IND,L,13-15,12,40,3.3,10,1,1,2,5,5,5,0,0,0
8,2019,9,Home,CLE,W,19-24,5,15,3,6,0,1,1,-1,-1,-1,0,0,0
9,2019,11,Away,MIN,L,23-27,8,31,3.9,10,0,1,1,14,14,14,0,0,0
10,2019,12,Away,BUF,L,3-20,2,20,10,13,0,2,2,9,4.5,7,0,0,0
11,2019,13,Home,LAC,W,20-23,5,11,2.2,5,0,4,4,13,3.3,6,0,0,0
12,2019,14,Away,HOU,W,38-24,8,24,3,11,0,2,2,8,4,5,1,0,0
13,2019,15,Away,KC,L,3-23,5,12,2.4,8,0,4,4,14,3.5,5,0,0,0
14,2019,16,Home,DET,W,17-27,9,28,3.1,9,1,2,2,9,4.5,7,0,0,0
15,2019,17,Home,OAK,W,15-16,2,-4,-2,-2,0,1,1,8,8,8,0,0,0
