,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Home,PHI,L,30-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,LAR,W,27-20,21,67,3.2,12,0,1,1,0,0,0,0,0,0
2,2017,3,Home,OAK,W,10-27,19,49,2.6,9,0,1,1,6,6,6,0,1,1
3,2017,4,Away,KC,L,20-29,6,27,4.5,6,0,0,0,0,0,0,0,0,0
4,2017,6,Home,SF,W,24-26,9,23,2.6,8,0,3,3,24,8,16,1,0,0
5,2017,7,Away,PHI,L,24-34,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,8,Home,DAL,L,33-19,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Away,SEA,W,17-14,2,9,4.5,8,0,0,0,0,0,0,0,0,0
8,2017,10,Home,MIN,L,38-30,9,35,3.9,9,0,1,1,25,25,25,0,0,0
9,2017,11,Away,NO,L,31-34,23,117,5.1,30,1,1,2,9,9,9,0,0,0
10,2017,12,Home,NYG,W,10-20,24,100,4.2,16,0,3,4,30,10,11,0,0,0
11,2017,13,Away,DAL,L,14-38,12,38,3.2,15,0,3,3,31,10.3,17,0,0,0
12,2017,14,Away,LAC,L,13-30,17,45,2.6,10,0,4,4,7,1.8,6,0,0,0
13,2017,15,Home,ARI,W,15-20,14,37,2.6,6,0,2,2,29,14.5,23,0,0,0
14,2017,16,Home,DEN,W,11-27,17,53,3.1,11,0,3,3,21,7,9,0,1,1
15,2017,17,Away,NYG,L,10-18,2,3,1.5,4,0,0,0,0,0,0,0,0,0
0,2018,1,Away,ARI,W,24-6,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,WAS,L,21-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,WAS,W,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,5,Away,NO,L,19-43,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,6,Home,CAR,W,17-23,1,3,3,3,0,1,1,-3,-3,-3,0,0,0
5,2018,7,Home,DAL,W,17-20,2,2,1,7,0,0,0,0,0,0,0,0,0
6,2018,8,Away,NYG,W,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Home,ATL,L,38-14,2,20,10,11,0,2,3,8,4,8,0,0,0
8,2018,10,Away,TB,W,16-3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,WAS,L,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DAL,L,23-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,PHI,L,13-28,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,WAS,L,40-16,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,JAC,W,16-13,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,TEN,L,16-25,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,PHI,L,24-0,3,7,2.3,6,0,0,0,0,0,0,0,0,0
0,2019,1,Away,SEA,W,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,SF,W,41-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,BUF,W,17-21,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,PIT,W,3-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,ARI,W,26-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,BAL,W,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,17,Away,NE,W,27-24,5,16,3.2,9,0,0,0,0,0,0,0,0,0
