,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,JAC,L,20-15,18,106,5.9,68,1,2,6,22,11,18,0,0,0
1,2018,2,Away,DAL,L,13-20,11,28,2.5,10,0,14,16,80,5.7,18,0,0,0
2,2018,3,Away,HOU,W,27-22,17,82,4.8,24,1,5,5,35,7,21,0,0,0
3,2018,4,Home,NO,L,33-18,10,44,4.4,28,1,6,8,56,9.3,13,0,0,0
4,2018,5,Away,CAR,L,31-33,15,48,3.2,30,0,4,4,81,20.3,57,2,0,0
5,2018,6,Home,PHI,L,34-13,13,130,10,50,1,9,12,99,11,55,0,0,0
6,2018,7,Away,ATL,L,20-23,14,43,3.1,15,1,9,10,51,5.7,14,0,0,0
7,2018,8,Home,WAS,L,20-13,13,38,2.9,9,0,9,10,73,8.1,24,0,0,0
8,2018,10,Away,SF,W,27-23,20,67,3.4,18,0,4,5,33,8.3,23,0,0,0
9,2018,11,Home,TB,W,35-38,27,142,5.3,23,2,2,3,10,5,6,1,0,0
10,2018,12,Away,PHI,L,22-25,13,101,7.8,51,1,7,8,41,5.9,13,1,0,0
11,2018,13,Home,CHI,W,27-30,24,125,5.2,29,0,3,4,21,7,17,0,0,0
12,2018,14,Away,WAS,W,40-16,14,170,12.1,78,1,4,5,27,6.8,13,0,0,0
13,2018,15,Home,TEN,L,17-0,14,31,2.2,17,0,4,10,25,6.3,11,0,0,0
14,2018,16,Away,IND,L,27-28,21,43,2,6,1,5,7,34,6.8,18,0,0,0
15,2018,17,Home,DAL,L,36-35,17,109,6.4,68,1,4,8,33,8.3,17,0,0,0
0,2019,1,Away,DAL,L,17-35,11,120,10.9,59,0,4,6,19,4.8,9,0,1,0
1,2019,2,Home,BUF,L,28-14,18,107,5.9,27,1,3,7,28,9.3,19,0,0,0
2,2019,3,Away,TB,W,32-31,8,10,1.3,6,0,4,5,27,6.8,19,0,0,0
3,2019,4,Home,WAS,W,3-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,MIN,L,28-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,NE,L,14-35,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,ARI,L,27-21,18,72,4,20,1,3,5,8,2.7,10,0,0,0
7,2019,8,Away,DET,L,26-31,19,64,3.4,13,0,8,10,79,9.9,38,1,0,0
8,2019,9,Home,DAL,L,37-18,14,28,2,8,0,6,8,67,11.2,65,0,0,0
9,2019,10,Away,NYJ,L,27-34,13,1,0.1,3,0,5,5,30,6,22,0,0,0
10,2019,12,Away,CHI,L,14-19,17,59,3.5,22,0,2,3,1,0.5,1,0,0,0
11,2019,13,Home,GB,L,31-13,19,83,4.4,16,0,3,7,32,10.7,27,0,0,0
12,2019,14,Away,PHI,L,17-23,17,66,3.9,11,0,3,4,1,0.3,2,0,0,0
13,2019,15,Home,MIA,W,20-36,24,112,4.7,12,2,4,5,31,7.8,11,0,0,0
14,2019,16,Away,WAS,W,41-35,22,189,8.6,67,1,4,4,90,22.5,51,1,0,0
15,2019,17,Home,PHI,L,34-17,17,92,5.4,68,1,3,4,25,8.3,9,0,0,0
