,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2014,1,Home,BUF,L,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Away,SF,W,28-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Away,NYJ,W,27-19,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Home,GB,L,38-17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,5,Away,CAR,L,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,6,Away,ATL,W,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,7,Home,MIA,L,27-14,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,8,Away,NE,L,23-51,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,10,Away,GB,L,14-55,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,11,Home,MIN,W,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,12,Home,TB,W,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,DET,L,17-34,0,0,0,0,0,1,1,-1,-1,-1,0,0,0
12,2014,14,Home,DAL,L,41-28,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Home,NO,L,31-15,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Home,DET,L,20-14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Away,MIN,L,9-13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Away,MIA,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,LAC,W,19-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,NYJ,L,6-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,NO,L,20-0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,TEN,W,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,ATL,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,NYJ,W,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Away,BAL,L,0-40,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,9,Home,OAK,L,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,10,Away,CAR,L,21-45,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,11,Home,TB,L,30-20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,12,Away,NE,L,17-35,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,13,Home,DEN,W,9-35,5,22,4.4,12,0,0,0,0,0,0,0,0,0
13,2017,14,Home,NE,W,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,15,Away,BUF,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,16,Away,KC,L,13-29,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2017,17,Home,BUF,L,22-16,3,8,2.7,5,0,1,1,3,3,3,0,0,0
0,2018,1,Home,TEN,W,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,NYJ,W,20-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,OAK,W,20-28,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,NE,L,7-38,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Away,CIN,L,17-27,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,CHI,W,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,DET,L,32-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,HOU,L,23-42,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,9,Home,NYJ,W,6-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Away,GB,L,12-31,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,IND,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,BUF,W,17-21,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,NE,W,33-34,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,MIN,L,17-41,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,JAC,L,17-7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,BUF,L,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,NYJ,W,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,NYG,W,28-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,CIN,W,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,NE,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,TEN,W,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Home,MIA,W,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Home,PHI,L,31-13,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,WAS,W,9-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,CLE,L,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,MIA,W,37-20,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,DEN,W,3-20,0,0,0,0,0,0,0,0,0,0,0,0,0
