,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,CAR,W,12-7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Home,SF,W,3-29,3,10,3.3,5,0,0,0,0,0,0,0,0,0
2,2013,3,Away,SEA,W,17-45,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,HOU,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,IND,L,28-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,SEA,W,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,ARI,W,34-22,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Away,STL,W,14-9,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,9,Away,SEA,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,10,Away,ATL,W,33-10,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,11,Away,SEA,W,20-41,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,SEA,W,7-34,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,SF,L,17-19,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,NYG,W,23-0,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,SEA,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,SEA,W,9-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Away,HOU,W,27-20,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Home,DEN,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,GB,L,28-38,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,CIN,L,21-36,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Home,CHI,L,18-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,MIN,L,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Home,PIT,W,13-23,2,8,4,5,0,0,0,0,0,0,0,0,0
7,2015,8,Home,DET,W,10-45,2,12,6,8,1,0,0,0,0,0,0,0,0
8,2015,10,Away,DEN,W,29-13,2,4,2,4,0,0,0,0,0,0,0,0,0
9,2015,11,Away,SD,W,33-3,11,96,8.7,52,2,1,1,5,5,5,0,0,0
10,2015,12,Home,BUF,W,22-30,19,114,6,35,1,3,3,1,0.3,2,0,0,0
11,2015,13,Away,OAK,W,34-20,7,26,3.7,10,1,2,2,-1,-0.5,3,0,0,0
12,2015,14,Home,SD,W,3-10,8,52,6.5,20,0,0,0,0,0,0,0,0,0
13,2015,15,Away,BAL,W,34-14,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,CLE,W,13-17,5,15,3,5,0,0,0,0,0,0,0,0,0
15,2015,17,Home,OAK,W,17-23,16,76,4.8,15,1,0,0,0,0,0,0,0,0
0,2016,1,Home,SD,W,27-33,11,70,6.4,14,1,7,8,129,18.4,45,0,0,0
1,2016,2,Away,HOU,L,12-19,10,57,5.7,25,0,2,3,48,24,34,0,1,1
2,2016,3,Home,NYJ,W,3-24,20,75,3.8,17,0,1,1,8,8,8,0,1,1
3,2016,4,Away,PIT,L,14-43,13,82,6.3,46,0,1,5,14,14,14,0,1,1
4,2016,6,Away,OAK,W,26-10,24,131,5.5,45,1,2,2,32,16,30,0,0,0
5,2016,7,Home,NO,W,21-27,17,77,4.5,12,0,2,2,54,27,46,1,0,0
6,2016,8,Away,IND,W,30-14,7,19,2.7,7,0,2,2,28,14,23,0,0,0
7,2016,9,Home,JAC,W,14-19,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,CAR,W,20-17,13,61,4.7,12,0,3,3,11,3.7,5,0,0,0
9,2016,11,Home,TB,L,19-17,17,69,4.1,15,0,2,2,16,8,9,0,0,0
10,2016,12,Away,DEN,W,30-27,17,64,3.8,7,0,2,2,32,16,18,0,0,0
11,2016,13,Away,ATL,W,29-28,14,29,2.1,8,1,3,4,23,7.7,14,1,0,0
12,2016,14,Home,OAK,W,13-21,20,56,2.8,8,0,1,2,7,7,7,0,0,0
13,2016,15,Home,TEN,L,19-17,18,69,3.8,9,0,3,3,25,8.3,12,0,0,0
14,2016,16,Home,DEN,W,10-33,13,62,4.8,18,0,2,3,20,10,20,0,1,0
15,2016,17,Away,SD,W,37-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,LAC,W,38-28,3,32,10.7,27,0,1,1,8,8,8,0,0,0
1,2018,2,Away,PIT,W,42-37,1,3,3,3,0,0,0,0,0,0,0,0,0
2,2018,3,Home,SF,W,27-38,1,1,1,1,0,2,3,29,14.5,15,0,0,0
3,2018,4,Away,DEN,W,27-23,2,6,3,4,0,0,0,0,0,0,0,0,0
4,2018,5,Home,JAC,W,14-30,1,0,0,0,0,1,1,13,13,13,0,0,0
5,2018,6,Away,NE,L,40-43,2,5,2.5,4,0,2,3,9,4.5,5,0,0,0
6,2018,7,Home,CIN,W,10-45,8,59,7.4,34,0,3,3,30,10,22,0,0,0
7,2018,8,Home,DEN,W,23-30,0,0,0,0,0,0,0,0,0,0,0,0,0
