,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,ARI,L,24-6,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,LAR,L,0-34,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Away,ARI,L,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,ARI,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,SF,W,28-18,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,MIN,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,ARI,L,45-10,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,SF,W,15-18,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,KC,L,14-26,0,0,0,0,0,2,2,14,7,10,0,0,0
9,2018,11,Home,OAK,L,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,LAC,L,10-45,0,0,0,0,0,1,1,5,5,5,0,0,0
11,2018,13,Away,GB,W,20-17,1,5,5,5,0,0,0,0,0,0,0,0,0
12,2018,14,Home,DET,L,17-3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,ATL,L,14-40,1,-3,-3,-3,0,4,4,18,4.5,17,0,0,0
14,2018,16,Home,LAR,L,31-9,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,SEA,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,SF,L,31-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,CAR,W,20-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,NYG,L,32-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,LAR,W,55-40,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,NO,L,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,CAR,L,37-26,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Away,TEN,L,23-27,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Away,SEA,L,34-40,0,0,0,0,0,1,1,2,2,2,0,0,0
8,2019,10,Home,ARI,W,27-30,1,6,6,6,0,0,1,0,0,0,0,0,0
9,2019,11,Home,NO,L,34-17,0,0,0,0,0,1,1,11,11,11,0,0,0
10,2019,12,Away,ATL,W,35-22,1,2,2,2,0,0,0,0,0,0,0,0,0
11,2019,13,Away,JAC,W,28-11,1,2,2,2,0,0,0,0,0,0,0,0,0
12,2019,14,Home,IND,W,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,DET,W,38-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,HOU,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,ATL,L,28-22,-,-,-,-,-,-,-,-,-,-,-,-,-
