,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2015,1,Home,CAR,L,20-9,12,51,4.3,14,0,3,4,16,5.3,7,0,0,0
1,2015,2,Home,MIA,W,20-23,25,70,2.8,12,0,3,4,13,4.3,11,0,0,0
2,2015,3,Away,NE,L,17-51,11,33,3,8,0,2,3,9,4.5,9,0,0,0
3,2015,4,Away,IND,L,13-16,22,105,4.8,36,0,2,3,4,2,5,0,0,0
4,2015,5,Away,TB,L,31-38,11,32,2.9,10,0,5,6,31,6.2,13,1,0,0
5,2015,6,Away,JAC,L,31-20,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Home,BUF,W,31-34,20,115,5.8,28,1,1,3,9,9,9,0,0,0
7,2015,9,Away,NYJ,L,23-28,14,64,4.6,45,0,3,3,37,12.3,21,0,0,0
8,2015,10,Away,BAL,W,22-20,18,61,3.4,16,0,5,6,6,1.2,7,0,0,0
9,2015,11,Home,TEN,W,13-19,14,54,3.9,15,0,3,4,28,9.3,13,0,0,0
10,2015,12,Home,SD,L,31-25,9,36,4,21,0,4,5,46,11.5,20,0,0,0
11,2015,13,Away,TEN,L,39-42,15,57,3.8,9,1,4,4,79,19.8,67,0,0,0
12,2015,14,Home,IND,W,16-51,11,62,5.6,14,0,1,1,1,1,1,0,0,0
13,2015,15,Away,JAC,L,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,NO,L,27-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,HOU,L,6-30,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,GB,L,27-23,21,39,1.9,7,1,4,6,30,7.5,11,0,0,0
1,2016,2,Away,SD,L,14-38,7,28,4,15,0,8,9,10,1.3,8,0,0,0
2,2016,3,Home,BAL,L,19-17,6,17,2.8,9,0,2,3,11,5.5,6,0,0,0
3,2016,4,Home,IND,W,27-30,14,71,5.1,15,0,4,5,46,11.5,16,0,1,0
4,2016,6,Away,CHI,W,17-16,6,21,3.5,13,0,1,2,5,5,5,0,0,0
5,2016,7,Home,OAK,L,33-16,6,24,4,15,0,1,2,4,4,4,0,0,0
6,2016,8,Away,TEN,L,22-36,3,20,6.7,12,0,4,4,36,9,12,0,0,0
7,2016,9,Away,KC,L,14-19,7,33,4.7,16,0,5,6,32,6.4,13,1,1,1
8,2016,10,Home,HOU,L,24-21,9,32,3.6,7,0,3,3,27,9,17,0,0,0
9,2016,11,Away,DET,L,19-26,4,16,4,7,0,2,3,16,8,14,0,0,0
10,2016,12,Away,BUF,L,21-28,6,17,2.8,6,0,1,2,3,3,3,0,0,0
11,2016,13,Home,DEN,L,20-10,14,55,3.9,8,0,3,7,27,9,10,0,0,0
12,2016,14,Home,MIN,L,25-16,17,59,3.5,12,0,7,9,31,4.4,10,0,0,0
13,2016,15,Away,HOU,L,20-21,8,28,3.5,12,0,5,7,34,6.8,10,0,0,0
14,2016,16,Home,TEN,W,17-38,2,5,2.5,4,0,0,0,0,0,0,0,0,0
15,2016,17,Away,IND,L,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,HOU,W,29-7,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,JAC,L,37-16,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,JAC,W,7-44,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,NYJ,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,PIT,W,30-9,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,JAC,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,IND,W,27-0,9,122,13.6,58,1,2,2,15,7.5,8,0,0,0
