,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Home,ATL,L,23-17,5,66,13.2,46,0,8,12,47,5.9,19,1,0,0
1,2017,2,Away,TB,L,7-29,7,13,1.9,9,0,8,9,55,6.9,14,0,1,1
2,2017,3,Home,PIT,W,17-23,12,78,6.5,36,0,4,4,24,6,9,0,1,0
3,2017,4,Away,GB,L,14-35,6,24,4,7,0,4,4,24,6,8,0,0,0
4,2017,5,Home,MIN,L,20-17,6,13,2.2,7,0,1,1,-6,-6,-3,0,0,0
5,2017,6,Away,BAL,W,27-24,14,32,2.3,9,0,1,3,14,14,14,0,1,1
6,2017,7,Home,CAR,W,3-17,0,0,0,0,0,1,3,70,70,70,0,0,0
7,2017,8,Away,NO,L,12-20,4,2,0.5,5,1,1,3,6,6,6,0,0,0
8,2017,10,Home,GB,L,23-16,1,1,1,1,0,1,2,10,10,10,0,0,0
9,2017,11,Home,DET,L,27-24,9,44,4.9,15,1,4,6,15,3.8,13,0,0,0
10,2017,12,Away,PHI,L,3-31,2,-11,-5.5,1,0,2,2,8,4,7,0,0,0
11,2017,13,Home,SF,L,15-14,2,5,2.5,4,0,4,4,39,9.8,21,0,0,0
12,2017,14,Away,CIN,W,33-7,12,80,6.7,29,0,2,2,5,2.5,3,0,0,0
13,2017,15,Away,DET,L,10-20,2,1,0.5,4,0,4,6,16,4,7,0,0,0
14,2017,16,Home,CLE,W,3-20,2,9,4.5,6,0,2,2,12,6,13,0,0,0
15,2017,17,Away,MIN,L,10-23,3,13,4.3,10,0,6,8,14,2.3,7,0,0,0
0,2018,1,Away,GB,L,23-24,5,25,5,11,0,3,4,16,5.3,9,0,0,0
1,2018,2,Home,SEA,W,17-24,4,8,2,3,0,1,1,17,17,17,0,0,0
2,2018,3,Away,ARI,W,16-14,5,53,10.6,21,0,3,3,15,5,6,0,0,0
3,2018,4,Home,TB,W,10-48,13,53,4.1,19,0,7,8,121,17.3,35,1,0,0
4,2018,6,Away,MIA,L,28-31,5,31,6.2,21,1,7,9,90,12.9,50,0,1,1
5,2018,7,Home,NE,L,38-31,6,14,2.3,5,0,8,13,69,8.6,20,1,0,0
6,2018,8,Home,NYJ,W,10-24,5,40,8,21,0,1,3,70,70,70,1,1,0
7,2018,9,Away,BUF,W,41-9,6,5,0.8,7,0,1,2,8,8,8,0,1,0
8,2018,10,Home,DET,W,22-34,7,15,2.1,5,1,6,7,29,4.8,17,0,0,0
9,2018,11,Home,MIN,W,20-25,7,27,3.9,21,0,3,4,23,7.7,10,0,1,1
10,2018,12,Away,DET,W,23-16,3,14,4.7,10,0,7,8,45,6.4,14,1,0,0
11,2018,13,Away,NYG,L,27-30,8,30,3.8,11,0,12,14,156,13,46,0,1,0
12,2018,14,Home,LAR,W,6-15,9,69,7.7,32,0,4,4,20,5,8,0,0,0
13,2018,15,Home,GB,W,17-24,5,24,4.8,22,0,5,6,31,6.2,13,1,1,1
14,2018,16,Away,SF,W,14-9,6,12,2,9,0,1,1,7,7,7,0,0,0
15,2018,17,Away,MIN,W,24-10,5,24,4.8,8,1,2,3,8,4,5,0,1,0
0,2019,1,Home,GB,L,10-3,0,0,0,0,0,8,10,49,6.1,9,0,0,0
1,2019,2,Away,DEN,W,16-14,4,18,4.5,9,0,2,5,7,3.5,16,0,0,0
2,2019,3,Away,WAS,W,31-15,4,-2,-0.5,1,0,2,4,26,13,24,0,0,0
3,2019,4,Home,MIN,W,6-16,5,11,2.2,6,0,2,5,7,3.5,10,1,0,0
4,2019,5,Away,OAK,L,21-24,4,10,2.5,4,0,6,7,39,6.5,12,0,0,0
5,2019,7,Home,NO,L,36-25,3,10,3.3,9,0,9,12,19,2.1,9,0,0,0
6,2019,8,Home,LAC,L,17-16,4,9,2.3,6,0,3,3,37,12.3,31,0,0,0
7,2019,9,Away,PHI,L,14-22,2,7,3.5,7,0,2,5,9,4.5,6,0,0,0
8,2019,10,Home,DET,W,13-20,3,14,4.7,8,0,4,4,23,5.8,9,1,0,0
9,2019,11,Away,LAR,L,7-17,9,39,4.3,12,0,5,6,35,7,17,1,0,0
10,2019,12,Home,NYG,W,14-19,6,25,4.2,13,0,7,9,29,4.1,14,0,0,0
11,2019,13,Away,DET,W,24-20,3,9,3,5,0,4,4,26,6.5,9,0,0,0
12,2019,14,Home,DAL,W,24-31,3,7,2.3,6,0,6,6,24,4,6,0,2,0
13,2019,15,Away,GB,L,13-21,8,28,3.5,8,0,7,10,57,8.1,15,0,1,0
14,2019,16,Home,KC,L,26-3,2,8,4,6,0,3,4,25,8.3,12,0,0,0
15,2019,17,Away,MIN,W,21-19,4,20,5,19,0,9,10,44,4.9,12,0,0,0
