,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2015,1,Home,PHI,W,24-26,20,80,4,20,0,0,2,0,0,0,0,0,0
1,2015,2,Away,NYG,W,24-20,9,32,3.6,11,1,0,1,0,0,0,0,0,0
2,2015,3,Away,DAL,W,39-28,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,ATL,W,21-48,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Home,WAS,W,19-25,2,3,1.5,2,0,0,0,0,0,0,0,0,0
5,2015,6,Away,NO,L,21-31,4,40,10,18,0,0,0,0,0,0,0,1,1
6,2015,7,Away,TEN,W,10-7,3,14,4.7,10,0,0,1,0,0,0,0,0,0
7,2015,8,Home,TB,L,23-20,3,11,3.7,7,0,1,1,10,10,10,0,0,0
8,2015,9,Away,SF,L,16-17,1,3,3,3,0,0,0,0,0,0,0,0,0
9,2015,11,Home,IND,L,24-21,17,48,2.8,10,0,0,2,0,0,0,0,1,1
10,2015,12,Home,MIN,L,20-10,18,110,6.1,46,0,0,2,0,0,0,0,1,1
11,2015,13,Away,TB,L,19-23,3,13,4.3,10,0,1,1,4,4,4,0,0,0
12,2015,14,Away,CAR,L,0-38,3,15,5,11,0,0,1,0,0,0,0,0,0
13,2015,15,Away,JAC,W,23-17,4,23,5.8,9,0,0,0,0,0,0,0,0,0
14,2015,16,Away,ATL,W,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,ATL,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,TB,L,31-24,8,22,2.8,7,0,5,6,95,19,47,0,0,0
1,2016,2,Away,OAK,W,35-28,12,46,3.8,13,1,2,2,25,12.5,24,0,0,0
2,2016,3,Away,NO,W,45-32,12,42,3.5,9,3,3,3,47,15.7,34,0,0,0
3,2016,4,Home,CAR,W,33-48,8,19,2.4,7,0,3,4,14,4.7,11,0,0,0
4,2016,5,Away,DEN,W,23-16,6,31,5.2,16,0,4,6,132,33,49,1,0,0
5,2016,6,Away,SEA,L,24-26,5,10,2,4,0,1,2,7,7,7,0,0,0
6,2016,7,Home,SD,L,33-30,8,64,8,30,1,1,1,10,10,10,0,0,0
7,2016,8,Away,ATL,W,32-33,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,TB,W,43-28,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,10,Away,PHI,L,15-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Home,ARI,W,19-38,8,9,1.1,7,1,2,2,4,2,2,0,0,0
11,2016,13,Home,KC,L,29-28,12,49,4.1,9,0,0,2,0,0,0,0,0,0
12,2016,14,Away,LAR,W,42-14,8,36,4.5,10,1,2,3,19,9.5,13,1,0,0
13,2016,15,Home,SF,W,13-41,14,58,4.1,29,0,2,2,8,4,4,0,1,0
14,2016,16,Away,CAR,W,33-16,9,90,10,55,1,3,3,45,15,31,0,0,0
15,2016,17,Home,NO,W,32-38,8,44,5.5,25,0,3,4,15,5,7,1,0,0
0,2017,1,Away,CHI,W,23-17,8,16,2,7,0,4,6,42,10.5,20,0,0,0
1,2017,2,Home,GB,W,23-34,6,42,7,35,0,2,2,3,1.5,3,1,0,0
2,2017,3,Away,DET,W,30-26,6,46,7.7,14,0,3,5,43,14.3,27,0,0,0
3,2017,4,Home,BUF,L,23-17,9,77,8.6,29,0,4,6,65,16.3,39,0,1,0
4,2017,6,Home,MIA,L,20-17,9,32,3.6,20,1,1,1,4,4,4,0,0,0
5,2017,7,Away,NE,L,7-23,6,16,2.7,6,0,0,1,0,0,0,0,0,0
6,2017,8,Away,NYJ,W,25-20,14,82,5.9,52,0,1,1,22,22,22,0,0,0
7,2017,9,Away,CAR,L,17-20,5,5,1,2,0,1,2,19,19,19,1,0,0
8,2017,10,Home,DAL,W,7-27,20,83,4.2,19,1,1,1,5,5,5,0,0,0
9,2017,11,Away,SEA,W,34-31,20,43,2.2,9,1,1,2,15,15,15,0,0,0
10,2017,12,Home,TB,W,20-34,19,97,5.1,20,2,0,0,0,0,0,0,0,0
11,2017,13,Home,MIN,L,14-9,8,22,2.8,6,0,3,6,27,9,15,0,0,0
12,2017,14,Home,NO,W,17-20,9,32,3.6,9,0,0,0,0,0,0,0,0,0
13,2017,15,Away,TB,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,NO,L,13-23,6,12,2,15,0,4,4,40,10,15,1,0,0
15,2017,17,Home,CAR,W,10-22,11,23,2.1,6,0,2,2,14,7,12,0,0,0
0,2018,1,Away,PHI,L,12-18,9,19,2.1,9,1,1,2,26,26,26,0,0,0
1,2018,2,Home,CAR,W,24-31,16,107,6.7,36,0,4,4,18,4.5,9,0,1,0
2,2018,3,Home,NO,L,43-37,15,33,2.2,15,0,2,3,14,7,9,1,0,0
3,2018,4,Home,CIN,L,37-36,14,51,3.6,9,0,3,3,26,8.7,15,0,0,0
4,2018,5,Away,PIT,L,17-41,7,15,2.1,8,0,2,2,15,7.5,8,0,0,0
5,2018,6,Home,TB,W,29-34,10,35,3.5,15,0,1,2,6,6,6,1,0,0
6,2018,7,Home,NYG,W,20-23,11,50,4.5,30,1,2,2,32,16,32,0,0,0
7,2018,9,Away,WAS,W,38-14,13,88,6.8,16,0,5,7,68,13.6,39,2,0,0
8,2018,10,Away,CLE,L,16-28,11,44,4,18,0,3,5,19,6.3,8,0,0,0
