,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,SF,L,0-28,17,47,2.8,10,0,1,3,-5,-5,-5,0,0,0
1,2016,2,Home,SEA,W,3-9,19,51,2.7,11,0,1,1,19,19,19,0,0,0
2,2016,3,Away,TB,W,37-32,27,85,3.1,16,2,1,2,-5,-5,-5,0,0,0
3,2016,4,Away,ARI,W,17-13,19,33,1.7,5,0,5,5,49,9.8,33,0,0,0
4,2016,5,Home,BUF,L,30-19,23,72,3.1,16,1,3,5,36,12,24,0,2,1
5,2016,6,Away,DET,L,28-31,14,58,4.1,15,0,4,4,39,9.8,13,0,0,0
6,2016,7,Home,NYG,L,17-10,15,57,3.8,8,0,6,7,35,5.8,20,0,0,0
7,2016,9,Home,CAR,L,13-10,12,48,4,18,0,4,5,26,6.5,11,0,0,0
8,2016,10,Away,NYJ,W,9-6,21,64,3,13,0,1,1,8,8,8,0,0,0
9,2016,11,Home,MIA,L,14-10,20,76,3.8,24,1,0,2,0,0,0,0,0,0
10,2016,12,Away,NO,L,21-49,13,50,3.8,13,0,4,4,39,9.8,31,0,0,0
11,2016,13,Away,NE,L,10-26,11,38,3.5,9,0,2,3,9,4.5,7,0,0,0
12,2016,14,Home,ATL,L,42-14,16,61,3.8,9,1,3,4,22,7.3,12,0,0,0
13,2016,15,Away,SEA,L,3-24,14,38,2.7,22,0,1,4,-2,-2,-2,0,0,0
14,2016,16,Home,SF,L,22-21,23,67,2.9,11,1,3,3,20,6.7,9,0,0,0
15,2016,17,Home,ARI,L,44-6,14,40,2.9,8,0,4,5,37,9.3,29,0,0,0
0,2017,1,Home,IND,W,9-46,19,40,2.1,12,1,5,6,56,11.2,23,0,1,0
1,2017,2,Home,WAS,L,27-20,16,88,5.5,18,1,3,4,48,16,28,1,2,1
2,2017,3,Away,SF,W,41-39,28,113,4,29,2,5,7,36,7.2,27,1,1,0
3,2017,4,Away,DAL,W,35-30,23,121,5.3,17,0,7,8,94,13.4,53,1,0,0
4,2017,5,Home,SEA,L,16-10,14,43,3.1,11,0,2,4,7,3.5,6,0,1,1
5,2017,6,Away,JAC,W,27-17,23,116,5,14,0,1,1,4,4,4,0,0,0
6,2017,7,Home,ARI,W,0-33,22,106,4.8,18,1,4,8,48,12,35,0,0,0
7,2017,9,Away,NYG,W,51-17,16,59,3.7,36,2,2,3,45,22.5,44,0,0,0
8,2017,10,Home,HOU,W,7-33,11,68,6.2,34,0,6,7,68,11.3,43,0,0,0
9,2017,11,Away,MIN,L,7-24,15,37,2.5,8,1,3,4,19,6.3,11,0,0,0
10,2017,12,Home,NO,W,20-26,17,74,4.4,14,0,4,7,54,13.5,31,0,0,0
11,2017,13,Away,ARI,W,32-16,19,74,3.9,14,0,6,7,84,14,33,0,0,0
12,2017,14,Home,PHI,L,43-35,13,96,7.4,30,2,3,5,39,13,20,0,0,0
13,2017,15,Away,SEA,W,42-7,21,152,7.2,57,3,3,3,28,9.3,14,1,0,0
14,2017,16,Away,TEN,W,27-23,22,118,5.4,34,0,10,13,158,15.8,80,2,0,0
15,2017,17,Away,LAR,L,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,OAK,W,33-13,20,108,5.4,23,0,3,5,39,13,19,1,0,0
