,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Away,SEA,L,20-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,SF,L,41-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,BUF,L,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,PIT,L,3-27,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,ARI,L,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,BAL,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Home,JAC,L,27-17,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,LAR,L,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,BAL,L,49-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,OAK,L,10-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,PIT,L,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,NYJ,W,6-22,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,CLE,L,19-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,NE,L,34-13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,MIA,L,35-38,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,CLE,W,23-33,0,0,0,0,0,0,0,0,0,0,0,0,0
