,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,MIN,L,19-29,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,NE,L,36-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,CAR,W,34-13,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,MIA,W,20-0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,6,Home,DET,W,38-52,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,7,Away,GB,W,26-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,8,Home,CHI,W,12-20,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Home,TB,W,10-30,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,BUF,W,47-10,9,48,5.3,41,1,0,0,0,0,0,0,0,0
9,2017,11,Home,WAS,W,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Away,LAR,L,20-26,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,CAR,W,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,ATL,L,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,NYJ,W,19-31,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Home,ATL,W,13-23,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,TB,L,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Away,CLE,T,21-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,KC,L,42-37,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,TB,W,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,BAL,L,26-14,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,ATL,W,17-41,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,CIN,W,28-21,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Home,CLE,W,18-33,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,BAL,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Home,CAR,W,21-52,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,JAC,W,20-16,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DEN,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Home,LAC,L,33-30,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,OAK,L,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,NE,W,10-17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,NO,L,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,CIN,W,13-16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,NE,L,3-33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,SEA,L,28-26,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,SF,L,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,CIN,W,3-27,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,BAL,L,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,LAC,W,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Home,MIA,W,14-27,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,IND,W,24-26,12,73,6.1,45,0,0,0,0,0,0,0,0,0
8,2019,10,Home,LAR,W,12-17,4,1,0.3,3,0,2,3,14,7,8,0,0,0
9,2019,11,Away,CLE,L,7-21,3,11,3.7,9,0,3,3,27,9,11,0,0,0
10,2019,12,Away,CIN,W,16-10,2,7,3.5,5,0,0,0,0,0,0,0,0,0
11,2019,13,Home,CLE,W,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,ARI,W,23-17,0,0,0,0,0,1,1,7,7,7,0,0,0
13,2019,15,Home,BUF,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,NYJ,L,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,BAL,L,10-28,-,-,-,-,-,-,-,-,-,-,-,-,-
