,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,7,Home,BAL,W,16-24,1,1,1,1,0,0,0,0,0,0,0,0,0
1,2016,11,Home,PHI,W,15-26,2,3,1.5,2,0,0,0,0,0,0,0,0,0
2,2016,13,Home,CAR,W,7-40,8,28,3.5,18,0,1,1,5,5,5,0,0,0
3,2016,14,Away,GB,W,10-38,1,12,12,12,0,0,1,0,0,0,0,0,0
0,2019,1,Home,IND,W,24-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,DET,L,10-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,HOU,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,MIA,W,30-10,10,20,2,8,0,2,2,14,7,13,1,0,0
4,2019,5,Home,DEN,L,20-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,PIT,L,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,TEN,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,CHI,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,GB,W,11-26,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,OAK,L,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,11,Home,KC,L,24-17,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2019,13,Away,DEN,L,20-23,0,0,0,0,0,0,0,0,0,0,0,1,1
12,2019,14,Away,JAC,W,45-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,MIN,L,39-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,OAK,L,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,KC,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
