,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Away,ARI,T,27-27,1,6,6,6,0,0,0,0,0,0,0,0,0
1,2019,2,Home,LAC,W,10-13,5,30,6,17,0,2,2,6,3,6,0,0,0
2,2019,3,Away,PHI,W,27-24,4,5,1.3,3,0,1,2,0,0,0,0,0,0
3,2019,4,Home,KC,L,34-30,3,13,4.3,6,0,1,1,1,1,1,0,0,0
4,2019,6,Away,GB,L,22-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,7,Home,MIN,L,42-30,10,29,2.9,6,0,4,4,28,7,9,0,0,0
6,2019,8,Home,NYG,W,26-31,7,25,3.6,14,0,1,4,13,13,13,0,0,0
7,2019,9,Away,OAK,L,24-31,9,29,3.2,10,0,3,3,7,2.3,6,0,0,0
8,2019,10,Away,CHI,L,13-20,5,16,3.2,10,0,1,1,3,3,3,0,0,0
9,2019,11,Home,DAL,L,35-27,2,6,3,5,0,1,1,0,0,0,0,0,0
10,2019,12,Away,WAS,L,16-19,4,11,2.8,5,0,2,2,10,5,5,0,0,0
11,2019,13,Home,CHI,L,24-20,3,12,4,5,0,3,3,17,5.7,9,0,0,0
12,2019,14,Away,MIN,L,7-20,2,3,1.5,5,0,1,1,7,7,7,0,0,0
13,2019,15,Home,TB,L,38-17,2,3,1.5,2,0,4,5,17,4.3,8,0,1,1
14,2019,16,Away,DEN,L,17-27,3,20,6.7,8,0,0,0,0,0,0,0,0,0
15,2019,17,Home,GB,L,23-20,3,65,21.7,40,0,0,2,0,0,0,0,0,0
