,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2015,1,Away,CHI,W,31-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Home,SEA,W,17-27,0,0,0,0,0,4,4,37,9.3,17,0,0,0
2,2015,3,Home,KC,W,28-38,0,0,0,0,0,2,2,14,7,8,1,0,0
3,2015,4,Away,SF,W,17-3,2,10,5,9,0,3,6,15,5,8,0,0,0
4,2015,5,Home,STL,W,10-24,0,0,0,0,0,4,5,59,14.8,31,1,0,0
5,2015,6,Home,SD,W,20-27,1,4,4,4,0,2,2,11,5.5,6,0,0,0
6,2015,8,Away,DEN,L,10-29,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Away,CAR,L,29-37,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,GB,L,18-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,MIN,W,30-13,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,GB,L,17-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,DET,W,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,GB,W,7-28,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,OAK,W,30-20,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,ARI,L,8-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,GB,L,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,JAC,W,27-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Away,MIN,L,14-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Home,DET,W,27-34,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
3,2016,5,Home,NYG,W,16-23,1,1,1,1,0,0,0,0,0,0,0,0,0
4,2016,6,Home,DAL,L,30-16,3,6,2,6,0,10,12,98,9.8,15,0,2,1
5,2016,7,Home,CHI,W,10-26,9,60,6.7,30,0,10,13,66,6.6,13,0,0,0
6,2016,8,Away,ATL,L,32-33,-,-,-,-,-,-,-,-,-,-,-,-,-
