,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,DAL,L,3-19,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,DET,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,PHI,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,TB,L,23-25,11,42,3.8,13,0,2,2,8,4,4,1,1,0
4,2017,5,Home,LAC,L,27-22,11,57,5.2,15,0,5,5,25,5,8,0,0,0
5,2017,6,Away,DEN,W,23-10,9,27,3,8,0,2,3,5,2.5,7,0,0,0
6,2017,7,Home,SEA,L,24-7,5,15,3,9,0,2,3,14,7,10,0,0,0
7,2017,9,Home,LAR,L,51-17,9,41,4.6,14,0,0,1,0,0,0,0,1,1
8,2017,10,Away,SF,L,21-31,3,22,7.3,13,0,0,1,0,0,0,0,0,0
9,2017,11,Home,KC,W,9-12,6,19,3.2,9,0,1,4,3,3,3,0,0,0
10,2017,12,Away,WAS,L,10-20,9,37,4.1,9,0,2,2,6,3,5,0,0,0
11,2017,13,Away,OAK,L,17-24,3,11,3.7,7,0,1,1,8,8,8,0,0,0
12,2017,14,Home,DAL,L,30-10,12,59,4.9,13,0,7,9,40,5.7,8,0,0,0
13,2017,15,Home,PHI,L,34-29,8,39,4.9,11,0,6,7,40,6.7,11,0,0,0
14,2017,16,Away,ARI,L,0-23,10,18,1.8,7,0,6,8,44,7.3,11,0,0,0
15,2017,17,Home,WAS,W,10-18,15,89,5.9,24,0,0,2,0,0,0,0,1,0
0,2018,1,Home,JAC,L,20-15,1,-1,-1,-1,0,2,2,9,4.5,10,0,0,0
1,2018,2,Away,DAL,L,13-20,1,2,2,2,0,1,1,11,11,11,0,0,0
2,2018,3,Away,HOU,W,27-22,6,25,4.2,8,0,0,1,0,0,0,0,0,0
3,2018,4,Home,NO,L,33-18,2,6,3,4,0,3,3,17,5.7,11,0,1,1
4,2018,5,Away,CAR,L,31-33,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,PHI,L,34-13,4,17,4.3,9,0,2,5,25,12.5,18,0,0,0
6,2018,7,Away,ATL,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,WAS,L,20-13,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
8,2018,10,Away,SF,W,27-23,2,3,1.5,2,0,0,1,0,0,0,0,0,0
9,2018,11,Home,TB,W,35-38,2,11,5.5,6,0,2,2,24,12,21,0,1,0
10,2018,12,Away,PHI,L,22-25,5,25,5,8,0,2,2,-2,-1,0,0,0,0
11,2018,13,Home,CHI,W,27-30,5,16,3.2,9,0,1,2,-2,-2,-2,0,0,0
12,2018,14,Away,WAS,W,40-16,14,38,2.7,6,0,0,2,0,0,0,0,0,0
13,2018,15,Home,TEN,L,17-0,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,IND,L,27-28,2,12,6,8,0,0,0,0,0,0,0,0,0
15,2018,17,Home,DAL,L,36-35,6,23,3.8,9,1,1,1,7,7,7,0,0,0
0,2019,1,Away,DAL,L,17-35,2,17,8.5,15,1,3,3,24,8,13,0,0,0
1,2019,2,Home,BUF,L,28-14,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2019,3,Away,TB,W,32-31,5,13,2.6,6,0,0,1,0,0,0,0,0,0
3,2019,4,Home,WAS,W,3-24,18,63,3.5,22,1,6,7,55,9.2,21,1,1,1
4,2019,5,Home,MIN,L,28-10,2,14,7,11,0,0,0,0,0,0,0,0,0
5,2019,6,Away,NE,L,14-35,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,ARI,L,27-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,DET,L,26-31,0,0,0,0,0,1,1,20,20,20,0,0,0
8,2019,9,Home,DAL,L,37-18,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2019,10,Away,NYJ,L,27-34,1,2,2,2,0,1,2,3,3,3,0,0,0
10,2019,12,Away,CHI,L,14-19,1,1,1,1,0,0,0,0,0,0,0,0,0
11,2019,13,Home,GB,L,31-13,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,PHI,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,MIA,W,20-36,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,WAS,W,41-35,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,PHI,L,34-17,-,-,-,-,-,-,-,-,-,-,-,-,-
